Protein_ID;subject_id;Gene_ID;explevel_log;logFC;transcript_ID;goTermId;goName;gotermType;goAcc
171564;Potri.001G182300.2;WUAT02016986.1;5.747409152;-2.352570305;171564;2653;ATP binding;molecular_function;GO:0005524
171564;Potri.001G182300.2;WUAT02016986.1;5.747409152;-2.352570305;171564;2982;microtubule associated complex;cellular_component;GO:0005875
171564;Potri.001G182300.2;WUAT02016986.1;5.747409152;-2.352570305;171564;4072;microtubule-based movement;biological_process;GO:0007018
171564;Potri.001G182300.2;WUAT02016986.1;5.747409152;-2.352570305;171564;1124;microtubule motor activity;molecular_function;GO:0003777
176347;Potri.001G374200.4;WUAT02012842.1;9.798342577;-2.365361405;176347;1056;DNA binding;molecular_function;GO:0003677
176347;Potri.001G374200.4;WUAT02012842.1;9.798342577;-2.365361405;176347;3449;regulation of transcription, DNA-templated;biological_process;GO:0006355
176347;Potri.001G374200.4;WUAT02012842.1;9.798342577;-2.365361405;176347;2757;nucleus;cellular_component;GO:0005634
206625;Potri.005G249200.1;WUAT02020649.1;4.181432617;-2.777371559;206625;4787;obsolete collagenase activity;molecular_function;GO:0008133
206625;Potri.005G249200.1;WUAT02020649.1;4.181432617;-2.777371559;206625;3588;proteolysis;biological_process;GO:0006508
206625;Potri.005G249200.1;WUAT02020649.1;4.181432617;-2.777371559;206625;10979;protein catabolic process;biological_process;GO:0030163
206625;Potri.005G249200.1;WUAT02020649.1;4.181432617;-2.777371559;206625;7827;integral component of membrane;cellular_component;GO:0016021
206625;Potri.005G249200.1;WUAT02020649.1;4.181432617;-2.777371559;206625;11210;obsolete matrilysin-2 activity;molecular_function;GO:0030402
206625;Potri.005G249200.1;WUAT02020649.1;4.181432617;-2.777371559;206625;8812;nucleoside-triphosphatase activity;molecular_function;GO:0017111
206625;Potri.005G249200.1;WUAT02020649.1;4.181432617;-2.777371559;206625;157;nucleotide binding;molecular_function;GO:0000166
206625;Potri.005G249200.1;WUAT02020649.1;4.181432617;-2.777371559;206625;1549;metalloendopeptidase activity;molecular_function;GO:0004222
206625;Potri.005G249200.1;WUAT02020649.1;4.181432617;-2.777371559;206625;2653;ATP binding;molecular_function;GO:0005524
206625;Potri.005G249200.1;WUAT02020649.1;4.181432617;-2.777371559;206625;4913;zinc ion binding;molecular_function;GO:0008270
206625;Potri.005G249200.1;WUAT02020649.1;4.181432617;-2.777371559;206625;7826;membrane;cellular_component;GO:0016020
206625;Potri.005G249200.1;WUAT02020649.1;4.181432617;-2.777371559;206625;4961;obsolete prenyl protein specific endopeptidase activity;molecular_function;GO:0008319
206625;Potri.005G249200.1;WUAT02020649.1;4.181432617;-2.777371559;206625;1570;obsolete stromelysin 3 activity;molecular_function;GO:0004249
