pathway_class	Gene.count.x.x	Gene.count.y.x	Gene.count.x.y	Gene.count.y.y	Gene.count.x.x	Gene.count.y.x	Gene.count.x.y	Gene.count.y.y	Gene.count.x.x	Gene.count.y.x	Gene.count.x.y	Gene.count.y.y	Gene.count.x.x	Gene.count.y.x	Gene.count.x.y	Gene.count.y.y
Amino Acid Metabolism	6	4	9	1	14	14	8	4	4	2	2	3	16	8	NA	NA
Biodegradation of Xenobiotics	7	3	6	1	9	15	6	5	4	4	3	2	11	10	NA	NA
Carbohydrate Metabolism	13	7	11	2	12	26	12	6	8	6	5	4	16	15	NA	NA
Lipid Metabolism	3	1	2	NA	2	6	3	1	2	1	1	1	3	2	NA	NA
Metabolism of Cofactors and Vitamins	4	1	2	1	2	10	3	4	2	2	2	1	6	6	NA	NA
Metabolism of Complex Carbohydrates	1	1	NA	3	2	NA	1	3	1	2	2	NA	6	6	1	NA
Metabolism of Complex Lipids	5	3	2	1	6	12	3	6	5	4	4	1	9	7	NA	NA
Metabolism of Other Amino Acids	NA	2	2	NA	3	1	1	NA	NA	NA	NA	NA	4	1	NA	NA
Nucleotide Metabolism	7	3	2	3	5	9	3	2	2	2	1	3	3	3	1	NA
Replication and Repair	2	NA	NA	1	NA	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
Biosynthesis of Secondary Metabolites	NA	NA	4	NA	2	NA	NA	1	NA	NA	NA	1	6	2	NA	NA
Energy Metabolism	NA	NA	1	NA	2	NA	NA	NA	NA	NA	NA	2	3	2	NA	NA
Transcription	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Translation	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
