pathway_class	Gene.count	T1_T2								
Amino Acid Metabolism	6	A.T1								
Biodegradation of Xenobiotics	7	A.T1								
Carbohydrate Metabolism	13	A.T1								
Lipid Metabolism	3	A.T1								
Metabolism of Cofactors and Vitamins	4	A.T1								
Metabolism of Complex Carbohydrates	1	A.T1								
Metabolism of Complex Lipids	5	A.T1								
Metabolism of Other Amino Acids	NA	A.T1								
Nucleotide Metabolism	7	A.T1								
Replication and Repair	2	A.T1								
Biosynthesis of Secondary Metabolites	NA	A.T1								
Energy Metabolism	NA	A.T1								
Transcription	NA	A.T1								
Translation	NA	A.T1								
Amino Acid Metabolism	4	A.T2								
Biodegradation of Xenobiotics	3	A.T2								
Carbohydrate Metabolism	7	A.T2								
Lipid Metabolism	1	A.T2								
Metabolism of Cofactors and Vitamins	1	A.T2								
Metabolism of Complex Carbohydrates	1	A.T2								
Metabolism of Complex Lipids	3	A.T2								
Metabolism of Other Amino Acids	2	A.T2								
Nucleotide Metabolism	3	A.T2								
Replication and Repair	NA	A.T2								
Biosynthesis of Secondary Metabolites	NA	A.T2								
Energy Metabolism	NA	A.T2								
Transcription	NA	A.T2								
Translation	NA	A.T2								
Amino Acid Metabolism	9	B.T1								
Biodegradation of Xenobiotics	6	B.T1								
Carbohydrate Metabolism	11	B.T1								
Lipid Metabolism	2	B.T1								
Metabolism of Cofactors and Vitamins	2	B.T1								
Metabolism of Complex Carbohydrates	NA	B.T1								
Metabolism of Complex Lipids	2	B.T1								
Metabolism of Other Amino Acids	2	B.T1								
Nucleotide Metabolism	2	B.T1								
Replication and Repair	NA	B.T1								
Biosynthesis of Secondary Metabolites	4	B.T1								
Energy Metabolism	1	B.T1					 			
Transcription	NA	B.T1								
Translation	NA	B.T1								
Amino Acid Metabolism	1	B.T2								
Biodegradation of Xenobiotics	1	B.T2								
Carbohydrate Metabolism	2	B.T2								
Lipid Metabolism	NA	B.T2								
Metabolism of Cofactors and Vitamins	1	B.T2				 				
Metabolism of Complex Carbohydrates	3	B.T2								
Metabolism of Complex Lipids	1	B.T2								
Metabolism of Other Amino Acids	NA	B.T2								
Nucleotide Metabolism	3	B.T2								
Replication and Repair	1	B.T2								
Biosynthesis of Secondary Metabolites	NA	B.T2								
Energy Metabolism	NA	B.T2								
Transcription	NA	B.T2								
Translation	NA	B.T2								
Amino Acid Metabolism	14	C.T1								
Biodegradation of Xenobiotics	9	C.T1								
Carbohydrate Metabolism	12	C.T1								
Lipid Metabolism	2	C.T1								
Metabolism of Cofactors and Vitamins	2	C.T1		 						
Metabolism of Complex Carbohydrates	2	C.T1								
Metabolism of Complex Lipids	6	C.T1								
Metabolism of Other Amino Acids	3	C.T1								
Nucleotide Metabolism	5	C.T1								
Replication and Repair	NA	C.T1								
Biosynthesis of Secondary Metabolites	2	C.T1								
Energy Metabolism	2	C.T1								
Transcription	1	C.T1								
Translation	NA	C.T1								
Amino Acid Metabolism	14	C.T2								
Biodegradation of Xenobiotics	15	C.T2								
Carbohydrate Metabolism	26	C.T2								
Lipid Metabolism	6	C.T2								
Metabolism of Cofactors and Vitamins	10	C.T2								
Metabolism of Complex Carbohydrates	NA	C.T2								
Metabolism of Complex Lipids	12	C.T2								
Metabolism of Other Amino Acids	1	C.T2				 				
Nucleotide Metabolism	9	C.T2								
Replication and Repair	1	C.T2								
Biosynthesis of Secondary Metabolites	NA	C.T2								
Energy Metabolism	NA	C.T2								
Transcription	NA	C.T2								
Translation	NA	C.T2								
Amino Acid Metabolism	8	D.T1								
Biodegradation of Xenobiotics	6	D.T1								
Carbohydrate Metabolism	12	D.T1								
Lipid Metabolism	3	D.T1								
Metabolism of Cofactors and Vitamins	3	D.T1								
Metabolism of Complex Carbohydrates	1	D.T1								
Metabolism of Complex Lipids	3	D.T1								
Metabolism of Other Amino Acids	1	D.T1								
Nucleotide Metabolism	3	D.T1								
Replication and Repair	NA	D.T1								
Biosynthesis of Secondary Metabolites	NA	D.T1								
Energy Metabolism	NA	D.T1								
Transcription	NA	D.T1								
Translation	NA	D.T1								
Amino Acid Metabolism	4	D.T2								
Biodegradation of Xenobiotics	5	D.T2								
Carbohydrate Metabolism	6	D.T2								
Lipid Metabolism	1	D.T2								
Metabolism of Cofactors and Vitamins	4	D.T2								
Metabolism of Complex Carbohydrates	3	D.T2								
Metabolism of Complex Lipids	6	D.T2								
Metabolism of Other Amino Acids	NA	D.T2								
Nucleotide Metabolism	2	D.T2								
Replication and Repair	NA	D.T2								
Biosynthesis of Secondary Metabolites	1	D.T2								
Energy Metabolism	NA	D.T2								
Transcription	NA	D.T2								
Translation	1	D.T2								
Amino Acid Metabolism	4	E.T1								
Biodegradation of Xenobiotics	4	E.T1				 				
Carbohydrate Metabolism	8	E.T1								
Lipid Metabolism	2	E.T1								
Metabolism of Cofactors and Vitamins	2	E.T1				 				
Metabolism of Complex Carbohydrates	1	E.T1								
Metabolism of Complex Lipids	5	E.T1								
Metabolism of Other Amino Acids	NA	E.T1								
Nucleotide Metabolism	2	E.T1								
Replication and Repair	NA	E.T1								
Biosynthesis of Secondary Metabolites	NA	E.T1								
Energy Metabolism	NA	E.T1								
Transcription	NA	E.T1								
Translation	NA	E.T1								
Amino Acid Metabolism	2	E.T2								
Biodegradation of Xenobiotics	4	E.T2								
Carbohydrate Metabolism	6	E.T2								
Lipid Metabolism	1	E.T2								
Metabolism of Cofactors and Vitamins	2	E.T2								
Metabolism of Complex Carbohydrates	2	E.T2								
Metabolism of Complex Lipids	4	E.T2								
Metabolism of Other Amino Acids	NA	E.T2								
Nucleotide Metabolism	2	E.T2								
Replication and Repair	NA	E.T2								
Biosynthesis of Secondary Metabolites	NA	E.T2								
Energy Metabolism	NA	E.T2								
Transcription	NA	E.T2								
Translation	NA	E.T2			 					
Amino Acid Metabolism	2	F.T1								
Biodegradation of Xenobiotics	3	F.T1								
Carbohydrate Metabolism	5	F.T1								
Lipid Metabolism	1	F.T1								
Metabolism of Cofactors and Vitamins	2	F.T1								
Metabolism of Complex Carbohydrates	2	F.T1								
Metabolism of Complex Lipids	4	F.T1								
Metabolism of Other Amino Acids	NA	F.T1								
Nucleotide Metabolism	1	F.T1		 						
Replication and Repair	NA	F.T1								
Biosynthesis of Secondary Metabolites	NA	F.T1								
Energy Metabolism	NA	F.T1								
Transcription	NA	F.T1								
Translation	NA	F.T1								
Amino Acid Metabolism	3	F.T2								
Biodegradation of Xenobiotics	2	F.T2								
Carbohydrate Metabolism	4	F.T2								
Lipid Metabolism	1	F.T2								
Metabolism of Cofactors and Vitamins	1	F.T2								
Metabolism of Complex Carbohydrates	NA	F.T2								
Metabolism of Complex Lipids	1	F.T2								
Metabolism of Other Amino Acids	NA	F.T2								
Nucleotide Metabolism	3	F.T2								
Replication and Repair	1	F.T2								
Biosynthesis of Secondary Metabolites	1	F.T2								
Energy Metabolism	2	F.T2								
Transcription	NA	F.T2								
Translation	NA	F.T2								
Amino Acid Metabolism	16	G.T1								
Biodegradation of Xenobiotics	11	G.T1								
Carbohydrate Metabolism	16	G.T1								
Lipid Metabolism	3	G.T1								
Metabolism of Cofactors and Vitamins	6	G.T1								
Metabolism of Complex Carbohydrates	6	G.T1								
Metabolism of Complex Lipids	9	G.T1								
Metabolism of Other Amino Acids	4	G.T1								
Nucleotide Metabolism	3	G.T1								
Replication and Repair	NA	G.T1								
Biosynthesis of Secondary Metabolites	6	G.T1								
Energy Metabolism	3	G.T1								
Transcription	NA	G.T1								
Translation	NA	G.T1								
Amino Acid Metabolism	8	G.T2								
Biodegradation of Xenobiotics	10	G.T2								
Carbohydrate Metabolism	15	G.T2								
Lipid Metabolism	2	G.T2								
Metabolism of Cofactors and Vitamins	6	G.T2								
Metabolism of Complex Carbohydrates	6	G.T2								
Metabolism of Complex Lipids	7	G.T2								
Metabolism of Other Amino Acids	1	G.T2								
Nucleotide Metabolism	3	G.T2								
Replication and Repair	NA	G.T2								
Biosynthesis of Secondary Metabolites	2	G.T2								
Energy Metabolism	2	G.T2								
Transcription	NA	G.T2								
Translation	NA	G.T2								
