Gene_ID	subject_id	A_T1_Rep1	A_T1_Rep2	A_T1_Rep3	A_T1_Rep4	A_T2_Rep1	A_T2_Rep2	A_T2_Rep3	A_T2_Rep4
WUAT02000001.1	Potri.013G162500.1	14204	11190	12814	12466	14462	15360	16894	16230
WUAT02000002.1	Potri.002G176000.1	19312	11542	14782	12562	16608	17948	18134	17974
WUAT02000005.1	Potri.002G099200.1	3298	2440	2972	3610	3594	4346	4506	6774
WUAT02000007.1	Potri.001G409500.1	16710	9262	12242	11690	26956	29248	28936	36008
WUAT02000010.1	Potri.014G046000.3	39254	34514	29142	34296	33964	66600	78396	71034
WUAT02000011.1	Potri.013G046400.6	1520	982	2670	1898	2446	396	504	812
WUAT02000014.1	Potri.001G359700.6	26384	20278	27076	21456	24858	27520	33962	32024
WUAT02000015.1	Potri.013G143400.2	2548	2506	2046	2650	1926	1642	1532	1564
WUAT02000019.1	Potri.013G133550.2	26290	21106	22308	23542	25658	31246	33478	30286
WUAT02000023.1	Potri.017G041800.5	4712	2590	7046	3964	2846	6500	1964	2732
WUAT02000025.1	Potri.011G103401.1	11520	7184	9460	9956	9868	7438	12684	12550
WUAT02000028.1	Potri.001G354700.3	7600	8122	6600	7456	7780	5958	10276	6454
WUAT02000032.1	Potri.012G084100.1	6734	6816	8192	7144	4638	3946	5738	3078
WUAT02000037.1	Potri.015G002600.1	38170	25212	34968	34104	39552	37348	48710	45248
WUAT02000038.1	Potri.006G118800.1	94	194	138	184	90	134	186	96
WUAT02000039.1	Potri.001G330300.8	69584	63914	61674	60890	44132	61544	97310	76930
WUAT02000041.1	Potri.019G030600.2	250	68	90	58	42	134	64	118
WUAT02000042.1	Potri.001G457700.1	6676	10498	4454	4678	5944	7012	7508	16308
WUAT02000046.1	Potri.005G045100.1	3858	6322	4898	3756	3724	3670	4066	4592
WUAT02000049.1	Potri.017G083200.6	4418	5122	5512	3802	4362	1908	3868	1330
WUAT02000051.1	Potri.016G049000.1	39428	35000	34862	32976	29000	33150	34318	34812
