subject_id	Gene_ID	exprLevel_log	Protein_ID	transcript_ID
Potri.001G182300.2	WUAT02004297.1	3.130901087	171564	171564
Potri.001G182300.2	WUAT02016986.1	4.839611292	171564	171564
Potri.001G189700.5	WUAT02021037.1	4.942830066	171787	171787
Potri.001G217700.1	WUAT02003579.1	10.80949916	172048	172048
Potri.001G253500.1	WUAT02023384.1	8.948102057	172222	172222
Potri.001G251100.2	WUAT02004927.1	6.411923471	172318	172318
Potri.001G250700.1	WUAT02018336.1	5.661725672	172338	172338
Potri.001G250700.1	WUAT02022631.1	10.1154462	172338	172338
Potri.001G234200.1	WUAT02006755.1	9.903151225	172849	172849
Potri.001G262800.1	WUAT02019681.1	6.549619488	173058	173058
Potri.001G265300.2	WUAT02007488.1	9.841805458	173179	173179
Potri.001G347900.2	WUAT02015012.1	8.29709964	173877	173877
Potri.001G341900.1	WUAT02012522.1	9.36334906	174089	174089
Potri.001G329400.1	WUAT02019895.1	10.09585294	174507	174507
Potri.001G321800.2	WUAT02019239.1	9.493927548	174716	174716
Potri.001G308600.1	WUAT02004309.1	9.619877419	175077	175077
Potri.001G305400.1	WUAT02008646.1	10.0264692	175190	175190
Potri.001G300900.1	WUAT02001132.1	9.964879721	175325	175325
Potri.001G294700.1	WUAT02010024.1	9.218986348	175504	175504
Potri.001G357100.4	WUAT02018123.1	9.260657947	175839	175839
Potri.001G370600.1	WUAT02012499.1	7.75607079	176275	176275
Potri.001G374200.4	WUAT02012842.1	10.1465909	176347	176347
Potri.001G459200.1	WUAT02020625.1	7.739687381	177231	177231
Potri.001G462700.1	WUAT02006971.1	9.113966245	177383	177383
Potri.001G462800.1	WUAT02017673.1	5.877498465	177387	177387
Potri.001G000700.2	WUAT02002665.1	10.79583306	177738	177738
Potri.001G003800.1	WUAT02012831.1	10.904743	177802	177802
Potri.001G007900.2	WUAT02021555.1	10.23504358	177956	177956
Potri.001G033900.4	WUAT02019488.1	7.96730482	178328	178328
Potri.001G032000.3	WUAT02018217.1	9.67569817	178371	178371
Potri.001G023500.1	WUAT02015085.1	10.52504416	178600	178600
Potri.001G061500.1	WUAT02003515.1	10.97752979	179255	179255
Potri.001G079400.4	WUAT02021112.1	9.682943716	179631	179631
Potri.001G079400.4	WUAT02022294.1	10.08169091	179631	179631
Potri.001G082900.1	WUAT02004923.1	8.401953159	179726	179726
Potri.001G083300.1	WUAT02017862.1	8.870922844	179738	179738
Potri.001G092700.1	WUAT02018294.1	6.081687166	180036	180036
Potri.001G098700.2	WUAT02013874.1	9.889431732	180196	180196
Potri.001G104900.5	WUAT02006171.1	10.03396329	180378	180378
Potri.001G106100.1	WUAT02020080.1	10.16266134	180424	180424
Potri.001G109500.1	WUAT02003813.1	9.905289641	180526	180526
Potri.001G112200.1	WUAT02017651.1	8.880100654	180608	180608
Potri.001G113100.1	WUAT02018132.1	11.9830019	180639	180639
Potri.001G175700.1	WUAT02002585.1	5.060460539	180923	180923
Potri.001G175700.1	WUAT02004526.1	7.958960209	180923	180923
Potri.001G180200.1	WUAT02022663.1	9.268421967	181064	181064
Potri.001G214500.1	WUAT02016628.1	10.04000924	181167	181167
Potri.004G117900.1	WUAT02003344.1	9.327969503	195222	195222
Potri.004G165800.1	WUAT02003385.1	10.76665089	195833	195833
Potri.004G165800.1	WUAT02004007.1	6.758675566	195833	195833
Potri.004G165800.1	WUAT02007090.1	5.766265179	195833	195833
Potri.004G165800.1	WUAT02013048.1	7.287335953	195833	195833
Potri.004G165800.1	WUAT02023377.1	3.627788206	195833	195833
