Gene_ID	subject_id	E_T1_Rep1	E_T1_Rep2	E_T1_Rep3	E_T1_Rep4	E_T2_Rep1	E_T2_Rep2	E_T2_Rep3	E_T2_Rep4
WUAT02000001.1	Potri.013G162500.1	12164	11024	12338	11268	9540	15634	13938	13054
WUAT02000002.1	Potri.002G176000.1	15932	12770	13450	12928	13218	13740	14968	15598
WUAT02000005.1	Potri.002G099200.1	2860	2800	2794	2588	5854	7946	5240	5268
WUAT02000007.1	Potri.001G409500.1	14370	9730	14108	9382	26900	45462	18814	13516
WUAT02000010.1	Potri.014G046000.3	30736	31176	31840	28920	28358	68334	41080	32600
WUAT02000011.1	Potri.013G046400.6	3946	1236	2130	1634	2016	294	920	1302
WUAT02000014.1	Potri.001G359700.6	24012	24218	25296	21498	27920	34242	32162	31154
WUAT02000015.1	Potri.013G143400.2	2320	2086	2428	1892	2014	6388	2390	2662
WUAT02000019.1	Potri.013G133550.2	23770	19436	25428	19906	31148	31178	29940	28652
WUAT02000023.1	Potri.017G041800.5	9398	4398	5164	8030	10172	2794	4436	4632
WUAT02000025.1	Potri.011G103401.1	11544	8256	9866	6180	10622	14308	11106	14436
WUAT02000028.1	Potri.001G354700.3	8542	7380	7110	6148	8862	5894	7924	10778
WUAT02000032.1	Potri.012G084100.1	9756	5028	9154	9304	12046	6948	6174	9848
WUAT02000037.1	Potri.015G002600.1	34918	27038	31054	27406	34940	38658	41150	40374
WUAT02000038.1	Potri.006G118800.1	110	244	168	76	236	110	344	278
WUAT02000039.1	Potri.001G330300.8	59650	62450	50740	58492	46788	84978	60288	67072
WUAT02000041.1	Potri.019G030600.2	92	156	124	412	24	284	62	110
WUAT02000042.1	Potri.001G457700.1	2292	5946	6420	6766	5106	20244	11692	5786
WUAT02000046.1	Potri.005G045100.1	5888	4524	4932	3790	4982	7786	5322	4378
WUAT02000049.1	Potri.017G083200.6	5754	3510	5564	3756	5228	1502	4670	4328
WUAT02000051.1	Potri.016G049000.1	37226	30702	35594	32712	35598	26770	38046	35776
WUAT02000052.1	Potri.007G062302.1	2984	1860	1880	2140	1474	16436	2450	1272
WUAT02000054.1	Potri.006G259600.3	934	1108	402	444	496	2466	1120	918
WUAT02000055.1	Potri.004G125150.1	80488	55618	64128	56632	68340	58590	77768	68906
WUAT02000059.1	Potri.010G052500.1	140762	106286	109084	73774	95154	51840	93824	97614
WUAT02000060.1	Potri.002G246500.1	32142	16946	23300	18540	36588	22572	29182	37392
WUAT02000064.1	Potri.010G103000.1	14372	15624	14042	14784	13132	29848	20914	17806
WUAT02000068.1	Potri.009G027000.3	55180	48090	54496	39738	30544	30282	47126	40002
WUAT02000069.1	Potri.014G141000.2	57100	67948	63326	47078	60366	101112	93978	64844
WUAT02000073.1	Potri.010G116600.1	12518	8508	11140	11574	10876	8480	10244	11934
WUAT02000078.1	Potri.009G056500.2	22926	21934	19846	16080	15360	17752	24798	22000
WUAT02000082.1	Potri.016G001400.12	4584	5500	6046	4690	4226	7336	6270	6290
WUAT02000084.1	Potri.002G106400.1	24984	18350	21780	21694	21598	26844	25778	23186
WUAT02000086.1	Potri.006G103900.2	19236	14806	14862	18942	18886	50068	17898	17944
WUAT02000087.1	Potri.019G036500.1	13614	12260	9716	7132	11124	12580	12624	13102
WUAT02000089.1	Potri.013G143400.2	26620	29134	28804	15736	33524	63120	63106	49908
WUAT02000091.1	Potri.002G159400.1	3696	3676	4840	3086	4956	10842	7178	7332
WUAT02000092.1	Potri.007G075500.1	70008	21548	23430	38756	82932	26404	49288	45900
WUAT02000093.1	Potri.013G140850.2	0	0	0	0	4	2	8	4
WUAT02000096.1	Potri.018G088300.1	11518	7930	8208	9348	9400	6470	9002	9034
