Gene_ID	level	Log2FC	protein_ID	ecNum	definition	catalyticActivity	cofactors	associatedDiseases	pathway	pathway_class	pathway_type	transcript_ID
gene_1152	4.75587993130474	-2.97606799670639	1979717	1.11.1.6	Catalase.	2 H(2)O(2) = O(2) + 2 H(2)O.	Heme; Manganese.	Acatalasia; MIM:115500.	Methane metabolism	Energy Metabolism	METABOLIC	1979971
gene_1152	4.75587993130474	-2.97606799670639	1979717	1.11.1.6	Catalase.	2 H(2)O(2) = O(2) + 2 H(2)O.	Heme; Manganese.	Acatalasia; MIM:115500.	Tryptophan metabolism	Amino Acid Metabolism	METABOLIC	1979971
gene_1247.1	1.61490704709869	-2.08059425642479	1979814	1.1.1.95	Phosphoglycerate dehydrogenase.	3-phosphoglycerate + NAD(+) = 3-phosphohydroxypyruvate + NADH.	\N	3-phosphoglycerate dehydrogenase deficiency; MIM:601815.	Glycine, serine and threonine metabolism	Amino Acid Metabolism	METABOLIC	1980068
gene_1315	26.023409414805	-2.39240149508515	1979882	1.1.1.141	15-hydroxyprostaglandin dehydrogenase (NAD+).	(5Z,13E)-(15S)-11-alpha,15-dihydroxy-9-oxoprost-13-enoate + NAD(+) = (5Z,13E)-11-alpha-hydroxy-9,15-dioxoprost-13-enoate + NADH.	\N	\N	\N	\N	\N	1980136
gene_1479	56.9324066477895	-2.44003013965068	1980045	1.14.11.-	With 2-oxoglutarate as one donor, and incorporation of one	\N	\N	\N	\N	\N	\N	1980299
gene_1655	25.5438710512154	-2.49646667341146	1980224	1.15.1.1	Superoxide dismutase.	2 peroxide radical + 2 H(+) = O(2) + H(2)O(2).	Copper and Zinc or Iron or Manganese.	\N	\N	\N	\N	1980478
gene_1664	5.5063874222568	-2.09178204818158	1980233	3.1.3.36	Phosphatidylinositol-bisphosphatase.	Phosphatidyl-myo-inositol 4,5-bisphosphate + H(2)O = phosphatidylinositol 4-phosphate + phosphate.	\N	\N	\N	\N	\N	1980487
gene_1715	9.13723794104811	-2.21308213183203	1980284	1.1.99.18	Cellobiose dehydrogenase (acceptor).	Cellobiose + acceptor = cellobiono-1,5-lactone + reduced acceptor.	\N	\N	\N	\N	\N	1980538
gene_1716	25.3834986998719	-2.39770950025408	1980285	1.3.1.33	Protochlorophyllide reductase.	Chlorophyllide A + NADP(+) = protochlorophyllide + NADPH.	\N	\N	Porphyrin and chlorophyll metabolism	Metabolism of Cofactors and Vitamins	METABOLIC	1980539
gene_1871	2.34906170994207	-2.5104868704028	1980443	2.1.1.6	Catechol O-methyltransferase.	S-adenosyl-L-methionine + catechol = S-adenosyl-L-homocysteine + guaiacol.	\N	\N	Tyrosine metabolism	Amino Acid Metabolism	METABOLIC	1980697
