Gene_ID	subject_id	F_T1_Rep1	F_T1_Rep2	F_T1_Rep3	F_T1_Rep4	F_T2_Rep1	F_T2_Rep2	F_T2_Rep3	F_T2_Rep4
WUAT02000001.1	Potri.013G162500.1	10864	14218	13044	12526	11604	14018	13848	18660
WUAT02000002.1	Potri.002G176000.1	13692	14562	15018	14326	13234	16928	14870	23300
WUAT02000005.1	Potri.002G099200.1	3014	2654	3630	2666	2612	4460	4594	5572
WUAT02000007.1	Potri.001G409500.1	16760	9980	11084	11980	6820	11218	7944	10268
WUAT02000010.1	Potri.014G046000.3	25194	34666	42150	35724	26172	43968	35464	49904
WUAT02000011.1	Potri.013G046400.6	1802	1400	1042	1240	1706	1828	1090	502
WUAT02000014.1	Potri.001G359700.6	25374	26782	27852	28006	22792	29062	28812	34586
WUAT02000015.1	Potri.013G143400.2	2866	7356	2122	3084	3142	2052	5562	4178
WUAT02000019.1	Potri.013G133550.2	24182	27068	22100	25974	22996	26752	24442	32050
WUAT02000023.1	Potri.017G041800.5	10244	10626	4938	8008	7188	7432	5188	5086
WUAT02000025.1	Potri.011G103401.1	10790	11238	9344	12460	11414	16730	8056	15786
WUAT02000028.1	Potri.001G354700.3	8376	11420	6886	9784	8816	11826	8670	14676
WUAT02000032.1	Potri.012G084100.1	10574	9280	9366	12902	13424	20722	16550	16710
WUAT02000037.1	Potri.015G002600.1	28746	38778	29732	31912	29736	47606	41918	60586
WUAT02000038.1	Potri.006G118800.1	40	56	120	82	160	66	64	260
WUAT02000039.1	Potri.001G330300.8	56758	61808	74982	69928	54112	74444	49978	81066
WUAT02000041.1	Potri.019G030600.2	58	438	26	122	66	222	74	122
WUAT02000042.1	Potri.001G457700.1	2558	8676	5228	5028	1348	2458	3474	8324
WUAT02000046.1	Potri.005G045100.1	4734	6530	5788	8210	6346	9074	3530	8720
WUAT02000049.1	Potri.017G083200.6	5842	9002	3772	6650	6002	4416	1994	10030
WUAT02000051.1	Potri.016G049000.1	34558	43278	36486	41724	31900	36130	33358	45260
WUAT02000052.1	Potri.007G062302.1	1020	1724	1546	5694	1688	4462	504	1442
WUAT02000054.1	Potri.006G259600.3	1622	1552	522	2308	2092	960	2118	1822
WUAT02000055.1	Potri.004G125150.1	60396	85460	56274	77870	48158	71214	57012	88834
WUAT02000059.1	Potri.010G052500.1	106450	114582	51312	110982	87934	176750	125648	119966
WUAT02000060.1	Potri.002G246500.1	28670	32564	31312	29988	29270	56150	46352	53478
WUAT02000064.1	Potri.010G103000.1	13802	12020	17358	17876	13262	19336	19784	23670
WUAT02000068.1	Potri.009G027000.3	43808	53938	44024	52822	37828	43518	40564	61416
WUAT02000069.1	Potri.014G141000.2	58604	74692	87338	89156	44908	53786	41820	102608
WUAT02000073.1	Potri.010G116600.1	11968	13772	12350	14980	13196	15330	12640	19592
WUAT02000078.1	Potri.009G056500.2	19618	25858	21782	24854	13510	25270	25150	29380
WUAT02000082.1	Potri.016G001400.12	8252	5382	15466	6490	5642	5956	4892	8620
WUAT02000084.1	Potri.002G106400.1	22638	26400	25030	25426	20908	28196	21690	28518
WUAT02000086.1	Potri.006G103900.2	16978	17610	18808	16002	16640	17998	15724	19902
WUAT02000087.1	Potri.019G036500.1	7768	11980	10854	13572	12430	15020	11296	16696
WUAT02000089.1	Potri.013G143400.2	24694	41450	52780	33548	37036	21422	18550	57516
WUAT02000091.1	Potri.002G159400.1	5024	4866	5522	4754	3990	5544	5018	5890
WUAT02000092.1	Potri.007G075500.1	46210	63772	29180	34108	61392	14500	53498	20906
WUAT02000093.1	Potri.013G140850.2	0	0	2	2	2	2	0	2
WUAT02000096.1	Potri.018G088300.1	10290	12308	9162	11500	9792	9792	5256	10224
WUAT02000101.1	Potri.010G252000.6	31226	28628	27094	33610	42114	54916	28822	43058
WUAT02000104.1	Potri.008G088900.2	4030	4198	3816	4938	3806	4314	3578	5692
WUAT02000105.1	Potri.002G072100.1	596	1278	2220	1450	692	1552	332	1992
WUAT02000109.1	Potri.014G052500.1	38004	44580	33950	40472	36980	51046	41856	61712
WUAT02000114.1	Potri.013G153100.1	6548	5190	4822	4942	4666	5394	5690	9378
WUAT02000117.1	Potri.008G046500.1	308	930	148	252	840	106	218	742
WUAT02000122.1	Potri.011G050500.1	13596	14828	10552	10876	8346	30634	42302	40850
WUAT02000123.1	Potri.012G095133.1	20900	22644	23222	23822	18852	26884	22562	33350
WUAT02000126.1	Potri.001G230000.4	804	1106	1594	1560	544	3692	2646	4240
WUAT02000127.1	Potri.001G174500.5	2282	3616	1400	3030	2318	1228	1720	2322
WUAT02000131.1	Potri.010G052500.1	46958	60138	37484	60960	33274	53828	47724	82864
WUAT02000136.1	Potri.001G312800.7	11824	14174	28002	18252	7230	9152	4922	20678
WUAT02000137.1	Potri.008G221801.2	110	246	96	104	74	124	96	120
WUAT02000139.1	Potri.010G042000.1	544	1058	474	990	948	674	426	992
WUAT02000141.1	Potri.005G113600.4	28710	19596	9690	16726	11906	20086	15738	17870
WUAT02000142.1	Potri.012G105800.2	9194	11166	10980	10656	11166	12450	11572	14566
WUAT02000148.1	Potri.006G203300.1	9294	7826	6336	10644	10368	11806	11422	9304
WUAT02000150.1	Potri.011G156900.1	9940	11870	9324	9748	9786	10382	10616	14506
WUAT02000151.1	Potri.014G140400.1	3132	3650	4310	4012	3256	5366	4612	6388
WUAT02000154.1	Potri.001G450401.1	3968	6900	3988	5130	3200	4556	5290	5812
