subject_id	Gene_ID	explevel_log	logFC	Protein_ID	transcript_ID
Potri.006G188700.1	WUAT02015780.1	5.517702549	2.020989504	832008	832008
Potri.010G245100.5	WUAT02005335.1	8.519955804	2.077567631	822682	822682
Potri.005G047600.1	WUAT02016970.1	9.376430843	2.136551368	810494	810494
Potri.015G128100.1	WUAT02016310.1	10.59663775	2.834878292	776563	776563
Potri.015G128100.1	WUAT02022777.1	9.714680773	2.583975215	776563	776563
Potri.011G158400.1	WUAT02015916.1	7.327808553	2.751141929	772214	772214
Potri.010G142800.1	WUAT02007590.1	4.845989091	2.725993298	769807	769807
Potri.010G044700.2	WUAT02009364.1	2.079810727	2.404437316	726254	726254
Potri.001G277800.2	WUAT02009845.1	0.771551609	2.41311742	706561	706561
Potri.010G129800.6	WUAT02003459.1	3.011252788	4.771244015	658944	658944
Potri.005G247600.1	WUAT02006818.1	6.252855223	3.371405425	652170	652170
Potri.014G153000.1	WUAT02001418.1	10.42249696	2.722738254	572955	572955
Potri.004G233400.2	WUAT02009502.1	3.840087189	2.3767822	297441	297441
Potri.001G251100.2	WUAT02004927.1	5.613528059	2.24132386	172318	172318
Potri.001G182300.2	WUAT02004297.1	3.305434621	4.229877755	171564	171564
