subject_id	Gene_ID	explevel_log	Protein_ID	transcript_ID
Potri.001G182300.2	WUAT02004297.1	3.097305292	171564	171564
Potri.001G182300.2	WUAT02016986.1	5.597203546	171564	171564
Potri.001G189700.5	WUAT02021037.1	5.356186891	171787	171787
Potri.001G217700.1	WUAT02003579.1	10.66408234	172048	172048
Potri.001G253500.1	WUAT02023384.1	8.866559178	172222	172222
Potri.001G251100.2	WUAT02004927.1	6.41725239	172318	172318
Potri.001G250700.1	WUAT02018336.1	6.109845598	172338	172338
Potri.001G250700.1	WUAT02022631.1	9.819107703	172338	172338
Potri.001G234200.1	WUAT02006755.1	9.794335918	172849	172849
Potri.001G262800.1	WUAT02019681.1	6.588818954	173058	173058
Potri.001G265300.2	WUAT02007488.1	9.541854165	173179	173179
Potri.001G347900.2	WUAT02015012.1	8.192080414	173877	173877
Potri.001G341900.1	WUAT02012522.1	9.28797122	174089	174089
Potri.001G329400.1	WUAT02019895.1	10.04091143	174507	174507
Potri.001G321800.2	WUAT02019239.1	9.554091318	174716	174716
Potri.001G308600.1	WUAT02004309.1	9.705641739	175077	175077
Potri.001G305400.1	WUAT02008646.1	9.951203235	175190	175190
Potri.001G300900.1	WUAT02001132.1	10.05813123	175325	175325
Potri.001G294700.1	WUAT02010024.1	9.238287283	175504	175504
Potri.001G357100.4	WUAT02018123.1	9.322321314	175839	175839
Potri.001G370600.1	WUAT02012499.1	7.562889468	176275	176275
Potri.001G374200.4	WUAT02012842.1	10.03509668	176347	176347
Potri.001G459200.1	WUAT02020625.1	7.55097329	177231	177231
Potri.001G462700.1	WUAT02006971.1	9.023025193	177383	177383
Potri.001G462800.1	WUAT02017673.1	6.694774859	177387	177387
Potri.001G000700.2	WUAT02002665.1	10.7404083	177738	177738
Potri.001G003800.1	WUAT02012831.1	11.03451294	177802	177802
Potri.001G007900.2	WUAT02021555.1	10.13054151	177956	177956
Potri.001G033900.4	WUAT02019488.1	8.242971055	178328	178328
Potri.001G032000.3	WUAT02018217.1	9.679224819	178371	178371
Potri.001G023500.1	WUAT02015085.1	10.844233	178600	178600
Potri.001G061500.1	WUAT02003515.1	10.87312871	179255	179255
Potri.001G079400.4	WUAT02021112.1	9.867101499	179631	179631
Potri.001G079400.4	WUAT02022294.1	10.13858436	179631	179631
Potri.001G082900.1	WUAT02004923.1	8.491364966	179726	179726
Potri.001G083300.1	WUAT02017862.1	9.033477632	179738	179738
Potri.001G092700.1	WUAT02018294.1	5.710346749	180036	180036
Potri.001G098700.2	WUAT02013874.1	9.804036546	180196	180196
Potri.001G104900.5	WUAT02006171.1	10.07863576	180378	180378
Potri.001G106100.1	WUAT02020080.1	10.34213709	180424	180424
Potri.001G109500.1	WUAT02003813.1	9.859075416	180526	180526
Potri.001G112200.1	WUAT02017651.1	9.208773962	180608	180608
Potri.001G113100.1	WUAT02018132.1	11.96900202	180639	180639
Potri.001G175700.1	WUAT02002585.1	4.611094846	180923	180923
Potri.001G175700.1	WUAT02004526.1	7.709957519	180923	180923
Potri.001G180200.1	WUAT02022663.1	9.338004849	181064	181064
Potri.001G214500.1	WUAT02016628.1	10.07121491	181167	181167
Potri.004G117900.1	WUAT02003344.1	9.503170991	195222	195222
Potri.004G165800.1	WUAT02003385.1	10.53415709	195833	195833
Potri.004G165800.1	WUAT02004007.1	6.347525522	195833	195833
Potri.004G165800.1	WUAT02007090.1	5.815599474	195833	195833
Potri.004G165800.1	WUAT02013048.1	7.268120232	195833	195833
Potri.004G165800.1	WUAT02023377.1	5.537230802	195833	195833
Potri.004G172500.1	WUAT02013475.1	5.993609029	195979	195979
Potri.004G174800.1	WUAT02018662.1	4.727277788	196076	196076
Potri.004G013700.3	WUAT02018248.1	5.830358858	196517	196517
Potri.004G018800.1	WUAT02021529.1	8.097079764	196672	196672
Potri.004G022500.1	WUAT02007624.1	10.08482736	196766	196766
