Gene_ID	Level	logFC	Size..aa.	Final.Description	X.1st.BLASTp.hit...if.blank..see.next.column.	X.1st.BLASTp.hit...blank.are.real.orphans..	KO.	Name.KEGG	Annotation	X.GO.Terms	GO.Terms	Enzyme.Code	SignalP	A_T1_Rep1	A_T1_Rep2	A_T1_Rep3	A_T1_Rep4	A_T2_Rep1	A_T2_Rep2	A_T2_Rep3	A_T2_Rep4
gene_10	3.55526976804085	-2.14665568275083	439	Putative uncharacterized protein	Capronia epimyces	Capronia epimyces			duf1479 domain protein	0	-		N	4	0	0	0	2	4	8	2
gene_1043	19.1322504409258	-3.33205719374988	985	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_1727	3	F:molecular_function; P:biological_process; C:cellular_component		N	8	0	10	0	0	0	0	229
gene_1066	4.75987452303614	-2.11698384948047	333	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		N	0	6	4	0	6	4	4	0
gene_1067	1.87911240377677	-2.25042343508396	374	Kinase activator protein	Grosmannia clavigera	Ophiostoma piceae			kinase activator protein	3	F:kinase activity; P:autophagy; P:phosphorylation		N	0	0	0	0	4	0	0	0
gene_1205	29.5585551377704	-2.011304407425	622	Iron transport multicopper oxidase FET3	Grosmannia clavigera	Ophiostoma piceae	K00540	E1.-.-.-; unclassified metabolism	fet3 ferroxidase-like protein	6	P:cellular process; F:copper ion binding; P:oxidation-reduction process; F:oxidoreductase activity; P:iron ion transport; C:plasma membrane	-	Y	24	14	4	18	29	46	0	44
gene_1208	4.94828198137116	-2.72614176788006	454	SET domain-containing protein 5	Verticillium alfalfae	Ophiostoma piceae			conserved hypothetical protein	1	F:molecular_function		Y	0	0	0	2	0	0	0	60
gene_1280	4.20060905978195	-3.23284769947083	580	Putative uncharacterized protein	Togninia minima	Ophiostoma piceae	K08994	yneE; putative membrane protein	hypothetical protein THITE_2039728	1	P:mycelium development	-	N	0	0	0	0	0	0	0	54
gene_1288	44.9759992957178	-2.85649267385568	351	Isoflavone reductase family protein	Grosmannia clavigera	Ophiostoma piceae			isoflavone reductase family protein	6	F:nucleotide binding; P:oxidation-reduction process; F:oxidoreductase activity; P:tryptophan metabolic process; F:tryptophan synthase activity; P:tryptophan biosynthetic process		N	22	20	18	7	2	98	36	223
gene_1322	16.0906837167959	-4.61608721038475	368	Alpha beta hydrolase fold-3 domain containing protein	Grosmannia clavigera	Ophiostoma piceae			alpha beta hydrolase fold-3 domain containing protein	2	F:hydrolase activity; P:metabolic process		N	2	0	0	0	24	22	7	0
gene_1323	5.67885658465066	-2.21109476385587	575	Similar to Auxin Efflux Carrier superfamily	Cladophialophora psammophila	Ophiostoma piceae			auxin efflux carrier superfamily	2	P:transmembrane transport; C:integral to membrane	-	N	2	2	2	2	4	14	2	8
gene_1333	5.94037928552637	-2.66213240431924	650	Drug resistance protein YOR378W	Grosmannia clavigera	Ophiostoma piceae			drug resistance protein	2	C:integral to membrane; P:transmembrane transport		N	4	2	0	0	6	0	10	10
gene_1393	3.82447390544541	-2.06481627541455	279	HAD superfamily hydrolase	Grosmannia clavigera	Ophiostoma piceae			haloacid dehalogenase-like hydrolase	1	F:hydrolase activity	-	N	0	8	0	0	3	4	4	8
gene_1463	11.6561798605717	-2.02105515502248	1 388	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		N	2	16	2	6	4	44	6	0
gene_1472	1.6335701899152	-2.09326957291395	589	Putative uncharacterized protein	Metarhizium acridum	Metarhizium acridum			hypothetical protein MAC_08719	4	F:molecular_function; P:biological_process; C:cellular_component; F:DNA binding		N	0	0	0	0	0	0	0	21
gene_1474	23.7961887891331	-2.59862067511403	490	N-sulphoglucosamine sulphohydrolase	Thielavia terrestris	Ophiostoma piceae	K01565	SGSH; N-sulfoglucosamine sulfohydrolase [EC:3.10.1.1]	n-sulfoglucosamine sulfohydrolase	2	F:sulfuric ester hydrolase activity; P:metabolic process	EC:3.1.6.0	N	8	12	22	2	24	62	0	2
gene_1475	30.9170140172488	-3.0197275159018	489	glycoside hydrolase family 28 protein 	Thielavia terrestris	Ophiostoma piceae			endo-rhamnogalacturonase f	4	P:carbohydrate metabolic process; C:extracellular region; F:polygalacturonase activity; P:cellular cell wall organization	EC:3.2.1.15	Y	22	14	6	0	42	34	12	10
gene_1484	46.5855247851063	-2.31469676460619	583	Serine-type peptidase	Grosmannia clavigera	Ophiostoma piceae	K09649	PRSS16; protease, serine, 16 (thymus) [EC:3.4.-.-]	serine peptidase	1	F:peptidase activity	-	Y	55	24	6	8	33	90	39	34
gene_1485	22.9907097950665	-2.2247701361506	437	6-hydroxynicotinate 3-monooxygenase	Baudoinia compniacensis	Ophiostoma piceae			salicylate variant	2	P:metabolic process; F:oxidoreductase activity	-	N	14	32	4	4	2	14	26	145
gene_1499	19.9573451564314	-4.40852347249785	619	FAD binding domain protein	Stachybotrys chartarum	Ophiostoma piceae			fad binding domain protein	0	-		N	0	3	0	2	12	92	0	0
gene_1533	9.80030868276588	-2.27817097445682	294	Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase (Asparagine-linked glycosylation protein 6)	Grosmannia clavigera	Ophiostoma piceae			mitochondrial protein	0	-		N	4	8	9	0	0	30	8	31
gene_1536	18.0649651010679	-2.09460917676755	690	Peptidase s33, tripeptidyl-peptidase	Grosmannia clavigera	Ophiostoma piceae	K01423	E3.4.-.-; genes in multiple pathways	peptidase tripeptidyl-peptidase	2	F:peptidase activity; P:proteolysis		N	6	10	6	12	6	28	6	87
gene_1538	124.473002430209	-2.92112761300749	532	Carboxylic acid transporter protein homolog	Grosmannia clavigera	Ophiostoma piceae	K08178	JEN; MFS transporter, SHS family, lactate transporter	sugar transporter	4	P:transmembrane transport; P:carbohydrate transport; C:integral to membrane; F:transmembrane transporter activity	-	N	54	62	62	16	70	291	42	329
gene_1555	43.8884680290217	-2.68134381349963	287	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_2256	0	-		Y	42	9	6	8	30	152	2	12
gene_1567	96.7361738692446	-4.19803070089742	379	Endopolygalacturonase AN8327 (Pectinase AN8327)	Penicillium oxalicum	Ophiostoma ulmi	K01184	E3.2.1.15; polygalacturonase [EC:3.2.1.15]	pglr_emeni ame: full=endopolygalacturonase an8327 ame: full=pectinase an8327 ame: full=polygalacturonase an8327 flags: precursor	4	C:extracellular region; F:polygalacturonase activity; P:cellular cell wall organization; P:pectin catabolic process	EC:3.2.1.15	Y	14	33	16	4	171	40	11	48
gene_1655	37.7647940237367	-5.31786194732512	215	Superoxide dismutase	Trichoderma reesei	Ophiostoma piceae	K04564	SOD2; superoxide dismutase, Fe-Mn family [EC:1.15.1.1]	manganese superoxide dismutase	4	F:metal ion binding; P:superoxide metabolic process; F:superoxide dismutase activity; P:oxidation-reduction process	EC:1.15.1.1	N	0	0	7	0	26	160	1	10
gene_1725	5.79954043135095	-2.05945006338	387	Transaldolase	Trichoderma reesei	Ophiostoma piceae			hypothetical protein TRIATDRAFT_317668	2	P:carbohydrate metabolic process; F:catalytic activity		N	2	12	0	0	8	4	0	8
gene_1757	16.9116071135091	-4.50405215916431	820	Oligopeptide transporter 5 (AtOPT5)	Aureobasidium pullulans	Ophiostoma piceae			related to opt1-high-affinity glutathione transporter	1	P:transmembrane transport	-	N	0	0	4	0	24	28	2	10
gene_180	5.65985244455482	-2.50709021305569	190	tRNA-splicing endonuclease subunit sen15	Grosmannia clavigera	Ophiostoma piceae	K15325	SEN15; tRNA-splicing endonuclease subunit Sen15, fungi type	trna-intron endonuclease	4	F:endonuclease activity; P:tRNA processing; F:molecular_function; C:cellular_component		N	0	4	0	2	6	8	6	0
gene_1813	108.923166666327	-2.73671067170839	431	Chitinase 1	Colletotrichum sublineola	Ophiostoma piceae	K01183	E3.2.1.14; chitinase [EC:3.2.1.14]	glycoside hydrolase family 18 protein	2	F:hydrolase activity, hydrolyzing O-glycosyl compounds; P:metabolic process	EC:3.2.1.0	Y	61	66	36	20	32	428	55	65
gene_1821	1.52737095875516	-2.01961009047776	203	Putative uncharacterized protein	 				---NA---	0	-		N	0	0	0	0	0	6	0	8
gene_1822	122.254418916525	-2.0560541556227	273	Uncharacterized oxidoreductase	Fusarium oxysporum	Ophiostoma piceae	K14189	dltE; uncharacterized oxidoreductase [EC:1.-.-.-]	nad -binding protein	1	P:mycelium development	-	N	61	127	112	30	48	210	36	486
gene_1840	6.22058084220978	-2.44580045298972	217	Putative uncharacterized protein	Metarhizium anisopliae	Ophiostoma piceae			hypothetical protein MAA_08036	0	-		Y	0	2	8	0	0	0	0	72
gene_1871	5.00421445105503	-2.15745875016005	226	O-methyltransferase, putative	Aspergillus oryzae	Ophiostoma piceae			o-	2	F:O-methyltransferase activity; P:methylation	-	N	0	4	6	0	6	8	2	0
gene_1887	21.748577009595	-3.31594110538192	721	Sterol uptake control protein 2 (Mannoprotein regulation by oxygen protein 4)	Nectria haematococca	Nectria haematococca			c6 finger domain protein	8	P:regulation of transcription, DNA-dependent; P:transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; C:nucleus; F:sequence-specific DNA binding transcription factor activity; F:DNA binding		N	14	2	0	2	22	50	8	10
gene_1951	21.24764540114	-2.44708253175944	1 415	ABC multidrug transporter	Grosmannia clavigera	Ophiostoma piceae			abc multidrug	5	P:transport; C:integral to membrane; F:ATPase activity, coupled to transmembrane movement of substances; P:ATP catabolic process; F:ATP binding	-	N	10	10	20	2	22	44	7	0
gene_1965	9.56553084760423	-2.87964032362213	450	Probable inactive purple acid phosphatase 16	Penicillium oxalicum	Ophiostoma piceae			calcineurin-like phosphoesterase	1	F:hydrolase activity		Y	0	13	1	0	10	4	0	45
gene_2046	10.6316873323628	-2.06729645486939	382	FAD dependent oxidoreductase superfamily	Grosmannia clavigera	Ophiostoma piceae			amino acid oxidase	3	F:D-amino-acid oxidase activity; F:nucleotide binding; P:oxidation-reduction process	EC:1.4.3.3	N	4	8	2	6	10	18	0	19
gene_2094	6.32836406027311	-2.05759260206129	1 213	Putative ATP-dependent helicase HRQ1 (Homologous to recQ protein 1)	Verticillium dahliae	Ophiostoma piceae	K06877	K06877; DEAD/DEAH box helicase domain-containing protein	dead deah box helicase	2	F:helicase activity; F:nucleic acid binding	-	N	3	0	6	2	0	14	10	18
gene_2230	3.73387471980618	-3.08197858068504	361	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_4588	0	-		N	0	0	0	0	0	0	0	48
gene_2348	9.68889750307339	-2.08920622461228	204	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_594	2	P:biological_process; C:cellular_component		N	4	7	4	4	0	50	2	3
gene_240	2.93087268639502	-2.07012441176645	71	Putative uncharacterized protein	Grosmannia clavigera	Sporothrix schenckii			hypothetical protein CMQ_7636	0	-		N	0	0	4	0	0	0	10	10
gene_2403	56.8887445836336	-4.27239165265401	390	Zinc-regulated transporter 1 (High-affinity zinc transport protein ZRT1)	Trichoderma virens	Ophiostoma piceae	K14709	SLC39A1_2_3, ZIP1_2_3; solute carrier family 39 (zinc transporter), member 1/2/3	zinc-regulated transporter 1	4	P:metal ion transport; C:membrane; F:metal ion transmembrane transporter activity; P:transmembrane transport	-	N	10	6	14	2	46	200	8	16
gene_2492	13.8103151595048	-2.20519544121222	694	Sec1 protein	Grosmannia clavigera	Ophiostoma piceae	K03327	TC.MATE, SLC47A, norM, mdtK, dinF; multidrug resistance protein, MATE family	multidrug and toxin extrusion protein 1	3	P:vesicle-mediated transport; P:transmembrane transport; F:transmembrane transporter activity	-	N	12	3	15	0	4	0	2	121
gene_2547	25.7260320264201	-3.76825924529109	576	Phosphate/H+ symporter	Grosmannia clavigera	Ophiostoma piceae	K08176	PHO84; MFS transporter, PHS family, inorganic phosphate transporter	phosphate h+ symporter	4	P:phosphate ion transport; C:integral to membrane; F:inorganic phosphate transmembrane transporter activity; P:transmembrane transport	-	N	0	9	0	6	34	44	0	23
gene_2625	10.140984340672	-4.41155970791828	298	Major allergen Asp f 2	Fusarium verticillioides	Ophiostoma piceae			major allergen asp f 2-like protein	0	-		Y	0	0	0	0	2	61	0	0
gene_2667	2.81866860566515	-2.73060457252146	313	Short chain dehydrogenase reductase	Grosmannia clavigera	Ophiostoma piceae			short chain dehydrogenase	3	F:oxidoreductase activity; P:oxidation-reduction process; F:nucleotide binding	-	N	0	0	0	0	6	0	0	0
gene_2736	5.21444326327798	-2.1851816813872	176	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_2778	0	-		N	4	0	0	2	4	18	0	0
gene_2738	20.1322809263553	-2.56988076542643	584	Squalene monooxygenase	Verticillium dahliae	Ophiostoma piceae	K00511	SQLE, ERG1; squalene monooxygenase [EC:1.14.13.132]	squalene monooxygenase	1	F:oxidoreductase activity	-	N	13	14	2	4	30	14	4	8
gene_2764	60.6140500945273	-5.26839372374758	232	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_2358	0	-		N	0	4	0	6	110	12	32	0
gene_2814	4.04417857612433	-2.7077517883274	656	High-affinity potassium transport protein	Fusarium oxysporum	Ophiostoma piceae			X-domain-containing protein	2	P:cellular process; P:transport	-	N	2	0	0	0	6	7	0	0
gene_2856	968.125346367023	-2.4633597760304	255	Short chain dehydrogenase reductase	Grosmannia clavigera	Ophiostoma piceae	K00079	CBR1; carbonyl reductase 1 [EC:1.1.1.184 1.1.1.189 1.1.1.197]	short chain dehydrogenase reductase	4	P:oxidation-reduction process; F:oxidoreductase activity; P:metabolic process; F:nucleotide binding		N	483	712	419	300	548	2790	422	791
gene_2925	2.31473158354725	-2.49299735159549	727	Diphenol oxidase	Grosmannia clavigera	Ophiostoma piceae			multicopper type 1	1	F:metal ion binding	-	N	0	0	0	0	0	4	0	22
gene_2949	9.16186918900785	-2.10012775181847	820	Putative uncharacterized protein	Colletotrichum gloeosporioides	Ophiostoma piceae			hypothetical protein THITE_2115474	0	-		N	0	6	4	6	0	33	8	16
gene_3030	51.6297336671196	-2.59209509603265	695	Pentachlorophenol 4-monooxygenase	Grosmannia clavigera	Ophiostoma piceae	K05712	mhpA; 3-(3-hydroxy-phenyl)propionate hydroxylase [EC:1.14.13.127]	fad binding domain-containing protein	3	F:monooxygenase activity; P:oxidation-reduction process; P:mycelium development	-	N	26	48	8	12	67	43	18	42
gene_3132	9.85518558486359	-2.14564077910188	98	Iron-sulfur cluster biosynthesis protein	Grosmannia clavigera	Ophiostoma piceae			iron-sulfur cluster biosynthesis protein	0	-		N	2	10	8	2	8	7	8	26
gene_3203	3.25043352625289	-2.30504538090657	657	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			mei5 protein	0	-		N	0	4	0	0	0	0	16	0
gene_3280	17.6323417178835	-2.05671211641591	402	GTP-binding protein YchF	Colletotrichum higginsianum	Ophiostoma piceae	K06942	Unclassified; Poorly Characterized	protein	1	F:GTP binding	-	N	12	4	3	12	23	16	4	7
gene_3341	79.3795290224971	-2.58889245403241	329	Intradiol ring-cleavage dioxygenase	Grosmannia clavigera	Ophiostoma piceae			hydroxyquinol -dioxygenase	4	F:catechol 1,2-dioxygenase activity; F:ferric iron binding; P:catechol-containing compound metabolic process; P:oxidation-reduction process	EC:1.13.11.1	N	38	66	28	17	72	160	24	76
gene_3377	5.91295641891081	-2.21108767459806	347	FAD dependent oxidoreductase superfamily	Grosmannia clavigera	Ophiostoma piceae			complex i intermediate-associated protein 30	5	C:mitochondrial respiratory chain complex I; P:protein folding; P:protein complex assembly; P:mitochondrial electron transport, NADH to ubiquinone; F:unfolded protein binding	-	N	4	2	0	2	0	14	8	20
gene_3394	21.3143319549057	-2.49186125286174	288	Putative uncharacterized protein	Nectria haematococca	Ophiostoma piceae			hypothetical protein NECHADRAFT_82696	0	-		Y	11	16	8	4	20	60	0	0
gene_3416	65.4049872968346	-2.19125767633685	418	Maleylacetate reductase, putative	Aspergillus clavatus	Ophiostoma piceae			maleylacetate	1	F:oxidoreductase activity	-	N	32	76	2	32	0	216	32	197
gene_3417	73.4660503702002	-4.0866402901647	563	Putative metal chaperone YciC	Fusarium oxysporum	Ophiostoma piceae			cobw domain-containing protein	0	-		N	14	18	10	6	38	326	0	36
gene_3421	8.9457415162023	-4.23966405651373	494	Ribosome-inactivating protein	Eutypa lata	Eutypa lata			ribosome-inactivating protein	1	F:catalytic activity	-	N	0	0	0	0	0	0	0	115
gene_3422	24.503552848728	-5.64406120229714	108	Putative uncharacterized protein	Grosmannia clavigera	Grosmannia clavigera			hypothetical protein CMQ_6502	3	F:molecular_function; P:biological_process; C:cellular_component		N	0	0	0	0	0	0	0	315
