Protein_ID	subject_id	Gene_ID	explevel_log	logFC	transcript_ID	goTermId	goName	gotermType	goAcc
205001	Potri.005G195600.1	WUAT02001898.1	8.295703182	-2.365896425	205001	1872	peroxidase activity	molecular_function	GO:0004601
205001	Potri.005G195600.1	WUAT02001898.1	8.295703182	-2.365896425	205001	4033	response to oxidative stress	biological_process	GO:0006979
268780	Potri.005G017600.1	WUAT02016563.1	3.99360879	-6.192159914	268780	4786	obsolete pancreatic elastase activity	molecular_function	GO:0008132
268780	Potri.005G017600.1	WUAT02016563.1	3.99360879	-6.192159914	268780	8536	obsolete proprotein convertase activity	molecular_function	GO:0016808
268780	Potri.005G017600.1	WUAT02016563.1	3.99360879	-6.192159914	268780	8812	nucleoside-triphosphatase activity	molecular_function	GO:0017111
268780	Potri.005G017600.1	WUAT02016563.1	3.99360879	-6.192159914	268780	4889	obsolete plasminogen activator activity	molecular_function	GO:0008243
268780	Potri.005G017600.1	WUAT02016563.1	3.99360879	-6.192159914	268780	157	nucleotide binding	molecular_function	GO:0000166
268780	Potri.005G017600.1	WUAT02016563.1	3.99360879	-6.192159914	268780	1504	ATP-dependent peptidase activity	molecular_function	GO:0004176
268780	Potri.005G017600.1	WUAT02016563.1	3.99360879	-6.192159914	268780	1573	serine-type endopeptidase activity	molecular_function	GO:0004252
268780	Potri.005G017600.1	WUAT02016563.1	3.99360879	-6.192159914	268780	1591	obsolete subtilase activity	molecular_function	GO:0004289
268780	Potri.005G017600.1	WUAT02016563.1	3.99360879	-6.192159914	268780	2653	ATP binding	molecular_function	GO:0005524
268780	Potri.005G017600.1	WUAT02016563.1	3.99360879	-6.192159914	268780	3588	proteolysis	biological_process	GO:0006508
268780	Potri.005G017600.1	WUAT02016563.1	3.99360879	-6.192159914	268780	3590	obsolete ATP-dependent proteolysis	biological_process	GO:0006510
268780	Potri.005G017600.1	WUAT02016563.1	3.99360879	-6.192159914	268780	5594	obsolete serine-type signal peptidase activity	molecular_function	GO:0008991
565949	Potri.010G052500.1	WUAT02021878.1	3.478644579	-4.447607387	565949	243	3-keto sterol reductase activity	molecular_function	GO:0000253
565949	Potri.010G052500.1	WUAT02021878.1	3.478644579	-4.447607387	565949	8235	oxidoreductase activity	molecular_function	GO:0016491
565949	Potri.010G052500.1	WUAT02021878.1	3.478644579	-4.447607387	565949	242	C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity	molecular_function	GO:0000252
565949	Potri.010G052500.1	WUAT02021878.1	3.478644579	-4.447607387	565949	8354	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	molecular_function	GO:0016616
565949	Potri.010G052500.1	WUAT02021878.1	3.478644579	-4.447607387	565949	1781	mevaldate reductase activity	molecular_function	GO:0004495
565949	Potri.010G052500.1	WUAT02021878.1	3.478644579	-4.447607387	565949	4804	metabolic process	biological_process	GO:0008152
565949	Potri.010G052500.1	WUAT02021878.1	3.478644579	-4.447607387	565949	5482	gluconate dehydrogenase activity	molecular_function	GO:0008875
565949	Potri.010G052500.1	WUAT02021878.1	3.478644579	-4.447607387	565949	17232	3-ketoglucose-reductase activity	molecular_function	GO:0048258
565949	Potri.010G052500.1	WUAT02021878.1	3.478644579	-4.447607387	565949	9305	epoxide dehydrogenase activity	molecular_function	GO:0018451
565949	Potri.010G052500.1	WUAT02021878.1	3.478644579	-4.447607387	565949	9306	5-exo-hydroxycamphor dehydrogenase activity	molecular_function	GO:0018452
565949	Potri.010G052500.1	WUAT02021878.1	3.478644579	-4.447607387	565949	9307	2-hydroxytetrahydrofuran dehydrogenase activity	molecular_function	GO:0018453
565949	Potri.010G052500.1	WUAT02021878.1	3.478644579	-4.447607387	565949	8021	steroid dehydrogenase activity	molecular_function	GO:0016229
565949	Potri.010G052500.1	WUAT02021878.1	3.478644579	-4.447607387	565949	1737	isocitrate dehydrogenase activity	molecular_function	GO:0004448
