subject_id	Gene_ID	exprLevel_log	Protein_ID	transcript_ID
Potri.001G182300.2	WUAT02004297.1	2.370731342	171564	171564
Potri.001G182300.2	WUAT02016986.1	5.493213944	171564	171564
Potri.001G189700.5	WUAT02021037.1	5.157699641	171787	171787
Potri.001G217700.1	WUAT02003579.1	10.78451374	172048	172048
Potri.001G253500.1	WUAT02023384.1	9.06430129	172222	172222
Potri.001G251100.2	WUAT02004927.1	6.089712744	172318	172318
Potri.001G250700.1	WUAT02018336.1	5.708288991	172338	172338
Potri.001G250700.1	WUAT02022631.1	10.17757946	172338	172338
Potri.001G234200.1	WUAT02006755.1	9.964453771	172849	172849
Potri.001G262800.1	WUAT02019681.1	6.574557477	173058	173058
Potri.001G265300.2	WUAT02007488.1	9.905263434	173179	173179
Potri.001G347900.2	WUAT02015012.1	8.346387993	173877	173877
Potri.001G341900.1	WUAT02012522.1	9.406414762	174089	174089
Potri.001G329400.1	WUAT02019895.1	10.11371013	174507	174507
Potri.001G321800.2	WUAT02019239.1	9.675527025	174716	174716
Potri.001G308600.1	WUAT02004309.1	9.723036881	175077	175077
Potri.001G305400.1	WUAT02008646.1	10.10272384	175190	175190
Potri.001G300900.1	WUAT02001132.1	10.07620195	175325	175325
Potri.001G294700.1	WUAT02010024.1	9.434515721	175504	175504
Potri.001G357100.4	WUAT02018123.1	9.317260192	175839	175839
Potri.001G370600.1	WUAT02012499.1	7.801969105	176275	176275
Potri.001G374200.4	WUAT02012842.1	10.29296586	176347	176347
Potri.001G459200.1	WUAT02020625.1	7.790120814	177231	177231
Potri.001G462700.1	WUAT02006971.1	9.198416838	177383	177383
Potri.001G462800.1	WUAT02017673.1	5.976546625	177387	177387
Potri.001G000700.2	WUAT02002665.1	10.84564321	177738	177738
Potri.001G003800.1	WUAT02012831.1	10.96761635	177802	177802
Potri.001G007900.2	WUAT02021555.1	10.27289552	177956	177956
Potri.001G033900.4	WUAT02019488.1	8.120506511	178328	178328
Potri.001G032000.3	WUAT02018217.1	9.745385585	178371	178371
Potri.001G023500.1	WUAT02015085.1	10.54174693	178600	178600
Potri.001G061500.1	WUAT02003515.1	11.02536796	179255	179255
Potri.001G079400.4	WUAT02021112.1	9.735647278	179631	179631
Potri.001G079400.4	WUAT02022294.1	10.19708181	179631	179631
Potri.001G082900.1	WUAT02004923.1	8.539569098	179726	179726
Potri.001G083300.1	WUAT02017862.1	9.05596962	179738	179738
Potri.001G092700.1	WUAT02018294.1	6.004765522	180036	180036
Potri.001G098700.2	WUAT02013874.1	10.00421545	180196	180196
Potri.001G104900.5	WUAT02006171.1	10.13609172	180378	180378
Potri.001G106100.1	WUAT02020080.1	10.32790987	180424	180424
Potri.001G109500.1	WUAT02003813.1	9.980579517	180526	180526
Potri.001G112200.1	WUAT02017651.1	8.993989211	180608	180608
Potri.001G113100.1	WUAT02018132.1	11.80830563	180639	180639
Potri.001G175700.1	WUAT02002585.1	4.996450427	180923	180923
Potri.001G175700.1	WUAT02004526.1	7.975313729	180923	180923
Potri.001G180200.1	WUAT02022663.1	9.290778908	181064	181064
Potri.001G214500.1	WUAT02016628.1	9.93585044	181167	181167
Potri.004G117900.1	WUAT02003344.1	9.371659121	195222	195222
Potri.004G165800.1	WUAT02003385.1	10.70259238	195833	195833
Potri.004G165800.1	WUAT02004007.1	6.063476067	195833	195833
Potri.004G165800.1	WUAT02007090.1	5.895292381	195833	195833
Potri.004G165800.1	WUAT02013048.1	7.500998536	195833	195833
Potri.004G165800.1	WUAT02023377.1	4.967101821	195833	195833
Potri.004G172500.1	WUAT02013475.1	5.585200675	195979	195979
Potri.004G174800.1	WUAT02018662.1	4.552093327	196076	196076
