Gene_ID	level	Log2FC	Size..aa.	Final.Description	X.1st.BLASTp.hit...if.blank..see.next.column.	X.1st.BLASTp.hit...blank.are.real.orphans..	KO.	Name.KEGG	Annotation	X.GO.Terms	GO.Terms	Enzyme.Code	SignalP	ï..Gene_ID	C_T1_Rep1	C_T1_Rep2	C_T1_Rep3	C_T1_Rep4	C_T2_Rep1	C_T2_Rep2	C_T2_Rep3	C_T2_Rep4	protein_ID	transcript_ID
gene_1045	6.91610360246667	2.10344135266853	629	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		N	gene_1049	0	0	12	0	5	1	6	0	1979609	1979863
gene_1110	16.1541156932968	2.41141340768288	373	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			clavaminate synthase-like protein	0	-		N	gene_1115	114	0	16	12	36	2	2	6	1979675	1979929
gene_1224	3.63428743555373	2.6171761121583	164	Putative uncharacterized protein	Fusarium verticillioides	Ophiostoma piceae			umta methyltransferase	1	F:transferase activity	-	N	gene_1230	5	0	6	4	4	0	0	0	1979790	1980044
gene_1232	7.29113058234735	2.97632582519438	880	GTPase-binding protein rid1	Grosmannia clavigera	Ophiostoma piceae			gtpase binding protein rid1	3	F:actin binding; P:actin cytoskeleton organization; F:Rho GTPase binding		N	gene_1238	4	8	0	8	1	2	0	2	1979798	1980052
gene_1309	25.223209220637	2.47797507669622	401	Integral membrane protein	Grosmannia clavigera	Grosmannia clavigera			integral membrane protein	0	-		N	gene_1316	118	2	14	107	11	12	4	16	1979876	1980130
gene_1334	3.78088215029772	2.01695076594659	803	Putative uncharacterized protein	Chaetomium globosum	Ophiostoma piceae			hypothetical protein CHGG_04110	3	F:molecular_function; P:biological_process; C:cellular_component		N	gene_1341	54	0	0	12	0	0	4	0	1979901	1980155
gene_1395	11.580356351778	2.44326064416496	567	Iron transport multicopper oxidase FET3	Grosmannia clavigera	Ophiostoma piceae			iron transport multicopper oxidase fet3	3	F:oxidoreductase activity; P:oxidation-reduction process; F:copper ion binding	-	Y	gene_1403	49	6	0	45	11	4	0	8	1979963	1980217
gene_1505	67.4790755367317	2.40117575847418	545	Aminopeptidase Y	Grosmannia clavigera	Ophiostoma piceae	K01264	E3.4.11.15, APE3; aminopeptidase Y [EC:3.4.11.15]	aminopeptidase y precursor	2	F:peptidase activity; P:protein metabolic process	-	Y	gene_1511	1080	0	2	98	85	6	24	60	1980071	1980325
gene_1514	31.5508764571703	2.71527664656955	848	Peptidase s41 family protein	Grosmannia clavigera	Ophiostoma piceae			pyridine nucleotide-disulfide oxidoreductase family protein	2	P:proteolysis; F:serine-type peptidase activity		Y	gene_1521	426	2	6	54	16	8	10	16	1980081	1980335
gene_1539	4.22120535427038	2.52386385875881	566	Major facilitator superfamily transporter	Grosmannia clavigera	Ophiostoma piceae			major facilitator superfamily transporter	2	P:transmembrane transport; C:integral to membrane	-	N	gene_1545	0	0	8	0	0	2	0	0	1980105	1980359
