Gene_ID	explevel_log	logFC	subject_id
WUAT02000356.1	7.02609851282588	-2.49070500112698	Potri.008G224210.1
WUAT02000539.1	3.9767960650931	-2.36138208873883	Potri.013G092500.1
WUAT02001187.1	7.23213709600329	-2.68144559854532	Potri.005G097000.4
WUAT02001438.1	3.48105994857591	-3.99033184621556	Potri.001G312800.7
WUAT02001820.1	7.07724546708652	-4.39931186339772	Potri.007G062582.1
WUAT02004592.1	5.33125620472444	-2.77182102774064	Potri.014G145000.7
WUAT02005600.1	4.27343633227132	-5.86826883986364	Potri.019G027580.1
WUAT02006929.1	2.07037024963253	-2.25935576108793	Potri.013G133550.2
WUAT02006968.1	4.4788328605711	-2.76687579643881	Potri.012G031250.1
WUAT02007416.1	5.08804926583586	-7.11162539804531	Potri.003G050600.3
WUAT02010331.1	5.50219880276429	-3.0663928328489	Potri.019G100901.1
WUAT02012294.1	2.318949927644	-3.7079326044193	Potri.010G027100.2
WUAT02013094.1	2.78530854034198	-3.40036210101368	Potri.013G133550.1
WUAT02014435.1	7.50241653285075	-2.41138846066071	Potri.002G060400.1
WUAT02015657.1	7.41192921019076	-2.66431318413781	Potri.017G013500.1
WUAT02016534.1	7.32262798152163	-2.06139320562943	Potri.003G175366.1
WUAT02016758.1	2.31887272155364	-2.67499620664812	Potri.019G047540.1
WUAT02017040.1	5.88097116121249	-2.60696362499689	Potri.005G226700.2
WUAT02017733.1	7.30946345431232	-2.86299339412057	Potri.002G083500.4
WUAT02018408.1	3.89639811259623	-2.03528288752199	Potri.013G133550.2
WUAT02018985.1	6.19820067118279	-3.15944029827444	Potri.005G107600.5
WUAT02019069.1	5.46555025665302	-6.27286422651256	Potri.001G166100.4
WUAT02020649.1	4.8380412728438	-2.00264804938246	Potri.005G249200.1
WUAT02022770.1	5.85161853363609	-2.05786599065264	Potri.017G083200.6
WUAT02023069.1	4.07999800169236	-2.1555488194187	Potri.012G031250.1
