Gene_ID	ExprLevel	LogFC	Size..aa.	Final.Description	X.1st.BLASTp.hit...if.blank..see.next.column.	X.1st.BLASTp.hit...blank.are.real.orphans..	KO.	Name.KEGG	Annotation	X.GO.Terms	GO.Terms	Enzyme.Code	SignalP	D_T1_Rep1	D_T1_Rep2	D_T1_Rep3	D_T1_Rep4	D_T2_Rep1	D_T2_Rep2	D_T2_Rep3	D_T2_Rep4
gene_1017	4.52744913629147	2.53741604801693	534	Putative uncharacterized protein	Magnaporthe oryzae	Ophiostoma piceae			hypothetical protein MGG_01343	3	F:molecular_function; P:biological_process; C:cellular_component		N	12	18	19	24	3	1	0	0
gene_1033	4.55427133195647	2.26246662735004	920	Cell division control protein 45 homolog (Suppressor of nda4 protein)	Grosmannia clavigera	Ophiostoma piceae	K06628	CDC45; cell division control protein 45	cell division control protein	3	P:translational initiation; P:DNA-dependent DNA replication initiation; F:translation initiation factor activity	-	N	14	18	8	42	8	0	0	0
gene_1061	1.65556242510667	2.10806434358239	482	Lipase 5	Chaetomium globosum	Ophiostoma piceae			lipase 1 precursor	4	P:lipid catabolic process; F:triglyceride lipase activity; F:hydrolase activity; F:retinyl-palmitate esterase activity		Y	2	4	12	8	0	0	0	0
gene_1084	8.75906146577451	2.78182527520094	853	ATP-dependent RNA helicase DRS1	Grosmannia clavigera	Ophiostoma piceae	K13181	DDX27, DRS1; ATP-dependent RNA helicase DDX27 [EC:3.6.4.13]	atp-dependent rna helicase	3	F:helicase activity; F:nucleic acid binding; F:nucleotide binding	-	N	16	2	22	133	8	2	0	0
gene_1092	4.65285631726996	2.20078890884886	846	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_7456	3	F:molecular_function; P:biological_process; C:cellular_component		N	19	16	24	3	4	2	0	0
gene_1104	168.80819751565	2.30685847892302	1 041	Glycosyl hydrolase family 31	Colletotrichum fioriniae	Ophiostoma piceae			glycoside hydrolase family 31 protein	1	F:hydrolase activity	-	Y	743	1584	100	57	452	2	2	0
gene_1129	5.47934711743137	2.08063474976387	514	Mitochondrial pyruvate dehydrogenase	Grosmannia clavigera	Ophiostoma piceae	K00905	E2.7.11.4, BCKDK; [3-methyl-2-oxobutanoate dehydrogenase (acetyl-transferring)] kinase [EC:2.7.11.4]	mitochondrial pyruvate dehydrogenase	3	F:binding; P:metabolic process; F:transferase activity, transferring phosphorus-containing groups	-	N	23	32	8	25	8	2	0	0
gene_1137	9.44007490165587	2.96272621734488	320	tRNA-splicing endonuclease subunit sen34	Grosmannia clavigera	Ophiostoma piceae	K15323	TSEN34; tRNA-splicing endonuclease subunit Sen34 [EC:3.1.27.9]	trna-splicing endonuclease subunit sen34	2	F:nuclease activity; P:tRNA processing	-	N	42	34	14	84	12	0	0	0
gene_1171	3.32937265189124	2.93710806156584	524	Aminotransferase, class I/class II	Grosmannia clavigera	Ophiostoma piceae			class i classii	1	F:transferase activity	-	N	7	9	16	28	0	0	0	0
gene_1174	11.2443345044109	2.00968734457412	449	p60 domain containing protein	Grosmannia clavigera	Ophiostoma piceae	K14840	NOP53, GLTSCR2; nucleolar protein 53	p60 domain containing protein	1	P:biological_process		N	30	20	4	159	24	4	0	0
