subject_id	Gene_ID	explevel_log	logFC	Protein_ID	transcript_ID
Potri.001G374200.4	WUAT02012842.1	10.03509668	-2.266152043	176347	176347
Potri.005G017600.1	WUAT02016563.1	3.273500949	-3.513748968	268780	268780
Potri.008G135800.3	WUAT02019133.1	7.393116781	-2.324292944	420372	431073
Potri.001G079800.1	WUAT02017594.1	9.096285357	-2.088534648	548217	548217
Potri.003G073400.2	WUAT02014080.1	10.38979317	-3.355388467	553835	553835
Potri.006G102000.3	WUAT02013212.1	9.55440372	-3.722083576	560928	560928
Potri.010G052500.1	WUAT02012658.1	3.422508288	-3.455564744	565949	565949
Potri.012G058400.2	WUAT02008057.1	5.907829448	-3.486444963	569842	569842
Potri.005G247600.1	WUAT02006818.1	8.427283791	-2.096409497	652170	652170
Potri.010G097800.1	WUAT02013075.1	9.161212857	-2.874551692	658639	658639
Potri.001G166100.4	WUAT02019069.1	5.818103473	-3.443739776	673211	673211
Potri.001G277800.2	WUAT02009845.1	1.458493537	-2.529597368	706561	706561
Potri.007G054200.1	WUAT02001570.1	6.338285202	-2.175356446	711834	711834
Potri.011G153700.2	WUAT02020260.1	7.872537676	-2.119917896	727336	727336
Potri.013G061200.1	WUAT02009670.1	8.793054074	-2.210417239	730026	730026
Potri.003G202300.3	WUAT02011066.1	10.13811403	-2.019883388	758112	758112
Potri.008G019800.1	WUAT02011547.1	12.52405488	-3.157631549	765150	765150
Potri.009G141600.1	WUAT02001583.1	9.508088395	-2.745365894	767207	767207
Potri.010G142800.1	WUAT02007590.1	9.123089129	-4.162663197	769807	769807
Potri.011G037000.5	WUAT02004625.1	6.204543878	-2.12573718	771224	771224
Potri.008G013300.1	WUAT02017775.1	4.711738472	-3.037986968	803094	803094
Potri.005G257500.1	WUAT02007677.1	6.214586175	-3.615280081	831725	831725
