Gene_ID	ExprLevel	LogFC	Size..aa.	Final.Description	X.1st.BLASTp.hit...if.blank..see.next.column.	X.1st.BLASTp.hit...blank.are.real.orphans..	KO.	Name.KEGG	Annotation	X.GO.Terms	GO.Terms	Enzyme.Code	SignalP	D_T1_Rep1	D_T1_Rep2	D_T1_Rep3	D_T1_Rep4	D_T2_Rep1	D_T2_Rep2	D_T2_Rep3	D_T2_Rep4
gene_1039	17.2800541617163	-4.09672709050016	567	Amino acid permease	Grosmannia clavigera	Ophiostoma piceae			amino acid permease	3	C:integral to membrane; F:amino acid transmembrane transporter activity; P:amino acid transmembrane transport	-	N	0	8	0	2	44	12	0	20
gene_120	8.40617406764515	-2.72300774640583	412	Altered inheritance of mitochondria protein 32	Colletotrichum graminicola	Ophiostoma piceae			fmi1 protein	2	P:oxidation-reduction process; F:oxidoreductase activity		N	2	10	0	2	20	6	6	0
gene_1205	17.290050678301	-3.33352163037431	622	Iron transport multicopper oxidase FET3	Grosmannia clavigera	Ophiostoma piceae	K00540	E1.-.-.-; unclassified metabolism	fet3 ferroxidase-like protein	6	P:cellular process; F:copper ion binding; P:oxidation-reduction process; F:oxidoreductase activity; P:iron ion transport; C:plasma membrane	-	Y	12	8	0	0	14	6	10	8
gene_1206	8.90861950402709	-2.60364133909729	369	Plasma membrane iron permease	Grosmannia clavigera	Ophiostoma piceae	K07243	FTR, efeU; high-affinity iron transporter	plasma membrane iron permease	2	P:transmembrane transport; C:membrane	-	N	6	10	0	0	15	24	2	3
gene_1315	128.303885426469	-5.84395858701612	267	Dehydrogenases with different specificities	Cladophialophora psammophila	Ophiostoma piceae	K00069	HPGD; 15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141]	short-chain dehydrogenase reductase sdr	4	P:oxidation-reduction process; F:oxidoreductase activity; P:metabolic process; F:nucleotide binding		N	10	6	3	14	120	72	64	78
gene_1368	3.79794445641862	-3.10364683852019	363	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_2713	3	F:sequence-specific DNA binding transcription factor activity; F:sequence-specific DNA binding; P:regulation of transcription, DNA-dependent	-	N	0	0	0	0	2	6	3	0
gene_1422	4.52230427721439	-2.3434920118161	348	Bis5-nucleosyl-tetraphosphatase	Grosmannia clavigera	Ophiostoma piceae	K00988	E2.7.7.53; ATP adenylyltransferase [EC:2.7.7.53]	ap4a phosphorylase ii	1	F:catalytic activity	-	N	0	6	1	0	6	0	0	6
gene_1444	8.47472967224896	-3.29029453520446	334	GTPase-activating protein SAC7	Yarrowia lipolytica	Ophiostoma piceae			gtpase-activating protein for	5	P:signal transduction; C:intracellular; C:endoplasmic reticulum membrane; P:GPI anchor biosynthetic process; C:integral to membrane		N	0	7	0	0	4	0	3	8
gene_1499	20.4134350525513	-3.56471475276235	619	FAD binding domain protein	Stachybotrys chartarum	Ophiostoma piceae			fad binding domain protein	0	-		N	0	6	10	0	2	2	0	30
gene_1519	16.9202648790382	-2.9648991814286	273	Putative uncharacterized protein	Cladophialophora carrionii	Ophiostoma piceae			hypothetical protein SMAC_09002	0	-		N	20	2	0	6	28	4	6	12
gene_1538	298.301143493901	-4.68470710808188	532	Carboxylic acid transporter protein homolog	Grosmannia clavigera	Ophiostoma piceae	K08178	JEN; MFS transporter, SHS family, lactate transporter	sugar transporter	4	P:transmembrane transport; P:carbohydrate transport; C:integral to membrane; F:transmembrane transporter activity	-	N	70	43	36	30	322	297	142	148
gene_1555	27.1414733147866	-5.11803235611923	287	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_2256	0	-		Y	3	2	0	0	22	30	4	28
