subject_id	Gene_ID	exprLevel_log	LogFC	Protein_ID	transcript_ID
Potri.001G182300.2	WUAT02004297.1	2.370731342	3.909009023	171564	171564
Potri.010G240600.1	WUAT02017083.1	13.10982289	2.112989375	228699	228699
Potri.015G033600.1	WUAT02015182.1	4.683385231	3.370790179	265842	265842
Potri.005G022700.1	WUAT02011467.1	9.072523152	2.122597652	268699	268699
Potri.012G108000.1	WUAT02021224.1	1.382644416	2.542016829	423284	433985
Potri.001G052300.1	WUAT02018897.1	11.4141215	2.062366302	547984	547984
Potri.002G018000.1	WUAT02019294.1	9.945224681	2.064775602	550845	550845
Potri.007G081200.1	WUAT02007742.1	6.400102188	2.106905967	562708	562708
Potri.007G016100.2	WUAT02007175.1	8.536812747	2.275994392	563247	563247
Potri.010G052500.1	WUAT02001524.1	2.899351787	2.101995225	565949	565949
Potri.010G052500.1	WUAT02018674.1	7.741556734	2.235826539	565949	565949
Potri.013G029300.2	WUAT02006782.1	4.735866519	2.12275621	570914	570914
Potri.001G019400.1	WUAT02002758.1	4.440420761	4.227662134	639874	639874
Potri.009G132100.1	WUAT02022099.1	8.751479389	2.478751052	649249	649249
Potri.019G130700.1	WUAT02020452.1	12.30514903	2.073035039	665925	665925
Potri.019G130700.1	WUAT02020452.1	12.30514903	2.073035039	665925	665925
Potri.008G111200.1	WUAT02014544.1	1.222033517	2.311699934	720837	720837
Potri.019G092300.1	WUAT02004464.1	8.627629117	2.626325408	738919	738919
Potri.012G105500.1	WUAT02001530.1	5.907729322	2.230309183	773254	773254
Potri.015G128100.1	WUAT02022777.1	7.309433384	2.891756576	776563	776563
Potri.003G159500.1	WUAT02006813.1	1.730504355	2.108219655	817491	817491
Potri.009G038200.2	WUAT02020292.1	7.999715484	2.348152566	821525	821525
Potri.015G069200.2	WUAT02013950.1	9.834845716	2.602014674	824634	824634
Potri.018G068400.1	WUAT02000393.1	7.74450192	2.24461209	828220	828220
Potri.005G210100.1	WUAT02018025.1	8.418156855	2.004703594	831588	831588
Potri.008G174500.1	WUAT02015713.1	6.868934394	2.102778718	832849	832849
Potri.009G011000.8	WUAT02005179.1	8.748351711	3.263364418	833327	833327
