Gene_ID	Level	LogFC	Size..aa.	Final.Description	X.1st.BLASTp.hit...if.blank..see.next.column.	X.1st.BLASTp.hit...blank.are.real.orphans..	KO.	Name.KEGG	Annotation	X.GO.Terms	GO.Terms	Enzyme.Code	SignalP	Gene_ID.y	B_T1_Rep1	B_T1_Rep2	B_T1_Rep3	B_T1_Rep4	B_T2_Rep1	B_T2_Rep2	B_T2_Rep3	B_T2_Rep4	protein_ID	transcript_ID
gene_10	0.611522693008407	1.15253740293664	439	Putative uncharacterized protein	Capronia epimyces	Capronia epimyces			duf1479 domain protein	0	-		N	gene_12	8	0	0	2	0	0	0	0	1978572	1978826
gene_100	10.53708906993	-0.0029132898054954	84	Putative uncharacterized protein	Togninia minima	Ophiostoma piceae			hypothetical protein CH063_11335	3	F:metal ion binding; P:metabolic process; F:oxidoreductase activity	-	N	gene_103	30	1	24	20	24	7	0	30	1978663	1978917
gene_1000	20.4995829624509	-0.0629050125845858	355	Guanine nucleotide-binding protein alpha-3 subunit (GP3-alpha) / Mod-D partial suppressor of vegetative incompatibility	Magnaporthe oryzae	Ophiostoma piceae	K04640	GNA; guanine nucleotide-binding protein subunit alpha, other	guanine nucleotide-binding protein alpha-3 subunit	13	F:signal transducer activity; P:replicative cell aging; F:GTP binding; P:GTP catabolic process; P:ascospore formation; P:adenylate cyclase-activating G-protein coupled receptor signaling pathway; P:sporocarp development involved in sexual reproduction; P:pseudohyphal growth; P:regulation of cell size; P:glucose mediated signaling pathway; F:GTPase activity; C:plasma membrane; C:mitochondrion	-	N	gene_1003	63	0	22	99	20	17	7	40	1979563	1979817
gene_1001	160.228146934746	-0.539796985729314	892	Glycogen phosphorylase	Grosmannia clavigera	Ophiostoma piceae	K00688	E2.4.1.1, glgP, PYG; starch phosphorylase [EC:2.4.1.1]	glycogen phosphorylase	4	C:cytoplasm; F:glycogen phosphorylase activity; P:glycogen catabolic process; F:pyridoxal phosphate binding	-	N	gene_1004	294	26	208	409	286	118	58	323	1979564	1979818
gene_1002	29.9604276547403	-0.0440482457502535	373	Mitogen-activated protein kinase HOG1 (MAP kinase HOG1)	Pestalotiopsis fici	Ophiostoma piceae	K04441	P38; p38 MAP kinase [EC:2.7.11.24]	stress-activated map kinase	7	F:MAP kinase activity; P:protein phosphorylation; P:regulation of transcription, DNA-dependent; F:ATP binding; C:cytoplasm; C:nucleus; P:MAPK cascade	EC:2.7.11.24	N	gene_1005	49	8	41	110	35	34	2	91	1979565	1979819
gene_1003	15.5518385039183	0.634362452672261	1 035	Late secretory pathway protein AVL9 (APL2 VPS1 synthetic lethal protein 9)	Grosmannia clavigera	Ophiostoma piceae			cytoplasm protein	0	-		N	gene_1006	31	4	42	54	10	11	0	58	1979566	1979820
gene_1004	20.734773738803	-0.652026783585922	907	Quinate repressor protein	Grosmannia clavigera	Ophiostoma piceae			quinate repressor	2	F:catalytic activity; F:nucleotide binding	-	N	gene_1007	29	0	44	58	36	15	10	31	1979567	1979821
gene_1005	6.14007142812599	0.723351203161352	429	Quinic acid utilization activator	Grosmannia clavigera	Sporothrix schenckii			quinic acid utilization activator	4	F:sequence-specific DNA binding RNA polymerase II transcription factor activity; P:regulation of transcription from RNA polymerase II promoter; C:nucleus; F:zinc ion binding	-	N	gene_1008	36	0	8	22	8	8	0	0	1979568	1979822
gene_1006	0.885144036885964	-0.659405735499835	153	Endoribonuclease l-psp	Grosmannia clavigera	Ophiostoma piceae			endoribonuclease l-psp	3	F:carbon-nitrogen ligase activity, with glutamine as amido-N-donor; P:biological_process; C:cellular_component		N	gene_1009	1	0	1	2	2	2	0	2	1979569	1979823
gene_1007	3.80623279638954	-0.123476289718746	347	DUF395 domain containing protein	Grosmannia clavigera	Ophiostoma piceae			family protein	0	-		N	gene_1010	16	0	4	10	0	4	0	25	1979570	1979824
gene_1008	24.7948049975901	0.349299229619026	378	Alcohol dehydrogenase	Grosmannia clavigera	Ophiostoma piceae	K13955	yogA; zinc-binding alcohol dehydrogenase/oxidoreductase	zinc-binding dehydrogenase	1	F:binding	-	N	gene_1011	72	6	52	52	32	23	0	68	1979571	1979825
gene_1009	5.60632551918229	-0.363738946456634	323	KRR1 small subunit processome component KRR-R motif-containing protein 1	Grosmannia clavigera	Ophiostoma piceae	K06961	KRR1; ribosomal RNA assembly protein	ribosomal rna assembly protein krr1	5	F:RNA binding; C:nucleolus; C:90S preribosome; C:small-subunit processome; P:endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	-	N	gene_1012	10	0	10	22	7	0	0	47	1979572	1979826
gene_101	0	0	204	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		N	gene_104	0	0	0	0	0	0	0	0	1978664	1978918
gene_1010	16.5327562611717	0.156044485652229	410	GATA type zinc finger protein asd-4 (Ascus development protein 4)	Grosmannia clavigera	Ophiostoma piceae	K09184	GATAF; GATA-binding protein, other eukaryote	gata transcription factor	3	F:metal ion binding; P:transcription, DNA-dependent; F:DNA binding	-	N	gene_1013	48	0	47	40	20	6	4	52	1979573	1979827
gene_1011	20.5042348802103	0.443273142679766	476	Uncharacterized membrane protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_1569	1	P:mycelium development	-	N	gene_1014	57	2	46	83	8	14	6	47	1979574	1979828
