Gene_ID	Level	logFC	Size..aa.	Final.Description	X.1st.BLASTp.hit...if.blank..see.next.column.	X.1st.BLASTp.hit...blank.are.real.orphans..	KO.	Name.KEGG	Annotation	X.GO.Terms	GO.Terms	Enzyme.Code	SignalP	E_T1_Rep1	E_T1_Rep2	E_T1_Rep3	E_T1_Rep4	E_T2_Rep1	E_T2_Rep2	E_T2_Rep3	E_T2_Rep4
gene_100	12.0828852100692	2.31206360467108	84	Putative uncharacterized protein	Togninia minima	Ophiostoma piceae			hypothetical protein CH063_11335	3	F:metal ion binding; P:metabolic process; F:oxidoreductase activity	-	N	55	52	30	6	6	0	7	3
gene_102	14.3825541008722	3.19993897516022	544	Amino-acid permease	Grosmannia clavigera	Ophiostoma piceae	K16261	YAT; yeast amino acid transporter	amino-acid permease inda1	3	C:integral to membrane; F:amino acid transmembrane transporter activity; P:amino acid transmembrane transport	-	N	84	16	49	16	2	0	6	2
gene_1048	10.4810448679539	2.41067073692581	756	Asparagine amidase a	Grosmannia clavigera	Ophiostoma piceae			peptide-n4-(n-acetyl-beta-glucosaminyl)asparagine amidase a	3	F:molecular_function; P:biological_process; C:cellular_component		N	36	10	46	18	2	0	0	10
gene_1055.1	13.3311169182206	2.12214687734703	339	Metacaspase	Grosmannia clavigera	Ophiostoma piceae			mca1_debha ame: full=metacaspase-1 flags: precursor	5	P:proteolysis; F:cysteine-type endopeptidase activity; F:RNA polymerase II transcription cofactor activity; C:mediator complex; P:regulation of transcription from RNA polymerase II promoter		N	29	40	48	22	2	0	14	6
gene_1056	5.45733098334615	2.17297291591821	389	Fructosyl peptide oxidase (Octopine oxidase subunit B)	Grosmannia clavigera	Ophiostoma piceae			glycine d-amino acid deaminating	2	P:oxidation-reduction process; F:oxidoreductase activity		N	30	12	16	4	2	0	0	4
gene_1063	43.6987502773617	2.45553387078264	276	Extradiol ring-cleavage class 3 subunit b	Grosmannia clavigera	Ophiostoma piceae	K15777	DOPA; 4,5-DOPA dioxygenase extradiol [EC:1.13.11.-]	extradiol ring-cleavage class 3 subunit b	4	F:ferrous iron binding; P:cellular aromatic compound metabolic process; P:oxidation-reduction process; F:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen	-	N	85	117	127	97	22	0	16	21
gene_1104	73.633974588599	3.77886717269343	1 041	Glycosyl hydrolase family 31	Colletotrichum fioriniae	Ophiostoma piceae			glycoside hydrolase family 31 protein	1	F:hydrolase activity	-	Y	327	184	300	84	20	0	14	8
gene_1209	6.73187996675433	2.39238310056123	250	Putative uncharacterized protein	Nectria haematococca	Ophiostoma piceae			hypothetical protein NECHADRAFT_33829	0	-		Y	18	22	33	8	0	0	8	0
gene_1214	45.0867163012012	2.08091045361833	574	Superoxide-generating NADPH oxidase heavy chain subunit A	Sordaria macrospora	Ophiostoma piceae	K08008	NOX, GP91; NADPH oxidase	nadph oxidase isoform 2	4	C:integral to membrane; F:oxidoreductase activity; P:mycelium development; P:oxidation-reduction process	-	N	101	138	166	65	38	0	24	14
gene_1232	4.36975293905706	2.03579881881614	880	GTPase-binding protein rid1	Grosmannia clavigera	Ophiostoma piceae			gtpase binding protein rid1	3	F:actin binding; P:actin cytoskeleton organization; F:Rho GTPase binding		N	16	32	10	0	0	0	6	0
gene_1237	2.13859915957495	2.39977220158634	531	Putative uncharacterized protein	Colletotrichum sublineola	Ophiostoma piceae			hypothetical protein MBM_01101	0	-		N	7	0	10	6	0	0	0	0
gene_1255	15.671268828026	2.41367327574905	506	Putative uncharacterized protein	Podospora anserina	Ophiostoma piceae			short-chain dehydrogenase reductase sdr	0	-		N	66	42	45	18	8	0	8	4
gene_1300	128.979810866791	2.35446168635342	352	Glycoside hydrolase family 43 protein	Myceliophthora thermophila	Ophiostoma piceae			glycoside hydrolase family 43 protein	1	F:hydrolase activity	-	Y	69	1293	133	105	10	2	95	86
gene_1310	4.2822583138268	3.2576920593703	298	Alpha beta hydrolase fold family	Grosmannia clavigera	Ophiostoma piceae			alpha beta	2	P:metabolic process; F:hydrolase activity	-	N	16	13	15	8	0	0	0	0
gene_1343	15.1373451535681	2.17658187354038	891	Casein kinase I homolog 2	Macrophomina phaseolina	Ophiostoma piceae			ck1 ck1 ck1-g protein kinase	3	P:phosphorylation; F:protein kinase activity; F:nucleotide binding	-	N	31	30	54	32	2	0	12	10
gene_1372	6.78312312004591	2.59626287480308	159	Putative uncharacterized protein	Togninia minima	Sporothrix schenckii			hypothetical protein MAC_06380	0	-		Y	36	12	29	5	5	0	0	0
