Gene_ID	Level	logFC	Size..aa.	Final.Description	X.1st.BLASTp.hit...if.blank..see.next.column.	X.1st.BLASTp.hit...blank.are.real.orphans..	KO.	Name.KEGG	Annotation	X.GO.Terms	GO.Terms	Enzyme.Code	SignalP	G_T1_Rep1	G_T1_Rep2	G_T1_Rep3	G_T1_Rep4	G_T2_Rep1	G_T2_Rep2	G_T2_Rep3	G_T2_Rep4
gene_1067	4.17262133456933	-2.76602609879231	374	Kinase activator protein	Grosmannia clavigera	Ophiostoma piceae			kinase activator protein	3	F:kinase activity; P:autophagy; P:phosphorylation		N	2	0	0	2	8	0	24	4
gene_1098	12.0958996289036	-2.02916337192355	1 050	tRNA processing endoribonuclease	Grosmannia clavigera	Ophiostoma piceae	K00784	rnz; ribonuclease Z [EC:3.1.26.11]	trna processing endoribonuclease	1	F:hydrolase activity		N	24	0	0	28	60	8	68	2
gene_1122	15.991519407064	-2.18772242386799	474	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_7865	0	-		N	13	2	0	41	68	35	4	22
gene_1152	13.9793558762907	-4.38906662722464	325	Catalase domain containing protein	Grosmannia clavigera	Ophiostoma piceae	K03781	katE, CAT, catB, srpA; catalase [EC:1.11.1.6]	catalase domain containing protein	1	F:peroxidase activity	EC:1.11.1.7	N	0	0	0	6	187	6	4	18
gene_117	14.0412504893384	-2.10167773890821	1 035	Leucine-tRNA ligase, mitochondrial	Myceliophthora thermophila	Ophiostoma piceae	K01869	LARS, leuS; leucyl-tRNA synthetase [EC:6.1.1.4]	leucyl-trna synthetase	4	F:nucleotide binding; F:aminoacyl-tRNA ligase activity; P:tRNA aminoacylation for protein translation; C:cytoplasm	-	N	28	0	0	30	58	30	38	10
gene_1271	7.85834159484892	-2.39752703241442	300	Helix-loop-helix DNA-binding domain containing protein	Pestalotiopsis fici	Ophiostoma piceae			helix-loop-helix dna-binding domain containing protein	2	F:protein dimerization activity; F:DNA binding		N	3	0	0	25	48	32	20	2
gene_1288	147.606269182342	-2.02187879131908	351	Isoflavone reductase family protein	Grosmannia clavigera	Ophiostoma piceae			isoflavone reductase family protein	6	F:nucleotide binding; P:oxidation-reduction process; F:oxidoreductase activity; P:tryptophan metabolic process; F:tryptophan synthase activity; P:tryptophan biosynthetic process		N	199	26	2	274	1033	402	110	110
gene_1330	3.99854128125835	-2.56231013194225	243	Pyridoxamine 5'-phosphate oxidase	Aureobasidium pullulans	Ophiostoma piceae			pyridoxamine 5 -phosphate oxidase	2	F:oxidoreductase activity; 	-	N	2	0	0	4	12	4	2	8
gene_1332	15.2349038488166	-4.38174856484177	279	Uncharacterized methyltransferase	Fusarium verticillioides	Ophiostoma piceae			hypothetical protein FOXB_11921	0	-		N	0	0	0	8	140	10	8	24
gene_1421	7.29948153227139	-2.38760973714522	369	FIT family protein scs3	Colletotrichum gloeosporioides	Ophiostoma piceae			inositol phospholipid synthesis protein scs3p	0	-		N	2	0	0	24	23	4	48	2
