Gene_ID	explevel_log	subject_id
WUAT02000001.1	9.59837214989603	Potri.013G162500.1
WUAT02000002.1	9.70813457487233	Potri.002G176000.1
WUAT02000005.1	8.25562637588683	Potri.002G099200.1
WUAT02000007.1	9.2829992571726	Potri.001G409500.1
WUAT02000010.1	10.6155240091176	Potri.014G046000.3
WUAT02000011.1	7.37767312458435	Potri.013G046400.6
WUAT02000014.1	10.1862428899614	Potri.001G359700.6
WUAT02000015.1	7.94115037276565	Potri.013G143400.2
WUAT02000019.1	10.154925215048	Potri.013G133550.2
WUAT02000023.1	8.84876607773976	Potri.017G041800.5
WUAT02000025.1	9.60061249722878	Potri.011G103401.1
WUAT02000028.1	9.17722426196565	Potri.001G354700.3
WUAT02000032.1	9.34534255171567	Potri.012G084100.1
WUAT02000037.1	10.4911756474011	Potri.015G002600.1
WUAT02000038.1	5.53093472429067	Potri.006G118800.1
WUAT02000039.1	11.2902990752878	Potri.001G330300.8
WUAT02000041.1	4.47417217133329	Potri.019G030600.2
WUAT02000042.1	8.29926225777326	Potri.001G457700.1
WUAT02000046.1	8.6672701223553	Potri.005G045100.1
WUAT02000049.1	8.66871345420866	Potri.017G083200.6
WUAT02000051.1	10.5831843056421	Potri.016G049000.1
WUAT02000052.1	7.76700548826513	Potri.007G062302.1
WUAT02000054.1	6.98201582230206	Potri.006G259600.3
WUAT02000055.1	11.0682788389185	Potri.004G125150.1
WUAT02000059.1	11.4808571197882	Potri.010G052500.1
WUAT02000060.1	10.5358421174889	Potri.002G246500.1
WUAT02000064.1	9.8698383187889	Potri.010G103000.1
WUAT02000068.1	10.8500346032467	Potri.009G027000.3
WUAT02000069.1	11.0843715087197	Potri.014G141000.2
WUAT02000073.1	9.55389275975982	Potri.010G116600.1
WUAT02000078.1	10.0046382266957	Potri.009G056500.2
WUAT02000082.1	9.02381936746552	Potri.016G001400.12
WUAT02000084.1	10.1347161999936	Potri.002G106400.1
WUAT02000086.1	9.99647674911666	Potri.006G103900.2
WUAT02000087.1	9.60347178713431	Potri.019G036500.1
