Protein_ID	subject_id	Gene_ID	exprLevel_log	LogFC	transcript_ID	goTermId	goName	gotermType	goAcc
171564	Potri.001G182300.2	WUAT02004297.1	2.370731342	3.909009023	171564	4072	microtubule-based movement	biological_process	GO:0007018
171564	Potri.001G182300.2	WUAT02004297.1	2.370731342	3.909009023	171564	2982	microtubule associated complex	cellular_component	GO:0005875
171564	Potri.001G182300.2	WUAT02004297.1	2.370731342	3.909009023	171564	2653	ATP binding	molecular_function	GO:0005524
171564	Potri.001G182300.2	WUAT02004297.1	2.370731342	3.909009023	171564	1124	microtubule motor activity	molecular_function	GO:0003777
228699	Potri.010G240600.1	WUAT02017083.1	13.10982289	2.112989375	228699	14745	nutrient reservoir activity	molecular_function	GO:0045735
265842	Potri.015G033600.1	WUAT02015182.1	4.683385231	3.370790179	265842	1056	DNA binding	molecular_function	GO:0003677
265842	Potri.015G033600.1	WUAT02015182.1	4.683385231	3.370790179	265842	2757	nucleus	cellular_component	GO:0005634
268699	Potri.005G022700.1	WUAT02011467.1	9.072523152	2.122597652	268699	11394	pectinesterase activity	molecular_function	GO:0030599
268699	Potri.005G022700.1	WUAT02011467.1	9.072523152	2.122597652	268699	13102	cell wall modification	biological_process	GO:0042545
268699	Potri.005G022700.1	WUAT02011467.1	9.072523152	2.122597652	268699	2742	cell wall	cellular_component	GO:0005618
562708	Potri.007G081200.1	WUAT02007742.1	6.400102188	2.106905967	562708	9451	alpha-pinene dehydrogenase activity	molecular_function	GO:0018600
562708	Potri.007G081200.1	WUAT02007742.1	6.400102188	2.106905967	562708	3218	obsolete electron transport	biological_process	GO:0006118
562708	Potri.007G081200.1	WUAT02007742.1	6.400102188	2.106905967	562708	9443	4-nitrocatechol 4-monooxygenase activity	molecular_function	GO:0018592
562708	Potri.007G081200.1	WUAT02007742.1	6.400102188	2.106905967	562708	9440	di-n-butyltin dioxygenase activity	molecular_function	GO:0018589
562708	Potri.007G081200.1	WUAT02007742.1	6.400102188	2.106905967	562708	9437	mono-butyltin dioxygenase activity	molecular_function	GO:0018586
562708	Potri.007G081200.1	WUAT02007742.1	6.400102188	2.106905967	562708	9442	methyl tertiary butyl ether 3-monooxygenase activity	molecular_function	GO:0018591
562708	Potri.007G081200.1	WUAT02007742.1	6.400102188	2.106905967	562708	9436	fluorene oxygenase activity	molecular_function	GO:0018585
562708	Potri.007G081200.1	WUAT02007742.1	6.400102188	2.106905967	562708	8437	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	molecular_function	GO:0016705
562708	Potri.007G081200.1	WUAT02007742.1	6.400102188	2.106905967	562708	9446	alpha-pinene monooxygenase activity	molecular_function	GO:0018595
562708	Potri.007G081200.1	WUAT02007742.1	6.400102188	2.106905967	562708	9452	4-nitrophenol 2-monooxygenase activity	molecular_function	GO:0018601
562708	Potri.007G081200.1	WUAT02007742.1	6.400102188	2.106905967	562708	9441	methylsilanetriol hydroxylase activity	molecular_function	GO:0018590
562708	Potri.007G081200.1	WUAT02007742.1	6.400102188	2.106905967	562708	9438	obsolete limonene 8-monooxygenase activity	molecular_function	GO:0018587
562708	Potri.007G081200.1	WUAT02007742.1	6.400102188	2.106905967	562708	9439	tri-n-butyltin dioxygenase activity	molecular_function	GO:0018588
562708	Potri.007G081200.1	WUAT02007742.1	6.400102188	2.106905967	562708	9447	dimethylsilanediol hydroxylase activity	molecular_function	GO:0018596
562708	Potri.007G081200.1	WUAT02007742.1	6.400102188	2.106905967	562708	9448	ammonia monooxygenase activity	molecular_function	GO:0018597
562708	Potri.007G081200.1	WUAT02007742.1	6.400102188	2.106905967	562708	9445	tert-butanol 2-monooxygenase activity	molecular_function	GO:0018594
562708	Potri.007G081200.1	WUAT02007742.1	6.400102188	2.106905967	562708	1783	monooxygenase activity	molecular_function	GO:0004497
