Protein_ID	subject_id	Gene_ID	explevel_log	logFC	transcript_ID	goTermId	goName	gotermType	goAcc
225793	Potri.010G136900.1	WUAT02016110.1	7.086525749	2.574580126	225793	1170	catalytic activity	molecular_function	GO:0003824
265842	Potri.015G033600.1	WUAT02015182.1	5.333242133	4.238247514	265842	2757	nucleus	cellular_component	GO:0005634
265842	Potri.015G033600.1	WUAT02015182.1	5.333242133	4.238247514	265842	1056	DNA binding	molecular_function	GO:0003677
277936	Potri.004G054400.2	WUAT02018124.1	2.872113899	2.264695391	277936	1170	catalytic activity	molecular_function	GO:0003824
413486	Potri.003G125400.1	WUAT02015395.1	11.10461991	2.264591616	424187	18753	protein polymerization	biological_process	GO:0051258
413486	Potri.003G125400.1	WUAT02015395.1	11.10461991	2.264591616	424187	4072	microtubule-based movement	biological_process	GO:0007018
413486	Potri.003G125400.1	WUAT02015395.1	11.10461991	2.264591616	424187	2654	GTP binding	molecular_function	GO:0005525
413486	Potri.003G125400.1	WUAT02015395.1	11.10461991	2.264591616	424187	1264	GTPase activity	molecular_function	GO:0003924
413486	Potri.003G125400.1	WUAT02015395.1	11.10461991	2.264591616	424187	2981	microtubule	cellular_component	GO:0005874
413486	Potri.003G125400.1	WUAT02015395.1	11.10461991	2.264591616	424187	2434	structural molecule activity	molecular_function	GO:0005198
413486	Potri.003G125400.1	WUAT02015395.1	11.10461991	2.264591616	424187	13790	protein-containing complex	cellular_component	GO:0032991
420355	Potri.008G177900.3	WUAT02013014.1	0.708932878	2.340175922	431056	5642	urease activity	molecular_function	GO:0009039
420355	Potri.008G177900.3	WUAT02013014.1	0.708932878	2.340175922	431056	7955	nickel cation binding	molecular_function	GO:0016151
420355	Potri.008G177900.3	WUAT02013014.1	0.708932878	2.340175922	431056	3876	nitrogen compound metabolic process	biological_process	GO:0006807
420355	Potri.008G177900.3	WUAT02013014.1	0.708932878	2.340175922	431056	8516	hydrolase activity	molecular_function	GO:0016787
551637	Potri.002G103800.1	WUAT02007253.1	4.201648198	2.637844115	551637	1894	obsolete secreted phospholipase A2 activity	molecular_function	GO:0004624
551637	Potri.002G103800.1	WUAT02007253.1	4.201648198	2.637844115	551637	1896	obsolete cytosolic phospholipase A2 activity	molecular_function	GO:0004626
551637	Potri.002G103800.1	WUAT02007253.1	4.201648198	2.637844115	551637	1893	phospholipase A2 activity	molecular_function	GO:0004623
551637	Potri.002G103800.1	WUAT02007253.1	4.201648198	2.637844115	551637	10714	protein domain specific binding	molecular_function	GO:0019904
551637	Potri.002G103800.1	WUAT02007253.1	4.201648198	2.637844115	551637	1895	obsolete calcium-dependent secreted phospholipase A2 activity	molecular_function	GO:0004625
551637	Potri.002G103800.1	WUAT02007253.1	4.201648198	2.637844115	551637	16491	calcium-independent phospholipase A2 activity	molecular_function	GO:0047499
