Protein_ID	ecNum	definition	catalyticActivity	cofactors	associatedDiseases	pathway	pathway_class	pathway_type	subject_id	Gene_ID	exprLevel_log	transcript_ID
171787	1.1.1.40	Malate dehydrogenase (oxaloacetate decarboxylating) (NADP+).	(S)-malate + NADP(+) = pyruvate + CO(2) + NADPH.	\N	\N	Carbon fixation	Energy Metabolism	METABOLIC	Potri.001G189700.5	WUAT02021037.1	4.942830066	171787
171787	1.1.1.40	Malate dehydrogenase (oxaloacetate decarboxylating) (NADP+).	(S)-malate + NADP(+) = pyruvate + CO(2) + NADPH.	\N	\N	Pyruvate metabolism	Carbohydrate Metabolism	METABOLIC	Potri.001G189700.5	WUAT02021037.1	4.942830066	171787
172048	2.7.1.-	Phosphotransferases with an alcohol group as acceptor.	\N	\N	\N	Nicotinate and nicotinamide metabolism	Metabolism of Cofactors and Vitamins	METABOLIC	Potri.001G217700.1	WUAT02003579.1	10.80949916	172048
172048	2.7.1.-	Phosphotransferases with an alcohol group as acceptor.	\N	\N	\N	Sphingoglycolipid metabolism	Metabolism of Complex Lipids	METABOLIC	Potri.001G217700.1	WUAT02003579.1	10.80949916	172048
172048	2.7.1.-	Phosphotransferases with an alcohol group as acceptor.	\N	\N	\N	Inositol phosphate metabolism	Metabolism of Complex Lipids	METABOLIC	Potri.001G217700.1	WUAT02003579.1	10.80949916	172048
172048	2.7.1.-	Phosphotransferases with an alcohol group as acceptor.	\N	\N	\N	Starch and sucrose metabolism	Metabolism of Complex Carbohydrates	METABOLIC	Potri.001G217700.1	WUAT02003579.1	10.80949916	172048
172048	2.7.1.-	Phosphotransferases with an alcohol group as acceptor.	\N	\N	\N	Benzoate degradation via CoA ligation	Biodegradation of Xenobiotics	METABOLIC	Potri.001G217700.1	WUAT02003579.1	10.80949916	172048
172338	3.6.1.3	Adenosinetriphosphatase.	ATP + H(2)O = ADP + phosphate.	\N	Hemolytic anemia due to deficiency of adenosine triphosphatase; MIM:102800.	Purine metabolism	Nucleotide Metabolism	METABOLIC	Potri.001G250700.1	WUAT02022631.1	10.1154462	172338
172338	3.6.1.3	Adenosinetriphosphatase.	ATP + H(2)O = ADP + phosphate.	\N	Hemolytic anemia due to deficiency of adenosine triphosphatase; MIM:102800.	Purine metabolism	Nucleotide Metabolism	METABOLIC	Potri.001G250700.1	WUAT02018336.1	5.661725672	172338
173877	2.7.7.8	Polyribonucleotide nucleotidyltransferase.	{RNA}(N+1) + phosphate = {RNA}(N) + a nucleoside diphosphate.	\N	\N	Pyrimidine metabolism	Nucleotide Metabolism	METABOLIC	Potri.001G347900.2	WUAT02015012.1	8.29709964	173877
173877	2.7.7.8	Polyribonucleotide nucleotidyltransferase.	{RNA}(N+1) + phosphate = {RNA}(N) + a nucleoside diphosphate.	\N	\N	Purine metabolism	Nucleotide Metabolism	METABOLIC	Potri.001G347900.2	WUAT02015012.1	8.29709964	173877
174089	2.7.7.6	DNA-directed RNA polymerase.	N nucleoside triphosphate = N diphosphate + {RNA}(N).	\N	\N	Purine metabolism	Nucleotide Metabolism	METABOLIC	Potri.001G341900.1	WUAT02012522.1	9.36334906	174089
174089	2.7.7.6	DNA-directed RNA polymerase.	N nucleoside triphosphate = N diphosphate + {RNA}(N).	\N	\N	Pyrimidine metabolism	Nucleotide Metabolism	METABOLIC	Potri.001G341900.1	WUAT02012522.1	9.36334906	174089
174089	2.7.7.6	DNA-directed RNA polymerase.	N nucleoside triphosphate = N diphosphate + {RNA}(N).	\N	\N	  RNA polymerase	TRANSCRIPTION	REGULATORY	Potri.001G341900.1	WUAT02012522.1	9.36334906	174089
174716	6.2.1.3	Long-chain-fatty-acid--CoA ligase.	ATP + a long-chain carboxylic acid + CoA = AMP + diphosphate + an acyl-CoA.	\N	\N	Fatty acid metabolism	Lipid Metabolism	METABOLIC	Potri.001G321800.2	WUAT02019239.1	9.493927548	174716
175077	2.7.1.37	Protein kinase.	ATP + a protein = ADP + a phosphoprotein.	\N	\N	\N	\N	\N	Potri.001G308600.1	WUAT02004309.1	9.619877419	175077
175325	1.1.1.95	Phosphoglycerate dehydrogenase.	3-phosphoglycerate + NAD(+) = 3-phosphohydroxypyruvate + NADH.	\N	3-phosphoglycerate dehydrogenase deficiency; MIM:601815.	Glycine, serine and threonine metabolism	Amino Acid Metabolism	METABOLIC	Potri.001G300900.1	WUAT02001132.1	9.964879721	175325
175504	3.2.1.21	Beta-glucosidase.	Hydrolysis of terminal, non-reducing beta-D-glucose residues with release of beta-D-glucose.	\N	\N	Cyanoamino acid metabolism	Metabolism of Other Amino Acids	METABOLIC	Potri.001G294700.1	WUAT02010024.1	9.218986348	175504
175504	3.2.1.21	Beta-glucosidase.	Hydrolysis of terminal, non-reducing beta-D-glucose residues with release of beta-D-glucose.	\N	\N	Flavonoids, stilbene and lignin biosynthesis	Biosynthesis of Secondary Metabolites	METABOLIC	Potri.001G294700.1	WUAT02010024.1	9.218986348	175504
175504	3.2.1.21	Beta-glucosidase.	Hydrolysis of terminal, non-reducing beta-D-glucose residues with release of beta-D-glucose.	\N	\N	Starch and sucrose metabolism	Metabolism of Complex Carbohydrates	METABOLIC	Potri.001G294700.1	WUAT02010024.1	9.218986348	175504
179726	2.7.1.-	Phosphotransferases with an alcohol group as acceptor.	\N	\N	\N	Nicotinate and nicotinamide metabolism	Metabolism of Cofactors and Vitamins	METABOLIC	Potri.001G082900.1	WUAT02004923.1	8.401953159	179726
179726	2.7.1.-	Phosphotransferases with an alcohol group as acceptor.	\N	\N	\N	Sphingoglycolipid metabolism	Metabolism of Complex Lipids	METABOLIC	Potri.001G082900.1	WUAT02004923.1	8.401953159	179726
179726	2.7.1.-	Phosphotransferases with an alcohol group as acceptor.	\N	\N	\N	Starch and sucrose metabolism	Metabolism of Complex Carbohydrates	METABOLIC	Potri.001G082900.1	WUAT02004923.1	8.401953159	179726
179726	2.7.1.-	Phosphotransferases with an alcohol group as acceptor.	\N	\N	\N	Inositol phosphate metabolism	Metabolism of Complex Lipids	METABOLIC	Potri.001G082900.1	WUAT02004923.1	8.401953159	179726
179726	2.7.1.-	Phosphotransferases with an alcohol group as acceptor.	\N	\N	\N	Benzoate degradation via CoA ligation	Biodegradation of Xenobiotics	METABOLIC	Potri.001G082900.1	WUAT02004923.1	8.401953159	179726
181064	3.6.1.-	In phosphorous-containing anhydrides.	\N	\N	\N	Folate biosynthesis	Metabolism of Cofactors and Vitamins	METABOLIC	Potri.001G180200.1	WUAT02022663.1	9.268421967	181064
181064	3.6.1.-	In phosphorous-containing anhydrides.	\N	\N	\N	Starch and sucrose metabolism	Metabolism of Complex Carbohydrates	METABOLIC	Potri.001G180200.1	WUAT02022663.1	9.268421967	181064
181167	4.3.3.2	Strictosidine synthase.	3-alpha(S)-strictosidine = tryptamine + secologanin.	\N	\N	Terpenoid biosynthesis	Biosynthesis of Secondary Metabolites	METABOLIC	Potri.001G214500.1	WUAT02016628.1	10.04000924	181167
195222	2.1.1.32	tRNA (guanine-N2-)-methyltransferase.	S-adenosyl-L-methionine + tRNA = S-adenosyl-L-homocysteine + tRNA containing N2-methylguanine.	\N	\N	\N	\N	\N	Potri.004G117900.1	WUAT02003344.1	9.327969503	195222
196076	3.2.1.23	Beta-galactosidase.	Hydrolysis of terminal, non-reducing beta-D-galactose residues in beta-D-galactosides.	\N	Gangliosidosis, generalized GM1; MIM:230500. Mucopolysaccharidosis IVB; MIM:253010.	Galactose metabolism	Carbohydrate Metabolism	METABOLIC	Potri.004G174800.1	WUAT02018662.1	4.535324145	196076
196076	3.2.1.23	Beta-galactosidase.	Hydrolysis of terminal, non-reducing beta-D-galactose residues in beta-D-galactosides.	\N	Gangliosidosis, generalized GM1; MIM:230500. Mucopolysaccharidosis IVB; MIM:253010.	Glycosaminoglycan degradation	Metabolism of Complex Carbohydrates	METABOLIC	Potri.004G174800.1	WUAT02018662.1	4.535324145	196076
196076	3.2.1.23	Beta-galactosidase.	Hydrolysis of terminal, non-reducing beta-D-galactose residues in beta-D-galactosides.	\N	Gangliosidosis, generalized GM1; MIM:230500. Mucopolysaccharidosis IVB; MIM:253010.	Sphingoglycolipid metabolism	Metabolism of Complex Lipids	METABOLIC	Potri.004G174800.1	WUAT02018662.1	4.535324145	196076
196076	3.2.1.23	Beta-galactosidase.	Hydrolysis of terminal, non-reducing beta-D-galactose residues in beta-D-galactosides.	\N	Gangliosidosis, generalized GM1; MIM:230500. Mucopolysaccharidosis IVB; MIM:253010.	Glycerolipid metabolism	Metabolism of Complex Lipids	METABOLIC	Potri.004G174800.1	WUAT02018662.1	4.535324145	196076
196076	3.2.1.23	Beta-galactosidase.	Hydrolysis of terminal, non-reducing beta-D-galactose residues in beta-D-galactosides.	\N	Gangliosidosis, generalized GM1; MIM:230500. Mucopolysaccharidosis IVB; MIM:253010.	N-Glycan degradation	Metabolism of Complex Carbohydrates	METABOLIC	Potri.004G174800.1	WUAT02018662.1	4.535324145	196076
