Gene_ID	subject_id	D_T1_Rep1	D_T1_Rep2	D_T1_Rep3	D_T1_Rep4	D_T2_Rep1	D_T2_Rep2	D_T2_Rep3	D_T2_Rep4
WUAT02000001.1	Potri.013G162500.1	11146	15168	14080	10674	14210	12272	13804	15066
WUAT02000002.1	Potri.002G176000.1	15356	14752	17130	11816	15912	17300	15172	17040
WUAT02000005.1	Potri.002G099200.1	2578	3150	2752	3426	4826	4336	4812	5166
WUAT02000007.1	Potri.001G409500.1	12612	11524	16462	10926	35176	18564	47270	56566
WUAT02000010.1	Potri.014G046000.3	28368	36516	36460	34714	40294	39322	68820	67794
WUAT02000011.1	Potri.013G046400.6	2834	2252	800	818	834	1128	316	524
WUAT02000014.1	Potri.001G359700.6	20596	30450	26196	18226	34914	27144	30156	36264
WUAT02000015.1	Potri.013G143400.2	2294	5744	1778	1120	1634	1726	980	1034
WUAT02000019.1	Potri.013G133550.2	21670	23652	27498	19804	30346	27918	29754	36294
WUAT02000023.1	Potri.017G041800.5	8838	5052	3092	1698	4512	2996	3402	4774
WUAT02000025.1	Potri.011G103401.1	12448	9926	6402	6212	10034	9532	8008	7156
WUAT02000028.1	Potri.001G354700.3	6328	8932	6196	5600	7690	7112	6326	6214
WUAT02000032.1	Potri.012G084100.1	6378	9270	4302	4028	6878	6458	6078	5118
WUAT02000037.1	Potri.015G002600.1	32304	36644	35412	28522	42302	37600	40314	38872
WUAT02000038.1	Potri.006G118800.1	68	88	50	218	108	340	214	212
WUAT02000039.1	Potri.001G330300.8	56510	57412	70320	78858	51520	55430	59218	75020
WUAT02000041.1	Potri.019G030600.2	164	276	46	34	76	44	116	96
WUAT02000042.1	Potri.001G457700.1	2248	7146	19540	4886	10684	8948	4418	11684
WUAT02000046.1	Potri.005G045100.1	4508	4678	3296	2718	3544	4782	5196	3580
WUAT02000049.1	Potri.017G083200.6	5492	5880	3144	3686	3168	4312	1342	1944
WUAT02000051.1	Potri.016G049000.1	31976	36244	44936	27198	31588	34208	25448	33846
WUAT02000052.1	Potri.007G062302.1	1824	4780	2298	1108	2112	7696	15214	2970
WUAT02000054.1	Potri.006G259600.3	250	500	518	1342	1750	1132	1372	1298
WUAT02000055.1	Potri.004G125150.1	75172	72490	70702	56528	77710	64186	44366	57162
WUAT02000059.1	Potri.010G052500.1	156696	149158	141640	116010	108372	101204	47990	85506
WUAT02000060.1	Potri.002G246500.1	26098	28432	19122	14720	23388	25178	20988	19334
WUAT02000064.1	Potri.010G103000.1	11292	14700	23618	17030	20040	18276	25302	27088
WUAT02000068.1	Potri.009G027000.3	48228	43736	52518	43764	40048	36508	31730	33056
WUAT02000069.1	Potri.014G141000.2	67094	72714	90780	67438	69914	83178	112606	105526
WUAT02000073.1	Potri.010G116600.1	11060	12224	11786	7586	8960	9430	7182	8248
WUAT02000078.1	Potri.009G056500.2	19506	18580	25960	22036	20626	20608	17998	20538
WUAT02000082.1	Potri.016G001400.12	5376	4714	6972	6722	9716	5388	4108	5506
WUAT02000084.1	Potri.002G106400.1	21372	23162	22438	16092	24360	22132	26010	25148
WUAT02000086.1	Potri.006G103900.2	18442	22588	19996	13198	18636	15002	39652	22300
WUAT02000087.1	Potri.019G036500.1	11174	14734	10912	8176	10790	11500	9836	11102
WUAT02000089.1	Potri.013G143400.2	22336	23854	44414	30864	36326	53628	52402	47464
WUAT02000091.1	Potri.002G159400.1	4592	4726	4792	4560	6420	9260	6446	13288
WUAT02000092.1	Potri.007G075500.1	53210	49894	13640	13828	75564	33318	35868	33826
WUAT02000093.1	Potri.013G140850.2	6	2	0	0	0	0	2	0
WUAT02000096.1	Potri.018G088300.1	11722	9684	8518	4654	7656	6902	5418	6410
WUAT02000101.1	Potri.010G252000.6	26796	31410	16640	11060	16788	16302	10548	9498
WUAT02000104.1	Potri.008G088900.2	3422	3898	3442	2410	3552	3424	3954	5252
WUAT02000105.1	Potri.002G072100.1	570	86	2538	2274	2814	1766	2396	3822
WUAT02000109.1	Potri.014G052500.1	36950	38038	44580	32054	40522	42350	41362	53926
WUAT02000114.1	Potri.013G153100.1	4080	5030	6022	4854	9048	5512	10224	10540
WUAT02000117.1	Potri.008G046500.1	1668	622	636	444	606	4156	622	936
WUAT02000122.1	Potri.011G050500.1	11196	14622	13366	9646	14074	12506	11174	11614
WUAT02000123.1	Potri.012G095133.1	20212	24488	25282	18622	23868	21800	20820	25040
WUAT02000126.1	Potri.001G230000.4	1390	1682	2448	2472	4672	6334	8928	9588
WUAT02000127.1	Potri.001G174500.5	2030	2380	1746	778	2900	1968	1106	1734
WUAT02000131.1	Potri.010G052500.1	37078	43146	58476	45046	43372	53414	30180	39162
WUAT02000136.1	Potri.001G312800.7	10404	15004	20868	29720	21004	20192	26358	40686
WUAT02000137.1	Potri.008G221801.2	48	142	36	64	170	118	118	84
WUAT02000139.1	Potri.010G042000.1	576	530	470	308	662	914	894	562
WUAT02000141.1	Potri.005G113600.4	13400	17460	8718	10182	19620	13670	9536	13996
WUAT02000142.1	Potri.012G105800.2	9068	10258	7782	7550	9924	9326	13196	9874
WUAT02000148.1	Potri.006G203300.1	9304	8154	6838	2584	6162	4576	3036	5802
WUAT02000150.1	Potri.011G156900.1	8710	10428	9696	7492	12240	11426	8644	9606
WUAT02000151.1	Potri.014G140400.1	2572	3090	4016	3318	3086	3516	3272	2434
WUAT02000154.1	Potri.001G450401.1	7142	8350	6484	3862	9428	5792	10634	9996
WUAT02000159.1	Potri.005G074200.2	5166	4494	6992	3842	6306	4328	5212	7406
WUAT02000163.1	Potri.005G048700.1	21632	31500	31372	23974	38576	33026	37748	49100
WUAT02000164.1	Potri.001G312800.9	2684	2784	2498	2020	4856	3696	4506	4546
WUAT02000167.1	Potri.005G205400.1	12508	15810	17092	9870	23990	17542	18324	22660
WUAT02000168.1	Potri.014G185804.1	18074	10718	18508	24948	14522	52004	7932	29918
WUAT02000172.1	Potri.007G073100.1	9680	10310	8208	8058	6060	7682	7172	7512
WUAT02000177.1	Potri.013G141912.1	670	856	816	610	1164	1112	928	1150
WUAT02000182.1	Potri.001G375600.1	4	6	10	298	8	22	48	14
WUAT02000184.1	Potri.002G259600.4	43578	45836	41296	27884	38794	35620	24318	29166
