Gene_ID	Level.x	Level.y	Size..aa.	Final.Description	X.1st.BLASTp.hit...if.blank..see.next.column.	X.1st.BLASTp.hit...blank.are.real.orphans..	KO.	Name.KEGG	Annotation	X.GO.Terms	GO.Terms	Enzyme.Code	SignalP	Gene_ID.y	B_T1_Rep1	B_T1_Rep2	B_T1_Rep3	B_T1_Rep4	B_T2_Rep1	B_T2_Rep2	B_T2_Rep3	B_T2_Rep4	protein_ID	transcript_ID
gene_1023	7.66490114303734	2.62107588257833	294	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			nicotinamide n-	3	F:methyltransferase activity; F:transferase activity; P:methylation		N	gene_1027	15	12	1	11	0	2	0	7	1979587	1979841
gene_1024	18.5209207759858	2.24299246358395	1 389	Axial budding pattern protein 2 (Bud site selection protein 10)	Grosmannia clavigera	Ophiostoma piceae			transmembrane glycoprotein	1	F:catalytic activity	-	Y	gene_1028	28	20	10	96	1	4	0	40	1979588	1979842
gene_103	24.7734978177426	2.00401631915919	1 137	Putative uncharacterized protein	Scedosporium apiospermum	Scedosporium apiospermum			hypothetical protein NECHADRAFT_82115	0	-		N	gene_106	44	0	14	398	20	2	0	42	1978666	1978920
gene_1061	2.70108372857915	2.0698906761376	482	Lipase 5	Chaetomium globosum	Ophiostoma piceae			lipase 1 precursor	4	P:lipid catabolic process; F:triglyceride lipase activity; F:hydrolase activity; F:retinyl-palmitate esterase activity		Y	gene_1066	24	0	3	16	0	0	0	4	1979626	1979880
gene_1277	3.86388679899422	2.5439471210716	531	High-affinity glucose transporter	Thielavia terrestris	Ophiostoma piceae			glucose transporter	4	F:substrate-specific transmembrane transporter activity; C:integral to membrane; P:transmembrane transport; P:carbohydrate transport	-	N	gene_1284	8	0	30	15	0	0	0	4	1979844	1980098
gene_13	3.00295108905536	2.48692706836775	257	Putative uncharacterized protein	Colletotrichum gloeosporioides	Sporothrix schenckii			aldehyde dehydrogenase	4	P:oxidation-reduction process; F:oxidoreductase activity; F:oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; P:metabolic process		N	gene_15	4	0	16	32	0	0	0	2	1978575	1978829
gene_1458	17.9281660556351	2.29693331742985	509	High-affinity nickel transport protein nic1	Grosmannia clavigera	Ophiostoma piceae	K07241	nixA; high-affinity nickel-transport protein	nickel transporter	6	F:metal ion binding; P:cobalt ion transport; F:nickel cation transmembrane transporter activity; F:cobalt ion transmembrane transporter activity; C:integral to membrane; P:nickel cation transmembrane transport	-	N	gene_1464	78	0	30	187	8	6	0	16	1980024	1980278
gene_1473	2.74798018832287	2.37436164399857	489	Probable serine/threonine-protein kinase tsuA (Tsunami)	Gaeumannomyces graminis	Gaeumannomyces graminis			serine threonine protein kinase	8	F:ATP binding; F:protein kinase activity; F:nucleotide binding; P:protein phosphorylation; F:transferase activity, transferring phosphorus-containing groups; F:protein serine/threonine kinase activity; F:kinase activity; P:phosphorylation		N	gene_1479	4	0	12	34	0	0	0	2	1980039	1980293
gene_1531	9.41592324264336	2.11260864590372	687	Vegetative incompatibility protein Het-D	Exophiala aquamarina	Ophiostoma piceae			het domain-containing protein	0	-		N	gene_1538	48	0	6	106	13	0	0	2	1980098	1980352
gene_1552	23.147869923757	2.21592639122409	733	Beta-glucosidase L (Cellobiase L/Gentiobiase L)	Pestalotiopsis fici	Ophiostoma piceae	K05349	bglX; beta-glucosidase [EC:3.2.1.21]	glycoside hydrolase family 3 protein	2	P:carbohydrate metabolic process; F:beta-glucosidase activity	EC:3.2.1.21	Y	gene_1559	0	0	46	385	0	6	0	52	1980119	1980373
gene_1577	6.42706516073204	2.45263818417275	175	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_2402	0	-		N	gene_1586	6	10	3	15	0	1	0	9	1980146	1980400
gene_1621	7.85837912232018	2.29785941642666	256	Vacuolar-sorting protein SNF8 (ESCRT-II complex subunit VPS22)	Grosmannia clavigera	Ophiostoma piceae	K12188	SNF8, EAP30; ESCRT-II complex subunit VPS22	ell complex subunit eap30	0	-		N	gene_1630	8	12	4	14	1	4	0	4	1980190	1980444
gene_1646	3.08059779129984	2.00069559208479	295	Ubiquitination network signaling protein	Grosmannia clavigera	Ophiostoma piceae			ubiquitination network signaling protein	0	-		N	gene_1655	10	0	14	23	1	0	0	4	1980215	1980469
gene_171	7.07292217227707	2.34081324271217	435	Endochitinase	Togninia minima	Ophiostoma piceae	K01183	E3.2.1.14; chitinase [EC:3.2.1.14]	chitinase 1 precursor	4	P:carbohydrate metabolic process; F:chitinase activity; F:cation binding; P:chitin catabolic process	EC:3.2.1.14	Y	gene_174	55	0	4	56	8	0	0	0	1978734	1978988
gene_1752	5.83494435667354	2.18324772491622	517	Myb, DNA-binding protein	Grosmannia clavigera	Ophiostoma piceae			myb family transcription factor	2	F:chromatin binding; F:DNA binding		N	gene_1763	18	0	24	47	4	0	0	6	1980323	1980577
gene_1808	4.9512147072298	2.64985674420369	359	Nitronate monooxygenase	Thielavia terrestris	Ophiostoma piceae			2-nitropropane dioxygenase precursor	2	F:monooxygenase activity; F:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen	-	N	gene_1821	16	6	3	15	0	0	0	6	1980381	1980635
gene_1914	22.9860365647291	2.83156169519795	476	Endo-1,4-beta-xylanase	Pestalotiopsis fici	Ophiostoma piceae	K01181	E3.2.1.8, xynA; endo-1,4-beta-xylanase [EC:3.2.1.8]	glycoside hydrolase family 11 protein	2	F:hydrolase activity, hydrolyzing O-glycosyl compounds; P:carbohydrate metabolic process	EC:3.2.1.0	N	gene_1927	20	0	20	435	8	3	0	21	1980487	1980741
gene_1967	10.5659367590433	3.13609624784034	524	Quinate permease (Quinate transporter)	Talaromyces stipitatus	Ophiostoma piceae			mfs quinate	5	P:transmembrane transport; C:integral to membrane; P:regulation of transcription, DNA-dependent; F:substrate-specific transmembrane transporter activity; P:transcription from RNA polymerase II promoter	-	N	gene_1980	44	6	30	43	0	4	0	0	1980540	1980794
gene_1979	5.65462040195293	3.06127354331738	324	Putative uncharacterized protein	Togninia minima	Ophiostoma piceae			hypothetical protein GGTG_01868	0	-		N	gene_1992	14	8	2	18	0	0	0	4	1980552	1980806
gene_2068	8.07801081896877	2.31182989127912	586	Xylosidase/arabinosidase (Beta-xylosidase)	Pestalotiopsis fici	Pestalotiopsis fici			glycoside hydrolase family 43 protein	3	F:hydrolase activity, hydrolyzing O-glycosyl compounds; P:carbohydrate metabolic process; F:hydrolase activity		Y	gene_2081	12	0	41	70	0	6	0	0	1980641	1980895
