Gene_ID	Level	logFC	Size..aa.	Final.Description	X.1st.BLASTp.hit...if.blank..see.next.column.	X.1st.BLASTp.hit...blank.are.real.orphans..	KO.	Name.KEGG	Annotation	X.GO.Terms	GO.Terms	Enzyme.Code	SignalP	F_T1_Rep1	F_T1_Rep2	F_T1_Rep3	F_T1_Rep4	F_T2_Rep1	F_T2_Rep2	F_T2_Rep3	F_T2_Rep4
gene_1130	7.18555969153114	2.63981505570569	70	Putative uncharacterized protein	Eutypa lata	Ophiostoma piceae			peptidase inhibitor i9	6	F:identical protein binding; F:serine-type endopeptidase activity; F:kinase activity; P:phosphorylation; F:ATP binding; P:negative regulation of catalytic activity	EC:3.4.21.0	N	28	62	0	46	2	0	0	0
gene_1261	1.55546330775262	2.03946361846191	715	Clathrin-coated vesicle protein	Togninia minima	Ophiostoma piceae			bud site selection protein 7	2	P:biological_process; C:cellular_component		N	4	4	2	4	0	0	0	0
gene_1694	3.98609327437979	3.16545961709967	488	DUF89 domain containing protein	Grosmannia clavigera	Ophiostoma piceae			venom protein 2	0	-		N	2	0	8	2	0	0	0	0
gene_1913	4.85432771192107	2.09883074917639	245	Adenine phosphoribosyltransferase APRT 2.4.2.7	Colletotrichum gloeosporioides	Ophiostoma piceae	K00759	E2.4.2.7, apt; adenine phosphoribosyltransferase [EC:2.4.2.7]	adenine phosphoribosyltransferase	5	C:cytoplasm; F:adenine phosphoribosyltransferase activity; P:nucleoside metabolic process; C:nucleus; P:adenine salvage	EC:2.4.2.7	N	20	42	0	25	0	2	0	2
gene_1922	5.87035990331488	2.95612983941045	260	Probable proteasome subunit beta type-4	Grosmannia clavigera	Ophiostoma piceae	K02736	PSMB4; 20S proteasome subunit beta 7 [EC:3.4.25.1]	proteasome component pre4	5	C:cytoplasm; C:proteasome core complex; C:nucleus; F:threonine-type endopeptidase activity; P:proteolysis involved in cellular protein catabolic process	EC:3.4.25.0	N	0	24	8	18	0	0	0	4
gene_219	3.76692019926213	3.09319512923943	566	Proteophosphoglycan 5	Grosmannia clavigera	Ophiostoma piceae			proteophosphoglycan 5	0	-		N	0	0	8	0	0	0	0	0
gene_2266	2.56144987867873	2.18470538573766	310	NADH-cytochrome b5 reductase 1 (Microsomal cytochrome b reductase)	Podospora anserina	Ophiostoma piceae	K00326	E1.6.2.2; cytochrome-b5 reductase [EC:1.6.2.2]	nitrate reductase	6	F:cytochrome-b5 reductase activity; C:endoplasmic reticulum membrane; P:mycelium development; C:integral to membrane; C:mitochondrial outer membrane; P:oxidation-reduction process	EC:1.6.2.2	N	8	0	4	0	0	0	0	2
gene_348	3.25619880432862	2.90927342253076	513	54S ribosomal protein L35, mitochondrial (YmL35)	Grosmannia clavigera	Ophiostoma piceae			mitochondrial large ribosomal subunit	1	C:ribosome		N	0	4	6	6	0	0	0	0
gene_4354	8.05675578436242	2.29422362393152	339	Septin homolog spn2	Grosmannia clavigera	Ophiostoma piceae			cell division control protein	17	C:septin filament array; C:mating projection base; C:mating projection tip; P:septin ring assembly; F:GTP binding; P:GTP catabolic process; C:prospore membrane; F:1-phosphatidylinositol binding; P:sporulation; C:cellular bud neck septin ring; P:cell cycle cytokinesis; P:exit from mitosis; C:spindle microtubule; F:GTPase activity; C:septin complex; C:meiotic spindle; F:protein complex scaffold	-	N	27	46	1	64	0	0	4	6
gene_4590	4.454253379654	2.25298548977418	363	Putative uncharacterized protein	Verticillium dahliae	Ophiostoma piceae			2og-fe oxygenase family	2	P:oxidation-reduction process; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors	EC:1.14.11.0	N	20	22	0	40	0	0	2	2
gene_5052	4.04792716044406	3.18520914822584	1 702	DNA topoisomerase 2	Grosmannia clavigera	Ophiostoma piceae	K03164	TOP2; DNA topoisomerase II [EC:5.99.1.3]	dna topoisomerase 2	4	F:DNA topoisomerase (ATP-hydrolyzing) activity; F:ATP binding; C:chromosome; P:DNA topological change	EC:5.99.1.3	N	0	24	6	4	0	0	0	0
gene_5197	2.45659496266377	2.13193384378009	101	Dynein light chain	Pestalotiopsis fici	Sporothrix schenckii	K10418	DYNLL; dynein light chain LC8-type	dynein light chain	2	C:microtubule associated complex; P:microtubule-based process	-	N	0	4	4	6	0	0	0	2
gene_5300	1.7309720344735	2.1576724293242	254	Vacuolar protein-sorting-associated protein 24 (DOA4-independent degradation protein 3)	Grosmannia clavigera	Ophiostoma piceae	K12193	VPS24, CHMP3; charged multivesicular body protein 3	vacuolar protein-sorting-associated protein	1	P:protein transport	-	N	0	18	2	0	0	0	0	0
gene_5348	2.3102588323962	2.49070301265886	471	Galactosyltransferase	Colletotrichum gloeosporioides	Ophiostoma piceae	K05531	MNN10; mannan polymerase II complex MNN10 subunit [EC:2.4.1.-]	glycosyltransferase family 34 protein	2	F:transferase activity, transferring hexosyl groups; C:integral to membrane	EC:2.4.1.0	N	7	4	2	17	0	0	0	0
gene_546	2.29189536567052	2.48124487340395	179	Cytidine deaminase	Grosmannia clavigera	Ophiostoma piceae	K01489	E3.5.4.5, cdd; cytidine deaminase [EC:3.5.4.5]	cytidine deaminase	4	F:nucleoside-triphosphatase activity; F:zinc ion binding; F:cytidine deaminase activity; P:cytidine deamination	EC:3.6.1.15; EC:3.5.4.5	N	4	12	3	2	0	0	0	0
gene_5688	16.3399522684626	2.05832362279984	1 102	Putative uncharacterized protein	Neurospora crassa	Ophiostoma piceae			glycoside hydrolase family 115 protein	1	F:hydrolase activity		Y	16	110	2	156	0	4	8	10
gene_5839	1.72587767253946	2.15437430873107	626	ATP-dependent RNA helicase HAS1	Grosmannia clavigera	Ophiostoma piceae	K13179	DDX18, HAS1; ATP-dependent RNA helicase DDX18/HAS1 [EC:3.6.4.13]	atp-dependent rna helicase has1	5	F:RNA binding; C:nucleolus; P:rRNA processing; F:ATP-dependent helicase activity; F:ATP binding	-	N	4	4	2	8	0	0	0	0
gene_6080	6.70887866309894	2.00938279905969	335	26S proteasome regulatory subunit rpn11 (Protein pad1)	Grosmannia clavigera	Ophiostoma piceae	K03030	PSMD14, RPN11, POH1; 26S proteasome regulatory subunit N11	26s proteasome regulatory subunit rpn11	1	C:proteasome complex	-	N	4	55	6	4	0	0	4	6
gene_6142	7.14421102946175	2.24837178989091	1 202	3-hydroxy-3-methylglutaryl-coenzyme A reductase (HMG-CoA reductase)	Grosmannia clavigera	Ophiostoma piceae	K00021	E1.1.1.34; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]	3-hydroxy-3-methylglutaryl-coenzyme a reductase	6	F:NADP binding; P:isoprenoid biosynthetic process; C:integral to membrane; P:coenzyme A metabolic process; F:hydroxymethylglutaryl-CoA reductase (NADPH) activity; P:oxidation-reduction process	EC:1.1.1.34	N	6	8	10	18	2	0	0	4
gene_6346	5.41541093416195	3.5644783937696	410	Alkaline proteinase	Trichoderma virens	Ophiostoma piceae	K14645	K14645; serine protease [EC:3.4.21.-]	alkaline proteinase	5	C:extracellular region; P:negative regulation of catalytic activity; P:proteolysis; F:identical protein binding; F:serine-type endopeptidase activity	EC:3.4.21.0	Y	26	8	0	78	0	0	0	0
gene_6358	4.05750778921661	3.1882451219703	574	General amino acid permease AGP2	Grosmannia clavigera	Ophiostoma piceae	K16261	YAT; yeast amino acid transporter	amino acid permease	3	C:integral to membrane; F:amino acid transmembrane transporter activity; P:amino acid transmembrane transport	-	N	12	2	6	8	0	0	0	0
gene_652	2.93570271866141	2.00662593777751	514	PH domain containing protein	Grosmannia clavigera	Ophiostoma piceae			ph domain-containing protein	6	F:phosphatidylinositol binding; C:plasma membrane; P:response to stress; P:establishment or maintenance of actin cytoskeleton polarity; P:phosphatidylinositol-mediated signaling; C:mitochondrion	-	N	10	14	2	10	0	0	0	4
gene_6555	7.43848858966783	2.16978439736988	431	G1/S-specific cyclin CCN1	Grosmannia clavigera	Ophiostoma piceae			g1 s-specific cyclin	1	C:nucleus	-	N	6	16	8	36	0	2	0	8
gene_6718.1	4.61191883361661	2.33854152022904	197	AhpC/TSA family (peroxiredoxin) protein	Grosmannia clavigera	Ophiostoma piceae	K11187	PRDX5; peroxiredoxin 5, atypical 2-Cys peroxiredoxin [EC:1.11.1.15]		2	P:oxidation-reduction process; F:oxidoreductase activity		N	28	4	2	28	0	0	0	6
gene_6954	3.33090621992693	2.17706853846535	156	Putative uncharacterized protein	Ajellomyces capsulatus	Ajellomyces capsulatus			conserved hypothetical protein	3	F:molecular_function; P:biological_process; C:cellular_component		N	8	32	0	26	0	0	0	4
gene_7239	1.85338839306041	2.23473943637274	1 233	Condensin complex subunit 1	Grosmannia clavigera	Ophiostoma piceae	K06677	YCS4, CNAP1, CAPD2; condensin complex subunit 1	condensin-like protein	4	P:mitosis; C:nucleus; P:chromosome condensation; P:cell division	-	N	20	2	0	10	0	0	0	0
gene_7644	1.88346009963106	2.25305747414003	960	Nipped-B-like protein B	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_4318	3	F:molecular_function; P:biological_process; C:cellular_component		N	0	0	4	0	0	0	0	0
gene_7664	3.2165464689854	2.89396264653525	880	Glycosyl transferase, family 2	Grosmannia clavigera	Ophiostoma piceae			glycosyltransferase family 2	1	F:transferase activity	-	N	8	28	2	12	0	0	0	0
gene_7726	4.07335179227489	3.1932518986878	643	CNT family concentrative nucleoside transporter	Scedosporium apiospermum	Ophiostoma piceae	K03317	TC.CNT; concentrative nucleoside transporter, CNT family	h+ nucleoside cotransporter	3	F:nucleoside:sodium symporter activity; C:membrane; P:transport		N	22	35	0	25	0	0	0	0
gene_8089	1.68463888609059	2.12739482649847	564	ATP-dependent rRNA helicase rrp3	Grosmannia clavigera	Ophiostoma piceae	K14777	DDX47, RRP3; ATP-dependent RNA helicase DDX47/RRP3 [EC:3.6.4.13]	atp-dependent rrna helicase rrp3	5	F:ATP-dependent helicase activity; F:RNA binding; F:ATP binding; P:rRNA processing; C:nucleus	-	N	0	15	2	2	0	0	0	0
gene_854	1.88346009963106	2.25305747414003	406	Transcription initiation factor IIA large subunit (TFIIA large subunit)	Grosmannia clavigera	Ophiostoma piceae	K03122	TFIIA1, GTF2A1, TOA1; transcription initiation factor TFIIA large subunit	transcription factor tfiia complex subunit	2	P:transcription initiation from RNA polymerase II promoter; C:transcription factor TFIIA complex		N	0	0	4	0	0	0	0	0
gene_8549	1.88346009963106	2.25305747414003	779	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_5897	6	P:regulation of transcription, DNA-dependent; P:transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; C:nucleus		N	0	0	4	0	0	0	0	0
