Gene_ID	Level	logFC	Size..aa.	Final.Description	X.1st.BLASTp.hit...if.blank..see.next.column.	X.1st.BLASTp.hit...blank.are.real.orphans..	KO.	Name.KEGG	Annotation	X.GO.Terms	GO.Terms	Enzyme.Code	SignalP	E_T1_Rep1	E_T1_Rep2	E_T1_Rep3	E_T1_Rep4	E_T2_Rep1	E_T2_Rep2	E_T2_Rep3	E_T2_Rep4
gene_10	3.48468956564877	0.940417735276006	439	Putative uncharacterized protein	Capronia epimyces	Capronia epimyces			duf1479 domain protein	0	-		N	12	0	14	4	4	0	6	0
gene_100	12.0828852100692	2.31206360467108	84	Putative uncharacterized protein	Togninia minima	Ophiostoma piceae			hypothetical protein CH063_11335	3	F:metal ion binding; P:metabolic process; F:oxidoreductase activity	-	N	55	52	30	6	6	0	7	3
gene_1000	20.6119376638464	0.450681094024808	355	Guanine nucleotide-binding protein alpha-3 subunit (GP3-alpha) / Mod-D partial suppressor of vegetative incompatibility	Magnaporthe oryzae	Ophiostoma piceae	K04640	GNA; guanine nucleotide-binding protein subunit alpha, other	guanine nucleotide-binding protein alpha-3 subunit	13	F:signal transducer activity; P:replicative cell aging; F:GTP binding; P:GTP catabolic process; P:ascospore formation; P:adenylate cyclase-activating G-protein coupled receptor signaling pathway; P:sporocarp development involved in sexual reproduction; P:pseudohyphal growth; P:regulation of cell size; P:glucose mediated signaling pathway; F:GTPase activity; C:plasma membrane; C:mitochondrion	-	N	47	48	51	14	16	0	33	34
gene_1001	88.9473860972107	-0.461465238545589	892	Glycogen phosphorylase	Grosmannia clavigera	Ophiostoma piceae	K00688	E2.4.1.1, glgP, PYG; starch phosphorylase [EC:2.4.1.1]	glycogen phosphorylase	4	C:cytoplasm; F:glycogen phosphorylase activity; P:glycogen catabolic process; F:pyridoxal phosphate binding	-	N	59	190	97	94	183	12	106	97
gene_1002	21.5241523890004	-0.337200395815913	373	Mitogen-activated protein kinase HOG1 (MAP kinase HOG1)	Pestalotiopsis fici	Ophiostoma piceae	K04441	P38; p38 MAP kinase [EC:2.7.11.24]	stress-activated map kinase	7	F:MAP kinase activity; P:protein phosphorylation; P:regulation of transcription, DNA-dependent; F:ATP binding; C:cytoplasm; C:nucleus; P:MAPK cascade	EC:2.7.11.24	N	49	29	38	9	20	7	32	12
gene_1003	10.4595960025916	-0.487544929033557	1 035	Late secretory pathway protein AVL9 (APL2 VPS1 synthetic lethal protein 9)	Grosmannia clavigera	Ophiostoma piceae			cytoplasm protein	0	-		N	13	16	22	6	14	2	18	12
gene_1004	18.1673862269384	0.167957157495562	907	Quinate repressor protein	Grosmannia clavigera	Ophiostoma piceae			quinate repressor	2	F:catalytic activity; F:nucleotide binding	-	N	42	26	64	6	22	0	45	16
gene_1005	5.84057449180831	0.206051934897191	429	Quinic acid utilization activator	Grosmannia clavigera	Sporothrix schenckii			quinic acid utilization activator	4	F:sequence-specific DNA binding RNA polymerase II transcription factor activity; P:regulation of transcription from RNA polymerase II promoter; C:nucleus; F:zinc ion binding	-	N	13	16	20	0	6	0	6	13
gene_1006	1.69417844339564	-1.44601003522386	153	Endoribonuclease l-psp	Grosmannia clavigera	Ophiostoma piceae			endoribonuclease l-psp	3	F:carbon-nitrogen ligase activity, with glutamine as amido-N-donor; P:biological_process; C:cellular_component		N	0	0	4	0	2	0	4	8
gene_1007	5.80547394153445	0.738171866930701	347	DUF395 domain containing protein	Grosmannia clavigera	Ophiostoma piceae			family protein	0	-		N	8	31	16	2	4	0	3	12
gene_1008	15.5057798549241	1.29257719048321	378	Alcohol dehydrogenase	Grosmannia clavigera	Ophiostoma piceae	K13955	yogA; zinc-binding alcohol dehydrogenase/oxidoreductase	zinc-binding dehydrogenase	1	F:binding	-	N	52	57	44	6	8	0	22	12
gene_1009	3.91259795250497	-0.955829754847869	323	KRR1 small subunit processome component KRR-R motif-containing protein 1	Grosmannia clavigera	Ophiostoma piceae	K06961	KRR1; ribosomal RNA assembly protein	ribosomal rna assembly protein krr1	5	F:RNA binding; C:nucleolus; C:90S preribosome; C:small-subunit processome; P:endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	-	N	10	0	6	0	4	0	14	9
gene_101	0	0	204	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		N	0	0	0	0	0	0	0	0
gene_1010	6.71621634827025	-0.721290788301242	410	GATA type zinc finger protein asd-4 (Ascus development protein 4)	Grosmannia clavigera	Ophiostoma piceae	K09184	GATAF; GATA-binding protein, other eukaryote	gata transcription factor	3	F:metal ion binding; P:transcription, DNA-dependent; F:DNA binding	-	N	8	4	21	2	14	0	26	2
gene_1011	14.056110214199	0.490632940008629	476	Uncharacterized membrane protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_1569	1	P:mycelium development	-	N	33	32	41	8	21	2	10	7
gene_1012	2.1027526865196	0.32855122187029	303	Putative uncharacterized protein	Grosmannia clavigera	Sporothrix schenckii			hypothetical protein CMQ_417	0	-		N	8	0	10	0	0	0	6	3
gene_1013	42.4801722924279	-0.216913595716943	1 088	Cutinase transcription factor 1 alpha	Grosmannia clavigera	Ophiostoma piceae			cutinase transcription factor 1 alpha	2	P:transcription, DNA-dependent; F:binding	-	N	56	119	80	20	29	10	48	67
gene_1014	24.6324399011798	-0.012696347622086	213	Putative uncharacterized protein	Togninia minima	Ophiostoma piceae			hypothetical protein CMQ_1231	3	F:molecular_function; P:biological_process; C:cellular_component		N	32	70	37	20	21	6	26	26
gene_1015	26.1001238780983	-0.226818800905547	1 176	Poly(A) RNA polymerase protein cid1	Grosmannia clavigera	Ophiostoma piceae			caffeine-induced death protein 1	1	F:nucleotidyltransferase activity		N	24	26	32	40	56	0	26	46
gene_1016	19.0889485002154	0.428237395999256	759	Transcription initiation factor IIF subunit alpha (TFIIF large subunit)	Grosmannia clavigera	Ophiostoma piceae	K03138	TFIIF1, GTF2F1, TFG1; transcription initiation factor TFIIF subunit alpha	transcription initiation factor iif subunit alpha	2	F:nucleic acid binding; P:transcription, DNA-dependent	-	N	20	78	48	12	31	0	13	29
gene_1017	7.38041960677092	-0.0247197107802697	534	Putative uncharacterized protein	Magnaporthe oryzae	Ophiostoma piceae			hypothetical protein MGG_01343	3	F:molecular_function; P:biological_process; C:cellular_component		N	17	14	19	2	11	0	12	12
gene_1018	4.14121291116628	-0.504568390721475	274	Serine/threonine-protein kinase BUD32	Grosmannia clavigera	Ophiostoma piceae	K08851	TP53RK, PRPK, BUD32; TP53 regulating kinase [EC:2.7.11.1]	bud32 protein kinase	7	P:lipopolysaccharide biosynthetic process; P:protein phosphorylation; F:protein tyrosine kinase activity; F:ATP binding; P:transcription, DNA-dependent; C:chromosome; C:membrane	EC:2.7.10.0	N	14	2	6	0	2	0	6	16
gene_1019	15.7261999328097	1.11328931939565	413	Glutamate-cysteine ligase modifier subunit	Togninia minima	Ophiostoma piceae	K11205	GCLM; glutamate--cysteine ligase regulatory subunit	glutamate-cysteine ligase modifier subunit	3	F:ligase activity; P:biological_process; C:cellular_component		N	39	16	52	23	18	0	12	14
gene_102	14.3825541008722	3.19993897516022	544	Amino-acid permease	Grosmannia clavigera	Ophiostoma piceae	K16261	YAT; yeast amino acid transporter	amino-acid permease inda1	3	C:integral to membrane; F:amino acid transmembrane transporter activity; P:amino acid transmembrane transport	-	N	84	16	49	16	2	0	6	2
gene_1020	13.7486848673785	0.631843298650901	155	AP-1 complex subunit sigma-1 (Sigma1-adaptin)	Trichoderma reesei	Ophiostoma piceae	K12394	AP1S1_2; AP-1 complex subunit sigma 1/2	mitogen-activated protein kinase maf1	3	P:protein transport; F:protein transporter activity; P:transport		N	12	17	50	22	15	0	19	16
