subject_id	Gene_ID	explevel_log	logFC	Protein_ID	transcript_ID
Potri.001G374200.4	WUAT02012842.1	10.34334838	-3.167166069	176347	176347
Potri.005G210000.1	WUAT02021152.1	9.923485654	-2.936322147	205458	205458
Potri.013G022700.2	WUAT02009519.1	7.75225604	-2.075400614	240760	240760
Potri.017G057900.1	WUAT02002700.1	9.297530147	-2.156929598	297914	297914
Potri.001G079800.1	WUAT02017594.1	9.947447012	-3.246181555	548217	548217
Potri.001G110700.1	WUAT02002057.1	10.5639484	-2.191718987	548519	548519
Potri.003G073400.2	WUAT02014080.1	10.45778326	-3.998911364	553835	553835
Potri.006G102000.3	WUAT02013212.1	10.62586038	-5.443815957	560928	560928
Potri.010G052500.1	WUAT02001703.1	4.063900492	-3.106406355	565949	565949
Potri.010G052500.1	WUAT02009193.1	6.455155829	-2.203602338	565949	565949
Potri.010G171700.1	WUAT02019406.1	9.614472947	-2.253621795	567075	567075
Potri.012G058400.2	WUAT02008057.1	5.518845682	-5.267784032	569842	569842
Potri.012G058400.2	WUAT02017820.1	5.727931265	-2.582063195	569842	569842
Potri.012G089600.1	WUAT02001783.1	9.957412999	-2.310746778	570169	570169
Potri.012G099300.1	WUAT02009679.1	2.267702158	-2.117270448	570272	570272
Potri.013G029300.2	WUAT02005382.1	4.73670568	-2.058477159	570914	570914
Potri.013G029300.2	WUAT02014211.1	2.890941119	-2.279020155	570914	570914
Potri.015G074000.1	WUAT02014265.1	11.16571712	-2.763214069	575136	575136
Potri.018G087600.1	WUAT02012358.1	10.00228875	-3.183710813	578539	578539
Potri.001G354400.1	WUAT02006219.1	2.894085642	-2.592490272	586988	586988
Potri.001G043200.2	WUAT02004249.1	10.4802895	-2.559122296	587197	587197
Potri.001G019400.1	WUAT02002758.1	4.779002563	-3.061534569	639874	639874
Potri.005G247600.1	WUAT02006818.1	8.366685725	-2.114271519	652170	652170
Potri.007G020100.1	WUAT02007177.1	3.385444009	-2.544108738	655357	655357
Potri.010G097800.1	WUAT02013075.1	9.212286429	-2.782221685	658639	658639
Potri.015G099200.1	WUAT02019315.1	9.57658065	-2.268800432	666695	666695
Potri.001G166100.4	WUAT02019069.1	6.502177214	-3.025052783	673211	673211
Potri.017G040800.1	WUAT02003352.1	11.05237948	-2.758391462	679498	679498
Potri.007G054200.1	WUAT02001570.1	6.767748344	-3.126487113	711834	711834
Potri.004G115800.1	WUAT02020764.1	10.7426661	-2.369130326	712840	712840
Potri.005G142100.5	WUAT02022106.1	4.008868767	-3.160434522	716296	716296
Potri.011G153700.2	WUAT02020260.1	8.551443044	-2.783343578	727336	727336
Potri.013G061200.1	WUAT02008656.1	10.8952642	-2.456253596	730026	730026
Potri.018G110800.1	WUAT02019757.1	10.74516066	-2.491135984	738040	738040
Potri.005G052700.1	WUAT02015354.1	2.129942192	-2.515503497	742035	742035
Potri.001G120200.1	WUAT02012756.1	3.974070482	-2.483167411	744044	744044
Potri.008G209300.1	WUAT02015404.1	9.49401686	-2.333271101	744476	744476
Potri.001G014700.1	WUAT02001517.1	7.031025333	-2.047214729	750778	750778
Potri.003G202300.3	WUAT02011066.1	10.38004803	-2.411350731	758112	758112
Potri.008G019800.1	WUAT02011547.1	11.91614465	-2.786899181	765150	765150
Potri.009G141600.1	WUAT02001583.1	9.488150163	-2.575164725	767207	767207
Potri.009G135400.2	WUAT02013883.1	8.870583459	-2.073214989	767269	767269
Potri.009G034500.1	WUAT02000604.1	8.001567454	-2.490019687	768177	768177
Potri.010G142800.1	WUAT02007590.1	10.28810177	-6.604191579	769807	769807
Potri.004G235400.1	WUAT02019126.1	10.46250478	-2.783481528	783291	783291
Potri.004G040600.1	WUAT02000411.1	10.9445879	-2.635384203	800516	800516
Potri.001G313900.1	WUAT02001993.1	2.75592058	-2.018949491	815647	815647
Potri.017G131000.1	WUAT02019667.1	7.318739148	-2.564039833	816832	816832
Potri.009G136600.1	WUAT02012993.1	10.61189433	-2.186871265	821084	821084
Potri.009G012900.2	WUAT02020801.1	3.503786273	-2.123165801	821633	821633
Potri.010G231500.1	WUAT02010539.1	5.325403978	-2.073340868	822609	822609
Potri.010G245100.5	WUAT02005335.1	8.323442263	-2.182070105	822682	822682
Potri.005G024800.1	WUAT02014802.1	9.65304694	-2.246731572	828031	828031
Potri.007G015400.2	WUAT02018819.1	4.547456759	-2.007792265	828859	828859
Potri.003G180700.1	WUAT02022889.1	6.346658818	-2.017020023	830958	830958
Potri.005G100400.9	WUAT02021759.1	13.81092208	-2.445940103	831406	831406
Potri.009G066100.1	WUAT02007653.1	10.14551857	-2.651455592	833180	833180
Potri.010G254700.15	WUAT02018837.1	4.730360624	-2.293200599	833897	833897
Potri.018G107300.1	WUAT02017717.1	9.783183708	-2.855768208	835953	835953
