Gene_ID	Level	logFC	Size..aa.	Final.Description	X.1st.BLASTp.hit...if.blank..see.next.column.	X.1st.BLASTp.hit...blank.are.real.orphans..	KO.	Name.KEGG	Annotation	X.GO.Terms	GO.Terms	Enzyme.Code	SignalP	F_T1_Rep1	F_T1_Rep2	F_T1_Rep3	F_T1_Rep4	F_T2_Rep1	F_T2_Rep2	F_T2_Rep3	F_T2_Rep4
gene_10	0	0	439	Putative uncharacterized protein	Capronia epimyces	Capronia epimyces			duf1479 domain protein	0	-		N	0	0	0	0	0	0	0	0
gene_100	0.685061240859301	-0.425517148650605	84	Putative uncharacterized protein	Togninia minima	Ophiostoma piceae			hypothetical protein CH063_11335	3	F:metal ion binding; P:metabolic process; F:oxidoreductase activity	-	N	2	0	0	2	0	2	0	0
gene_1000	0	0	355	Guanine nucleotide-binding protein alpha-3 subunit (GP3-alpha) / Mod-D partial suppressor of vegetative incompatibility	Magnaporthe oryzae	Ophiostoma piceae	K04640	GNA; guanine nucleotide-binding protein subunit alpha, other	guanine nucleotide-binding protein alpha-3 subunit	13	F:signal transducer activity; P:replicative cell aging; F:GTP binding; P:GTP catabolic process; P:ascospore formation; P:adenylate cyclase-activating G-protein coupled receptor signaling pathway; P:sporocarp development involved in sexual reproduction; P:pseudohyphal growth; P:regulation of cell size; P:glucose mediated signaling pathway; F:GTPase activity; C:plasma membrane; C:mitochondrion	-	N	0	0	0	0	0	0	0	0
gene_1001	2.14109644655349	-0.0050172706572416	892	Glycogen phosphorylase	Grosmannia clavigera	Ophiostoma piceae	K00688	E2.4.1.1, glgP, PYG; starch phosphorylase [EC:2.4.1.1]	glycogen phosphorylase	4	C:cytoplasm; F:glycogen phosphorylase activity; P:glycogen catabolic process; F:pyridoxal phosphate binding	-	N	7	2	0	12	0	2	4	0
gene_1002	0.459639524003143	-0.21560342869758	373	Mitogen-activated protein kinase HOG1 (MAP kinase HOG1)	Pestalotiopsis fici	Ophiostoma piceae	K04441	P38; p38 MAP kinase [EC:2.7.11.24]	stress-activated map kinase	7	F:MAP kinase activity; P:protein phosphorylation; P:regulation of transcription, DNA-dependent; F:ATP binding; C:cytoplasm; C:nucleus; P:MAPK cascade	EC:2.7.11.24	N	0	4	0	0	0	0	0	4
gene_1003	0	0	1 035	Late secretory pathway protein AVL9 (APL2 VPS1 synthetic lethal protein 9)	Grosmannia clavigera	Ophiostoma piceae			cytoplasm protein	0	-		N	0	0	0	0	0	0	0	0
gene_1004	0	0	907	Quinate repressor protein	Grosmannia clavigera	Ophiostoma piceae			quinate repressor	2	F:catalytic activity; F:nucleotide binding	-	N	0	0	0	0	0	0	0	0
gene_1005	0.151847752016404	-0.382606947698199	429	Quinic acid utilization activator	Grosmannia clavigera	Sporothrix schenckii			quinic acid utilization activator	4	F:sequence-specific DNA binding RNA polymerase II transcription factor activity; P:regulation of transcription from RNA polymerase II promoter; C:nucleus; F:zinc ion binding	-	N	0	0	0	0	0	0	1	0
gene_1006	0	0	153	Endoribonuclease l-psp	Grosmannia clavigera	Ophiostoma piceae			endoribonuclease l-psp	3	F:carbon-nitrogen ligase activity, with glutamine as amido-N-donor; P:biological_process; C:cellular_component		N	0	0	0	0	0	0	0	0
gene_1007	0	0	347	DUF395 domain containing protein	Grosmannia clavigera	Ophiostoma piceae			family protein	0	-		N	0	0	0	0	0	0	0	0
gene_1008	0.93056182031128	0.0581747592781062	378	Alcohol dehydrogenase	Grosmannia clavigera	Ophiostoma piceae	K13955	yogA; zinc-binding alcohol dehydrogenase/oxidoreductase	zinc-binding dehydrogenase	1	F:binding	-	N	2	8	0	0	0	0	2	2
gene_1009	2.73118356031165	-1.37962255602701	323	KRR1 small subunit processome component KRR-R motif-containing protein 1	Grosmannia clavigera	Ophiostoma piceae	K06961	KRR1; ribosomal RNA assembly protein	ribosomal rna assembly protein krr1	5	F:RNA binding; C:nucleolus; C:90S preribosome; C:small-subunit processome; P:endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	-	N	8	0	0	0	4	4	0	0
gene_101	0	0	204	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		N	0	0	0	0	0	0	0	0
gene_1010	0	0	410	GATA type zinc finger protein asd-4 (Ascus development protein 4)	Grosmannia clavigera	Ophiostoma piceae	K09184	GATAF; GATA-binding protein, other eukaryote	gata transcription factor	3	F:metal ion binding; P:transcription, DNA-dependent; F:DNA binding	-	N	0	0	0	0	0	0	0	0
gene_1011	0	0	476	Uncharacterized membrane protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_1569	1	P:mycelium development	-	N	0	0	0	0	0	0	0	0
gene_1012	0	0	303	Putative uncharacterized protein	Grosmannia clavigera	Sporothrix schenckii			hypothetical protein CMQ_417	0	-		N	0	0	0	0	0	0	0	0
gene_1013	0.46588816574164	-0.949928063045303	1 088	Cutinase transcription factor 1 alpha	Grosmannia clavigera	Ophiostoma piceae			cutinase transcription factor 1 alpha	2	P:transcription, DNA-dependent; F:binding	-	N	0	0	0	0	0	2	0	0
gene_1014	1.39766449722492	-1.92422494969578	213	Putative uncharacterized protein	Togninia minima	Ophiostoma piceae			hypothetical protein CMQ_1231	3	F:molecular_function; P:biological_process; C:cellular_component		N	0	0	0	0	0	6	0	0
