Gene_ID	level	Log2FC	Size..aa.	Final.Description	X.1st.BLASTp.hit...if.blank..see.next.column.	X.1st.BLASTp.hit...blank.are.real.orphans..	KO.	Name.KEGG	Annotation	X.GO.Terms	GO.Terms	Enzyme.Code	SignalP	ï..Gene_ID	C_T1_Rep1	C_T1_Rep2	C_T1_Rep3	C_T1_Rep4	C_T2_Rep1	C_T2_Rep2	C_T2_Rep3	C_T2_Rep4	protein_ID	transcript_ID
gene_1005	4.41566669529221	-2.66096677813787	429	Quinic acid utilization activator	Grosmannia clavigera	Sporothrix schenckii			quinic acid utilization activator	4	F:sequence-specific DNA binding RNA polymerase II transcription factor activity; P:regulation of transcription from RNA polymerase II promoter; C:nucleus; F:zinc ion binding	-	N	gene_1008	2	0	0	2	30	8	12	10	1979568	1979822
gene_1127	10.2582739513407	-2.04675334883976	757	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_2505	0	-		N	gene_1132	21	0	0	10	71	16	20	24	1979692	1979946
gene_1152	4.75587993130474	-2.97606799670639	325	Catalase domain containing protein	Grosmannia clavigera	Ophiostoma piceae	K03781	katE, CAT, catB, srpA; catalase [EC:1.11.1.6]	catalase domain containing protein	1	F:peroxidase activity	EC:1.11.1.7	N	gene_1157	0	0	0	2	18	5	8	38	1979717	1979971
gene_1247.1	1.61490704709869	-2.08059425642479	301	Glyoxylate reductase 1	Chaetomium globosum	Ophiostoma piceae	K00058	serA, PHGDH; D-3-phosphoglycerate dehydrogenase [EC:1.1.1.95]	glyoxylate reductase	6	P:oxidation-reduction process; F:cofactor binding; F:oxidoreductase activity; P:metabolic process; F:oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; F:NAD binding		N	gene_1254	0	0	0	0	0	10	0	4	1979814	1980068
gene_1307	13.8664929379808	-2.51978914697872	505	Major facilitator superfamily transporter sugar	Grosmannia clavigera	Ophiostoma piceae			sugar transporter	4	F:substrate-specific transmembrane transporter activity; C:integral to membrane; P:transmembrane transport; P:carbohydrate transport	-	N	gene_1314	18	0	0	12	58	10	30	85	1979874	1980128
gene_1315	26.023409414805	-2.39240149508515	267	Dehydrogenases with different specificities	Cladophialophora psammophila	Ophiostoma piceae	K00069	HPGD; 15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141]	short-chain dehydrogenase reductase sdr	4	P:oxidation-reduction process; F:oxidoreductase activity; P:metabolic process; F:nucleotide binding		N	gene_1322	4	2	4	2	145	28	36	144	1979882	1980136
gene_1332	4.76319623924904	-2.1874991603962	279	Uncharacterized methyltransferase	Fusarium verticillioides	Ophiostoma piceae			hypothetical protein FOXB_11921	0	-		N	gene_1339	2	0	0	6	32	2	18	12	1979899	1980153
gene_1368	2.83689740366618	-2.45926265195494	363	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_2713	3	F:sequence-specific DNA binding transcription factor activity; F:sequence-specific DNA binding; P:regulation of transcription, DNA-dependent	-	N	gene_1376	2	0	0	0	11	12	4	4	1979936	1980190
gene_1409	3.39183546476005	-2.96045071854852	164	Integral membrane protein	Grosmannia clavigera	Ophiostoma piceae			integral membrane protein	1	P:mycelium development	-	N	gene_1416	0	0	0	0	23	9	0	21	1979976	1980230
gene_1419	7.84875760513402	-2.27116622989888	503	Transcriptional co-activator	Grosmannia clavigera	Ophiostoma piceae	K11362	HFI1, ADA1; transcriptional coactivator HFI1/ADA1	transcriptional co-activator	1	C:SAGA-type complex	-	N	gene_1425	11	0	0	7	23	0	29	44	1979985	1980239
gene_1449	5.58192197791799	-2.46308578939223	372	Zinc alcohol dehydrogenase	Grosmannia clavigera	Ophiostoma piceae	K00344	qor, CRYZ; NADPH2:quinone reductase [EC:1.6.5.5]	alcohol dehydrogenase	3	P:oxidation-reduction process; F:oxidoreductase activity; F:zinc ion binding		N	gene_1454	8	0	0	2	44	8	12	16	1980014	1980268
gene_1457	1.86352136792525	-2.24093790775154	533	Major facilitator superfamily transporter	Coniosporium apollinis	Ophiostoma piceae			mfs general substrate transporter	2	C:integral to membrane; P:transmembrane transport		N	gene_1463	0	0	0	0	20	0	0	18	1980023	1980277
gene_1459	5.28015243828597	-2.78014332001984	145	Putative uncharacterized protein	Pestalotiopsis fici	Ophiostoma piceae			mfs lactose	3	P:transport; C:membrane; F:transmembrane transporter activity	-	N	gene_1465	0	0	0	4	23	4	22	18	1980025	1980279
gene_1460	16.0026161359432	-2.47863046327528	407	Lactose permease	Neurospora tetrasperma	Ophiostoma piceae			lactose variant	3	P:transmembrane transport; C:integral to membrane; F:substrate-specific transmembrane transporter activity	-	N	gene_1466	0	0	0	28	75	14	54	51	1980026	1980280
gene_1465	3.41708137403216	-2.04536741821391	305	Putative uncharacterized protein	Togninia minima	Ophiostoma piceae			hypothetical protein GGTG_06405	0	-		N	gene_1471	8	0	0	0	16	2	9	19	1980031	1980285
gene_1479	56.9324066477895	-2.44003013965068	382	TfdA family Taurine catabolism dioxygenase TauD	Togninia minima	Ophiostoma piceae			family taurine catabolism dioxygenase	2	P:oxidation-reduction process; F:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	EC:1.13.11.0	N	gene_1485	92	0	4	32	306	191	64	60	1980045	1980299
gene_1551	1.86463049898814	-2.2416147633004	515	Putative methyltransferase-like protein	Grosmannia clavigera	Ophiostoma piceae	K06970	rlmF; 23S rRNA (adenine1618-N6)-methyltransferase [EC:2.1.1.181]	duf890 domain-containing protein	2	F:methyltransferase activity; P:methylation		N	gene_1558	0	0	0	0	10	6	6	0	1980118	1980372
gene_1575	13.2202596753127	-2.49747056844068	114	Putative uncharacterized protein	 	Sporothrix schenckii			---NA---	0	-		Y	gene_1584	0	0	0	22	40	44	22	26	1980144	1980398
gene_1584	6.17929318917665	-2.33653959523906	398	Putative uncharacterized protein	Colletotrichum gloeosporioides	Ophiostoma piceae			sirq protein	1	F:nucleotide binding		N	gene_1593	2	0	0	8	33	12	14	17	1980153	1980407
gene_1655	25.5438710512154	-2.49646667341146	215	Superoxide dismutase	Trichoderma reesei	Ophiostoma piceae	K04564	SOD2; superoxide dismutase, Fe-Mn family [EC:1.15.1.1]	manganese superoxide dismutase	4	F:metal ion binding; P:superoxide metabolic process; F:superoxide dismutase activity; P:oxidation-reduction process	EC:1.15.1.1	N	gene_1664	18	0	0	36	113	78	43	38	1980224	1980478
gene_1664	5.5063874222568	-2.09178204818158	1 232	Phosphatase family protein	Grosmannia clavigera	Ophiostoma piceae			pi phosphatase group protein	5	P:phosphatidylinositol phosphorylation; P:biological_process; C:cellular_component; F:exonuclease activity; F:endonuclease activity		N	gene_1673	13	0	0	2	26	2	16	28	1980233	1980487
gene_1691	4.22822339971835	-2.9738198709791	490	Uncharacterized FAD-linked oxidoreductase ygaK	Sordaria macrospora	Sporothrix schenckii			glucooligosaccharide oxidase	1	F:oxidoreductase activity, acting on CH-OH group of donors	-	Y	gene_1700	2	0	0	0	16	12	12	9	1980260	1980514
gene_1715	9.13723794104811	-2.21308213183203	217	Cellobiose dehydrogenase (CDH)	Togninia minima	Ophiostoma piceae			cbd9-like protein	6	F:carbohydrate binding; F:catalytic activity; P:carbohydrate catabolic process; F:molecular_function; P:biological_process; C:cellular_component		Y	gene_1724	4	0	0	15	37	20	10	42	1980284	1980538
gene_1716	25.3834986998719	-2.39770950025408	336	WW domain-containing oxidoreductase	Cladophialophora psammophila	Ophiostoma piceae			short-chain dehydrogenase	4	P:oxidation-reduction process; F:oxidoreductase activity; P:metabolic process; F:nucleotide binding		N	gene_1725	26	0	0	34	149	50	48	63	1980285	1980539
gene_1755	2.38489707837994	-2.52851985018462	1 282	Ubiquitin specific peptidase Y chromosome	Grosmannia clavigera	Ophiostoma piceae			ubiquitin carboxyl-terminal hydrolase dub-	9	F:ubiquitin thiolesterase activity; P:ubiquitin-dependent protein catabolic process; F:hydrolase activity; F:zinc ion binding; F:cysteine-type peptidase activity; F:peptidase activity; P:proteolysis; F:metal ion binding; C:plastid		N	gene_1766	0	0	0	0	7	2	11	10	1980326	1980580
gene_1757	3.22858362863252	-2.89862770018323	820	Oligopeptide transporter 5 (AtOPT5)	Aureobasidium pullulans	Ophiostoma piceae			related to opt1-high-affinity glutathione transporter	1	P:transmembrane transport	-	N	gene_1768	0	0	0	0	16	0	8	28	1980328	1980582
gene_1808	7.11112810838852	-2.06860217847439	359	Nitronate monooxygenase	Thielavia terrestris	Ophiostoma piceae			2-nitropropane dioxygenase precursor	2	F:monooxygenase activity; F:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen	-	N	gene_1821	7	0	0	10	16	18	14	23	1980381	1980635
gene_1871	2.34906170994207	-2.5104868704028	226	O-methyltransferase, putative	Aspergillus oryzae	Ophiostoma piceae			o-	2	F:O-methyltransferase activity; P:methylation	-	N	gene_1883	0	0	0	0	14	5	8	4	1980443	1980697
gene_1891	6.7732343121425	-2.30467459504315	273	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_7085	5	F:carbon-sulfur lyase activity; P:metabolic process; F:molecular_function; P:biological_process; C:cellular_component		N	gene_1903	8	0	0	6	37	0	31	18	1980463	1980717
gene_1914	56.978549532953	-2.54418116792901	476	Endo-1,4-beta-xylanase	Pestalotiopsis fici	Ophiostoma piceae	K01181	E3.2.1.8, xynA; endo-1,4-beta-xylanase [EC:3.2.1.8]	glycoside hydrolase family 11 protein	2	F:hydrolase activity, hydrolyzing O-glycosyl compounds; P:carbohydrate metabolic process	EC:3.2.1.0	N	gene_1927	58	0	0	72	127	302	21	10	1980487	1980741
gene_1927	1.53955628701981	-2.02825532271455	759	Uncharacterized transcriptional regulatory protein YKL222C	Grosmannia clavigera	Ophiostoma piceae			c6 zinc finger domain-containing protein	2	P:transcription from RNA polymerase II promoter; P:regulation of transcription, DNA-dependent	-	N	gene_1940	0	0	0	0	6	0	4	14	1980500	1980754
gene_1967	9.28792614406727	-3.10815901355769	524	Quinate permease (Quinate transporter)	Talaromyces stipitatus	Ophiostoma piceae			mfs quinate	5	P:transmembrane transport; C:integral to membrane; P:regulation of transcription, DNA-dependent; F:substrate-specific transmembrane transporter activity; P:transcription from RNA polymerase II promoter	-	N	gene_1980	6	0	0	4	27	27	6	54	1980540	1980794
gene_1982	9.73768135111188	-2.26371246904567	1 241	DUF1740 domain containing protein	Grosmannia clavigera	Ophiostoma piceae			duf1740 domain containing protein	0	-		N	gene_1995	20	0	0	6	46	13	26	32	1980555	1980809
gene_1995	7.23771086899754	-2.44669735268051	620	Putative uncharacterized protein	Magnaporthe oryzae	Ophiostoma piceae			hypothetical protein MGG_00751	3	P:mycelium development; F:molecular_function; C:cellular_component		N	gene_2007	4	0	0	8	27	12	23	20	1980567	1980821
gene_2059	18.1625576000514	-2.24844296950448	230	Glycoside hydrolase family 45 protein	Thielavia terrestris	Ophiostoma piceae			glycoside hydrolase family 45 protein	2	P:carbohydrate metabolic process; F:cellulase activity	EC:3.2.1.4	Y	gene_2072	0	0	0	38	77	27	39	71	1980632	1980886
gene_2060	3.94853373439857	-3.15332989277701	518	RING finger domain protein	Grosmannia clavigera	Ophiostoma piceae			ring finger domain protein	1	F:metal ion binding	-	N	gene_2073	0	0	0	0	19	2	6	37	1980633	1980887
gene_21	9.4524705442471	-2.00043644148733	1 294	RNA-dependent RNA polymerase	Grosmannia clavigera	Ophiostoma piceae	K11699	RDR1, RDP1; RNA-dependent RNA polymerase 1 [EC:2.7.7.48]	rna-dependent rna polymerase	3	F:RNA-directed RNA polymerase activity; F:nucleotide binding; F:nucleic acid binding		N	gene_23	22	0	0	8	41	12	12	54	1978583	1978837
gene_2129	4.88829445562115	-2.79987180641985	911	Putative uncharacterized protein	Grosmannia clavigera	Sporothrix schenckii			kelch repeat protein	0	-		Y	gene_2141	2	0	0	2	20	22	8	0	1980701	1980955
