Gene_ID	subject_id	C_T1_Rep1	C_T1_Rep2	C_T1_Rep3	C_T1_Rep4	C_T2_Rep1	C_T2_Rep2	C_T2_Rep3	C_T2_Rep4
WUAT02000001.1	Potri.013G162500.1	11350	14992	11898	14560	13580	11518	13758	17520
WUAT02000002.1	Potri.002G176000.1	11192	17026	11804	16998	15222	14870	13334	18690
WUAT02000005.1	Potri.002G099200.1	2624	3668	3578	3124	4376	3714	6642	5464
WUAT02000007.1	Potri.001G409500.1	16050	11232	9370	12428	25540	17442	27712	24178
WUAT02000010.1	Potri.014G046000.3	23572	36544	33580	36156	40814	33670	44524	59036
WUAT02000011.1	Potri.013G046400.6	2656	1314	1338	1390	1550	650	498	538
WUAT02000014.1	Potri.001G359700.6	22452	28012	21884	28018	30138	27752	27530	33902
WUAT02000015.1	Potri.013G143400.2	1172	2994	1580	3414	1480	1320	1146	1728
WUAT02000019.1	Potri.013G133550.2	24510	22642	19352	28448	30590	26114	27374	31248
WUAT02000023.1	Potri.017G041800.5	8590	7038	2818	7674	4920	2530	1790	3234
WUAT02000025.1	Potri.011G103401.1	8012	14086	7964	9882	8984	9276	8308	5772
WUAT02000028.1	Potri.001G354700.3	5464	9480	6172	10662	6476	6130	6564	7910
WUAT02000032.1	Potri.012G084100.1	4234	10164	5400	13720	6006	3590	3476	4456
WUAT02000037.1	Potri.015G002600.1	33866	34992	29088	38820	42794	45674	37934	38764
WUAT02000038.1	Potri.006G118800.1	32	138	48	50	382	74	174	250
WUAT02000039.1	Potri.001G330300.8	56050	66912	83388	57456	42596	47854	66908	90858
WUAT02000041.1	Potri.019G030600.2	66	104	104	96	94	94	64	84
WUAT02000042.1	Potri.001G457700.1	4444	5070	10136	6136	7376	7896	7668	7302
WUAT02000046.1	Potri.005G045100.1	2658	5400	3700	8394	3608	3184	4556	5398
WUAT02000049.1	Potri.017G083200.6	2338	5760	2184	7790	2582	2572	2202	878
WUAT02000051.1	Potri.016G049000.1	29300	39814	36518	38728	31872	34488	27672	26794
WUAT02000052.1	Potri.007G062302.1	660	4640	2486	1938	1690	3776	2576	2274
WUAT02000054.1	Potri.006G259600.3	2292	570	2976	1152	894	1332	1396	4216
WUAT02000055.1	Potri.004G125150.1	47114	54718	40924	78666	74388	60940	59246	51550
WUAT02000059.1	Potri.010G052500.1	160360	94060	84394	139730	109548	86450	75566	56958
WUAT02000060.1	Potri.002G246500.1	15214	28528	21364	28022	22792	19912	20848	22012
WUAT02000064.1	Potri.010G103000.1	14220	16518	17950	14818	20408	20400	20202	27968
WUAT02000068.1	Potri.009G027000.3	43652	46734	51910	47622	34656	36648	36640	32804
WUAT02000069.1	Potri.014G141000.2	78600	72056	64004	68952	88058	97156	92792	89206
WUAT02000073.1	Potri.010G116600.1	8834	13130	9838	15464	9342	9046	7882	10112
WUAT02000078.1	Potri.009G056500.2	21200	23118	21198	22732	20078	19878	19030	19864
WUAT02000082.1	Potri.016G001400.12	3050	6762	5134	6106	5840	5402	5660	5376
WUAT02000084.1	Potri.002G106400.1	18636	23594	19044	26678	25216	22146	22470	24120
WUAT02000086.1	Potri.006G103900.2	14606	24210	17684	15432	18450	14034	14436	20320
WUAT02000087.1	Potri.019G036500.1	11078	15324	9646	14522	12922	10182	14410	14154
WUAT02000089.1	Potri.013G143400.2	22066	35446	49196	30852	42006	39640	33260	50546
WUAT02000091.1	Potri.002G159400.1	8524	6508	3510	6144	7862	6956	8728	8954
WUAT02000092.1	Potri.007G075500.1	39632	46160	18136	21842	38590	30622	29060	32210
WUAT02000093.1	Potri.013G140850.2	0	0	0	2	0	0	0	0
WUAT02000096.1	Potri.018G088300.1	8590	12588	7476	12498	8900	7202	5990	5806
WUAT02000101.1	Potri.010G252000.6	21758	35160	23862	35938	20160	11878	12010	10180
WUAT02000104.1	Potri.008G088900.2	2742	4112	3132	3904	3006	3504	2986	3388
WUAT02000105.1	Potri.002G072100.1	2322	1124	132	2486	2256	4844	1334	120
WUAT02000109.1	Potri.014G052500.1	39410	34004	33602	43072	49560	50468	39402	49112
WUAT02000114.1	Potri.013G153100.1	3768	4584	7678	6024	5156	7648	6428	9368
WUAT02000117.1	Potri.008G046500.1	414	88	636	610	962	1422	740	6030
WUAT02000122.1	Potri.011G050500.1	14342	11908	9336	11140	17436	13176	17536	13930
WUAT02000123.1	Potri.012G095133.1	21530	22790	17360	25204	23234	22884	20032	22852
WUAT02000126.1	Potri.001G230000.4	1154	1294	924	1018	5490	2408	7356	8076
WUAT02000127.1	Potri.001G174500.5	1098	3090	1164	2608	1828	3448	1766	2336
WUAT02000131.1	Potri.010G052500.1	42884	41180	37336	58774	42616	54076	40924	36724
WUAT02000136.1	Potri.001G312800.7	11136	17124	30048	15066	14160	21408	26124	49576
WUAT02000137.1	Potri.008G221801.2	50	66	104	108	126	78	286	112
WUAT02000139.1	Potri.010G042000.1	312	1160	400	662	366	500	610	536
WUAT02000141.1	Potri.005G113600.4	15922	14706	9742	20032	10902	8258	26778	8638
WUAT02000142.1	Potri.012G105800.2	6398	9874	8192	10776	10020	8316	7954	11256
WUAT02000148.1	Potri.006G203300.1	8368	8940	6542	8832	6252	3014	3988	6014
WUAT02000150.1	Potri.011G156900.1	7770	10284	8190	9818	10274	10170	8306	9816
WUAT02000151.1	Potri.014G140400.1	3032	3882	3506	3706	3062	3198	2920	2902
WUAT02000154.1	Potri.001G450401.1	6012	3214	3894	7112	11870	5600	6142	9624
WUAT02000159.1	Potri.005G074200.2	6912	4548	4050	6826	5848	6460	4828	4566
