Protein_ID	ecNum	definition	catalyticActivity	cofactors	associatedDiseases	pathway	pathway_class	pathway_type	subject_id	Gene_ID	explevel_log	logFC	transcript_ID
202931	1.1.1.219	Dihydrokaempferol 4-reductase.	Cis-3,4-leucopelargonidin + NADP(+) = (+)-dihydrokaempferol + NADPH.	\N	\N	Flavonoids, stilbene and lignin biosynthesis	Biosynthesis of Secondary Metabolites	METABOLIC	Potri.009G057800.2	WUAT02017439.1	7.003163683	-2.003880755	202931
560928	3.5.4.6	AMP deaminase.	AMP + H(2)O = IMP + NH(3).	\N	Myopathy due to mad deficiency; MIM:102770.	Purine metabolism	Nucleotide Metabolism	METABOLIC	Potri.006G102000.3	WUAT02013212.1	9.926151848	-3.289582875	560928
565949	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	\N	\N	\N	Tetrachloroethene degradation	Biodegradation of Xenobiotics	METABOLIC	Potri.010G052500.1	WUAT02018707.1	6.648075604	-2.160017518	565949
565949	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	\N	\N	\N	Lysine degradation	Amino Acid Metabolism	METABOLIC	Potri.010G052500.1	WUAT02018707.1	6.648075604	-2.160017518	565949
565949	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	\N	\N	\N	Butanoate metabolism	Carbohydrate Metabolism	METABOLIC	Potri.010G052500.1	WUAT02018707.1	6.648075604	-2.160017518	565949
565949	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	\N	\N	\N	Galactose metabolism	Carbohydrate Metabolism	METABOLIC	Potri.010G052500.1	WUAT02018707.1	6.648075604	-2.160017518	565949
565949	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	\N	\N	\N	Bile acid biosynthesis	Lipid Metabolism	METABOLIC	Potri.010G052500.1	WUAT02018707.1	6.648075604	-2.160017518	565949
565949	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	\N	\N	\N	Ascorbate and aldarate metabolism	Carbohydrate Metabolism	METABOLIC	Potri.010G052500.1	WUAT02018707.1	6.648075604	-2.160017518	565949
565949	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	\N	\N	\N	Nucleotide sugars metabolism	Nucleotide Metabolism	METABOLIC	Potri.010G052500.1	WUAT02018707.1	6.648075604	-2.160017518	565949
565949	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	\N	\N	\N	Fructose and mannose metabolism	Carbohydrate Metabolism	METABOLIC	Potri.010G052500.1	WUAT02018707.1	6.648075604	-2.160017518	565949
565949	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	\N	\N	\N	Glycerolipid metabolism	Metabolism of Complex Lipids	METABOLIC	Potri.010G052500.1	WUAT02018707.1	6.648075604	-2.160017518	565949
565949	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	\N	\N	\N	Vitamin B6 metabolism	Metabolism of Cofactors and Vitamins	METABOLIC	Potri.010G052500.1	WUAT02018707.1	6.648075604	-2.160017518	565949
565949	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	\N	\N	\N	Glycine, serine and threonine metabolism	Amino Acid Metabolism	METABOLIC	Potri.010G052500.1	WUAT02018707.1	6.648075604	-2.160017518	565949
565949	1.1.1.-	With NAD(+) or NADP(+) as acceptor.	\N	\N	\N	Benzoate degradation via CoA ligation	Biodegradation of Xenobiotics	METABOLIC	Potri.010G052500.1	WUAT02018707.1	6.648075604	-2.160017518	565949
655357	2.7.1.37	Protein kinase.	ATP + a protein = ADP + a phosphoprotein.	\N	\N	\N	\N	\N	Potri.007G020100.1	WUAT02007177.1	3.7136276	-2.07041459	655357
658639	1.1.1.2	Alcohol dehydrogenase (NADP+).	An alcohol + NADP(+) = an aldehyde + NADPH.	Zinc.	\N	Glycerolipid metabolism	Metabolism of Complex Lipids	METABOLIC	Potri.010G097800.1	WUAT02013075.1	9.464757996	-3.032719417	658639
658639	1.1.1.2	Alcohol dehydrogenase (NADP+).	An alcohol + NADP(+) = an aldehyde + NADPH.	Zinc.	\N	Glycolysis / Gluconeogenesis	Carbohydrate Metabolism	METABOLIC	Potri.010G097800.1	WUAT02013075.1	9.464757996	-3.032719417	658639
658639	1.1.1.2	Alcohol dehydrogenase (NADP+).	An alcohol + NADP(+) = an aldehyde + NADPH.	Zinc.	\N	Pentose and glucuronate interconversions	Carbohydrate Metabolism	METABOLIC	Potri.010G097800.1	WUAT02013075.1	9.464757996	-3.032719417	658639
658639	1.1.1.2	Alcohol dehydrogenase (NADP+).	An alcohol + NADP(+) = an aldehyde + NADPH.	Zinc.	\N	Caprolactam degradation	Biodegradation of Xenobiotics	METABOLIC	Potri.010G097800.1	WUAT02013075.1	9.464757996	-3.032719417	658639
