Protein_ID	subject_id	Gene_ID	explevel_log	logFC	transcript_ID	goTermId	goName	gotermType	goAcc
171564	Potri.001G182300.2	WUAT02004297.1	2.853901779	3.750871104	171564	2982	microtubule associated complex	cellular_component	GO:0005875
171564	Potri.001G182300.2	WUAT02004297.1	2.853901779	3.750871104	171564	4072	microtubule-based movement	biological_process	GO:0007018
171564	Potri.001G182300.2	WUAT02004297.1	2.853901779	3.750871104	171564	2653	ATP binding	molecular_function	GO:0005524
171564	Potri.001G182300.2	WUAT02004297.1	2.853901779	3.750871104	171564	1124	microtubule motor activity	molecular_function	GO:0003777
225793	Potri.010G136900.1	WUAT02016110.1	7.281380323	2.991218418	225793	1170	catalytic activity	molecular_function	GO:0003824
228699	Potri.010G240600.1	WUAT02017083.1	13.08243155	3.141668739	228699	14745	nutrient reservoir activity	molecular_function	GO:0045735
265842	Potri.015G033600.1	WUAT02015182.1	5.454548532	3.757133693	265842	1056	DNA binding	molecular_function	GO:0003677
265842	Potri.015G033600.1	WUAT02015182.1	5.454548532	3.757133693	265842	2757	nucleus	cellular_component	GO:0005634
268780	Potri.005G017600.1	WUAT02016563.1	2.556403516	4.116739706	268780	1504	ATP-dependent peptidase activity	molecular_function	GO:0004176
268780	Potri.005G017600.1	WUAT02016563.1	2.556403516	4.116739706	268780	2653	ATP binding	molecular_function	GO:0005524
268780	Potri.005G017600.1	WUAT02016563.1	2.556403516	4.116739706	268780	157	nucleotide binding	molecular_function	GO:0000166
268780	Potri.005G017600.1	WUAT02016563.1	2.556403516	4.116739706	268780	3590	obsolete ATP-dependent proteolysis	biological_process	GO:0006510
268780	Potri.005G017600.1	WUAT02016563.1	2.556403516	4.116739706	268780	3588	proteolysis	biological_process	GO:0006508
268780	Potri.005G017600.1	WUAT02016563.1	2.556403516	4.116739706	268780	1573	serine-type endopeptidase activity	molecular_function	GO:0004252
268780	Potri.005G017600.1	WUAT02016563.1	2.556403516	4.116739706	268780	5594	obsolete serine-type signal peptidase activity	molecular_function	GO:0008991
268780	Potri.005G017600.1	WUAT02016563.1	2.556403516	4.116739706	268780	4889	obsolete plasminogen activator activity	molecular_function	GO:0008243
268780	Potri.005G017600.1	WUAT02016563.1	2.556403516	4.116739706	268780	1591	obsolete subtilase activity	molecular_function	GO:0004289
268780	Potri.005G017600.1	WUAT02016563.1	2.556403516	4.116739706	268780	8812	nucleoside-triphosphatase activity	molecular_function	GO:0017111
268780	Potri.005G017600.1	WUAT02016563.1	2.556403516	4.116739706	268780	8536	obsolete proprotein convertase activity	molecular_function	GO:0016808
268780	Potri.005G017600.1	WUAT02016563.1	2.556403516	4.116739706	268780	4786	obsolete pancreatic elastase activity	molecular_function	GO:0008132
282159	Potri.006G123900.1	WUAT02018919.1	10.79828594	2.073939395	282159	2653	ATP binding	molecular_function	GO:0005524
282159	Potri.006G123900.1	WUAT02018919.1	10.79828594	2.073939395	282159	8614	ATPase activity	molecular_function	GO:0016887
282159	Potri.006G123900.1	WUAT02018919.1	10.79828594	2.073939395	282159	3879	transport	biological_process	GO:0006810
282159	Potri.006G123900.1	WUAT02018919.1	10.79828594	2.073939395	282159	157	nucleotide binding	molecular_function	GO:0000166
282159	Potri.006G123900.1	WUAT02018919.1	10.79828594	2.073939395	282159	8812	nucleoside-triphosphatase activity	molecular_function	GO:0017111
282159	Potri.006G123900.1	WUAT02018919.1	10.79828594	2.073939395	282159	7827	integral component of membrane	cellular_component	GO:0016021
282159	Potri.006G123900.1	WUAT02018919.1	10.79828594	2.073939395	282159	13182	ATPase-coupled transmembrane transporter activity	molecular_function	GO:0042626
287051	Potri.014G027100.1	WUAT02014947.1	6.637800525	2.185498032	287051	3449	regulation of transcription, DNA-templated	biological_process	GO:0006355
287051	Potri.014G027100.1	WUAT02014947.1	6.637800525	2.185498032	287051	1056	DNA binding	molecular_function	GO:0003677
287051	Potri.014G027100.1	WUAT02014947.1	6.637800525	2.185498032	287051	1076	DNA-binding transcription factor activity	molecular_function	GO:0003700
287051	Potri.014G027100.1	WUAT02014947.1	6.637800525	2.185498032	287051	2757	nucleus	cellular_component	GO:0005634
413486	Potri.003G125400.1	WUAT02015395.1	11.25223669	2.430288535	424187	13790	protein-containing complex	cellular_component	GO:0032991
413486	Potri.003G125400.1	WUAT02015395.1	11.25223669	2.430288535	424187	18753	protein polymerization	biological_process	GO:0051258
413486	Potri.003G125400.1	WUAT02015395.1	11.25223669	2.430288535	424187	1264	GTPase activity	molecular_function	GO:0003924
413486	Potri.003G125400.1	WUAT02015395.1	11.25223669	2.430288535	424187	2654	GTP binding	molecular_function	GO:0005525
413486	Potri.003G125400.1	WUAT02015395.1	11.25223669	2.430288535	424187	4072	microtubule-based movement	biological_process	GO:0007018
413486	Potri.003G125400.1	WUAT02015395.1	11.25223669	2.430288535	424187	2981	microtubule	cellular_component	GO:0005874
413486	Potri.003G125400.1	WUAT02015395.1	11.25223669	2.430288535	424187	2434	structural molecule activity	molecular_function	GO:0005198
553020	Potri.017G123700.1	WUAT02008827.1	9.365192142	2.129951754	553020	4055	chromosome organization	biological_process	GO:0051276
553020	Potri.017G123700.1	WUAT02008827.1	9.365192142	2.129951754	553020	1056	DNA binding	molecular_function	GO:0003677
553020	Potri.017G123700.1	WUAT02008827.1	9.365192142	2.129951754	553020	2757	nucleus	cellular_component	GO:0005634
553020	Potri.017G123700.1	WUAT02008827.1	9.365192142	2.129951754	553020	481	nucleosome	cellular_component	GO:0000786
553020	Potri.017G123700.1	WUAT02008827.1	9.365192142	2.129951754	553020	3429	nucleosome assembly	biological_process	GO:0006334
558645	Potri.005G087100.1	WUAT02013324.1	2.299113751	3.018729254	558645	1598	obsolete proteasome endopeptidase activity	molecular_function	GO:0004299
558645	Potri.005G087100.1	WUAT02013324.1	2.299113751	3.018729254	558645	1597	threonine-type endopeptidase activity	molecular_function	GO:0004298
559591	Potri.005G213300.6	WUAT02002844.1	2.541857216	2.199600353	559591	4804	metabolic process	biological_process	GO:0008152
559591	Potri.005G213300.6	WUAT02002844.1	2.541857216	2.199600353	559591	1771	methylcrotonoyl-CoA carboxylase activity	molecular_function	GO:0004485
559591	Potri.005G213300.6	WUAT02002844.1	2.541857216	2.199600353	559591	2653	ATP binding	molecular_function	GO:0005524
559591	Potri.005G213300.6	WUAT02002844.1	2.541857216	2.199600353	559591	8601	ligase activity	molecular_function	GO:0016874
559591	Potri.005G213300.6	WUAT02002844.1	2.541857216	2.199600353	559591	5966	biotin binding	molecular_function	GO:0009374
559908	Potri.005G247700.1	WUAT02003597.1	10.05166573	2.06152786	559908	5084	L-ascorbate oxidase activity	molecular_function	GO:0008447
559908	Potri.005G247700.1	WUAT02003597.1	10.05166573	2.06152786	559908	2639	copper ion binding	molecular_function	GO:0005507
560466	Potri.006G047200.1	WUAT02009413.1	9.226736695	2.57767147	560466	4804	metabolic process	biological_process	GO:0008152
560466	Potri.006G047200.1	WUAT02009413.1	9.226736695	2.57767147	560466	8488	transferase activity, transferring hexosyl groups	molecular_function	GO:0016758
