subject_id	Gene_ID	explevel_log	Protein_ID	transcript_ID
Potri.001G182300.2	WUAT02004297.1	3.303347496	171564	171564
Potri.001G182300.2	WUAT02016986.1	5.747409152	171564	171564
Potri.001G189700.5	WUAT02021037.1	4.994742843	171787	171787
Potri.001G217700.1	WUAT02003579.1	10.62526074	172048	172048
Potri.001G253500.1	WUAT02023384.1	8.852793778	172222	172222
Potri.001G251100.2	WUAT02004927.1	6.103272285	172318	172318
Potri.001G250700.1	WUAT02018336.1	5.423409641	172338	172338
Potri.001G250700.1	WUAT02022631.1	10.07020198	172338	172338
Potri.001G234200.1	WUAT02006755.1	9.787192836	172849	172849
Potri.001G262800.1	WUAT02019681.1	6.682570685	173058	173058
Potri.001G265300.2	WUAT02007488.1	9.621120591	173179	173179
Potri.001G347900.2	WUAT02015012.1	8.288687869	173877	173877
Potri.001G341900.1	WUAT02012522.1	9.288249273	174089	174089
Potri.001G329400.1	WUAT02019895.1	10.03730829	174507	174507
Potri.001G321800.2	WUAT02019239.1	9.484234803	174716	174716
Potri.001G308600.1	WUAT02004309.1	9.826817742	175077	175077
Potri.001G305400.1	WUAT02008646.1	9.992734438	175190	175190
Potri.001G300900.1	WUAT02001132.1	10.0055209	175325	175325
Potri.001G294700.1	WUAT02010024.1	8.93383468	175504	175504
Potri.001G357100.4	WUAT02018123.1	9.360159187	175839	175839
Potri.001G370600.1	WUAT02012499.1	7.585483747	176275	176275
Potri.001G374200.4	WUAT02012842.1	9.798342577	176347	176347
Potri.001G459200.1	WUAT02020625.1	7.618366551	177231	177231
Potri.001G462700.1	WUAT02006971.1	9.023417835	177383	177383
Potri.001G462800.1	WUAT02017673.1	6.672492521	177387	177387
Potri.001G000700.2	WUAT02002665.1	10.79619701	177738	177738
Potri.001G003800.1	WUAT02012831.1	10.98803342	177802	177802
Potri.001G007900.2	WUAT02021555.1	10.2017334	177956	177956
Potri.001G033900.4	WUAT02019488.1	8.008470244	178328	178328
Potri.001G032000.3	WUAT02018217.1	9.620116737	178371	178371
Potri.001G023500.1	WUAT02015085.1	10.46304674	178600	178600
Potri.001G061500.1	WUAT02003515.1	10.96691328	179255	179255
Potri.001G079400.4	WUAT02021112.1	9.838024312	179631	179631
Potri.001G079400.4	WUAT02022294.1	10.03571778	179631	179631
Potri.001G082900.1	WUAT02004923.1	8.466803452	179726	179726
Potri.001G083300.1	WUAT02017862.1	9.004587416	179738	179738
Potri.001G092700.1	WUAT02018294.1	5.646414525	180036	180036
Potri.001G098700.2	WUAT02013874.1	9.872819008	180196	180196
Potri.001G104900.5	WUAT02006171.1	10.07337135	180378	180378
Potri.001G106100.1	WUAT02020080.1	10.25683595	180424	180424
Potri.001G109500.1	WUAT02003813.1	9.928002684	180526	180526
Potri.001G112200.1	WUAT02017651.1	9.070541792	180608	180608
Potri.001G113100.1	WUAT02018132.1	11.9473042	180639	180639
Potri.001G175700.1	WUAT02002585.1	4.497981854	180923	180923
Potri.001G175700.1	WUAT02004526.1	7.821477986	180923	180923
Potri.001G180200.1	WUAT02022663.1	9.286968593	181064	181064
Potri.001G214500.1	WUAT02016628.1	9.960436833	181167	181167
Potri.004G117900.1	WUAT02003344.1	9.444003447	195222	195222
Potri.004G165800.1	WUAT02003385.1	10.59297783	195833	195833
Potri.004G165800.1	WUAT02004007.1	6.811470951	195833	195833
Potri.004G165800.1	WUAT02007090.1	5.910813612	195833	195833
Potri.004G165800.1	WUAT02013048.1	7.240943235	195833	195833
Potri.004G165800.1	WUAT02023377.1	5.033238945	195833	195833
Potri.004G172500.1	WUAT02013475.1	5.594948944	195979	195979
Potri.004G174800.1	WUAT02018662.1	5.083660191	196076	196076
Potri.004G013700.3	WUAT02018248.1	5.746600612	196517	196517
Potri.004G018800.1	WUAT02021529.1	8.039320413	196672	196672
Potri.004G022500.1	WUAT02007624.1	10.12305338	196766	196766
Potri.004G030500.4	WUAT02000797.1	10.06999271	197021	197021
Potri.004G033100.1	WUAT02016427.1	10.82749181	197101	197101
Potri.004G035400.1	WUAT02009541.1	9.839320991	197160	197160
Potri.004G065400.1	WUAT02005711.1	8.900027163	197404	197404
Potri.004G061800.1	WUAT02018955.1	9.884287341	197539	197539
Potri.004G053400.2	WUAT02020939.1	10.04755588	197763	197763
Potri.004G052300.1	WUAT02000771.1	10.58313534	197801	197801
Potri.004G083300.2	WUAT02018589.1	7.484466864	198631	198631
Potri.004G074000.1	WUAT02004272.1	7.236223534	198892	198892
Potri.004G108200.2	WUAT02013902.1	9.388220171	199158	199158
Potri.004G129200.1	WUAT02002701.1	9.799347537	199267	199267
Potri.009G158800.1	WUAT02005838.1	10.08523778	199969	199969
Potri.009G152500.1	WUAT02013011.1	9.604295656	200140	200140
Potri.009G144800.1	WUAT02003628.1	10.6379079	200345	200345
Potri.009G126500.1	WUAT02001007.1	7.496024216	201012	201012
Potri.009G103000.1	WUAT02012853.1	9.312442615	201674	201674
Potri.009G096600.1	WUAT02019367.1	11.27021219	201872	201872
Potri.009G090300.2	WUAT02001715.1	8.158209664	202043	202043
Potri.009G090300.2	WUAT02011097.1	8.525853147	202043	202043
Potri.009G085100.2	WUAT02010279.1	11.75275164	202156	202156
Potri.009G085100.2	WUAT02023057.1	12.80564467	202156	202156
Potri.009G084500.3	WUAT02002000.1	4.909397822	202176	202176
Potri.009G084500.3	WUAT02003543.1	8.552667497	202176	202176
Potri.009G084500.3	WUAT02005963.1	6.044540836	202176	202176
Potri.009G084500.3	WUAT02013442.1	6.520562421	202176	202176
Potri.009G084500.3	WUAT02015206.1	7.932151873	202176	202176
Potri.009G084500.3	WUAT02016291.1	9.556576429	202176	202176
Potri.009G082300.1	WUAT02018618.1	9.461234063	202262	202262
Potri.009G066000.1	WUAT02015133.1	8.447610394	202718	202718
Potri.009G058100.1	WUAT02020580.1	8.747116438	202916	202916
Potri.009G058100.1	WUAT02022583.1	8.719964261	202916	202916
Potri.009G057800.2	WUAT02017439.1	7.091805964	202931	202931
Potri.009G057800.2	WUAT02018281.1	6.249782143	202931	202931
Potri.009G057800.2	WUAT02022344.1	9.752758454	202931	202931
Potri.009G057500.1	WUAT02001337.1	8.106545454	202947	202947
Potri.009G057500.1	WUAT02019886.1	5.403680575	202947	202947
Potri.009G054300.1	WUAT02009603.1	9.436647528	203051	203051
Potri.009G049400.3	WUAT02021711.1	8.758224038	203198	203198
Potri.009G040700.2	WUAT02012085.1	7.737117706	203486	203486
Potri.009G021200.1	WUAT02021190.1	10.67784966	204062	204062
Potri.009G016900.1	WUAT02023084.1	10.39980307	204190	204190
Potri.009G014500.5	WUAT02008259.1	10.38755055	204283	204283
Potri.009G014500.5	WUAT02016479.1	5.540243901	204283	204283
Potri.009G012400.2	WUAT02004253.1	7.39322566	204338	204338
Potri.009G012400.2	WUAT02012030.1	5.899933939	204338	204338
Potri.009G012400.2	WUAT02012142.1	8.694571229	204338	204338
Potri.009G012400.2	WUAT02014177.1	9.589264693	204338	204338
Potri.009G012400.2	WUAT02020060.1	6.439915358	204338	204338
Potri.005G191300.1	WUAT02008845.1	9.943212732	204887	204887
Potri.005G195600.1	WUAT02001898.1	7.242724544	205001	205001
Potri.005G198000.1	WUAT02023243.1	6.959542791	205073	205073
Potri.005G203500.2	WUAT02001454.1	8.742065261	205261	205261
Potri.005G203500.2	WUAT02018162.1	8.694210521	205261	205261
Potri.005G203500.2	WUAT02021754.1	9.111552455	205261	205261
Potri.005G205500.1	WUAT02020917.1	9.625987181	205323	205323
Potri.005G210000.1	WUAT02000203.1	9.244274552	205458	205458
Potri.005G210000.1	WUAT02004784.1	9.513464746	205458	205458
Potri.005G210000.1	WUAT02021152.1	9.274563891	205458	205458
Potri.005G212700.1	WUAT02000597.1	6.487265562	205524	205524
Potri.005G212700.1	WUAT02010473.1	7.753584604	205524	205524
Potri.005G212700.1	WUAT02012859.1	4.897104979	205524	205524
Potri.005G228000.1	WUAT02015936.1	7.970625278	205966	205966
Potri.005G247900.4	WUAT02020136.1	9.235124006	206604	206604
Potri.005G249200.1	WUAT02012183.1	10.36398152	206625	206625
Potri.005G249200.1	WUAT02020649.1	4.181432617	206625	206625
Potri.005G249800.4	WUAT02003781.1	11.3302999	206647	206647
Potri.005G254300.1	WUAT02019946.1	5.684850894	206779	206779
Potri.005G254300.1	WUAT02021638.1	2.709249935	206779	206779
Potri.005G065800.3	WUAT02012962.1	7.763608607	207140	207140
Potri.005G067100.1	WUAT02016846.1	3.513199213	207165	207165
Potri.005G072200.4	WUAT02020129.1	8.889583953	207302	207302
Potri.005G075700.2	WUAT02014360.1	9.129880792	207428	207428
Potri.005G090700.1	WUAT02020556.1	10.22598389	207871	207871
Potri.005G091800.1	WUAT02008456.1	8.361774632	207901	207901
Potri.005G140700.4	WUAT02000394.1	9.936261722	208660	208660
Potri.005G141400.1	WUAT02001777.1	10.10701127	208696	208696
Potri.005G180600.1	WUAT02005830.1	8.451886744	209993	209993
Potri.007G145800.1	WUAT02006366.1	8.357344025	216029	216029
Potri.007G139900.1	WUAT02022366.1	9.124557788	216205	216205
Potri.007G132000.1	WUAT02020738.1	9.13858934	216407	216407
Potri.007G075500.1	WUAT02000092.1	10.37508369	218032	218032
Potri.007G041000.1	WUAT02003310.1	4.723603571	218739	218739
Potri.007G041000.1	WUAT02016675.1	3.016385631	218739	218739
Potri.007G032800.1	WUAT02004852.1	6.509962401	218980	218980
Potri.007G032800.1	WUAT02005621.1	10.33466119	218980	218980
Potri.007G026800.1	WUAT02015759.1	11.10128711	219165	219165
Potri.007G024500.1	WUAT02003045.1	7.46647747	219245	219245
Potri.007G023300.1	WUAT02000866.1	1.672508813	219290	219290
Potri.007G013900.1	WUAT02022265.1	9.840808064	219594	219594
Potri.007G011000.2	WUAT02021600.1	7.260352562	219697	219697
Potri.007G010700.1	WUAT02018734.1	9.869701045	219713	219713
Potri.010G131400.2	WUAT02015690.1	9.660475636	225695	225695
Potri.010G136900.1	WUAT02016110.1	7.086525749	225793	225793
Potri.010G157400.1	WUAT02013415.1	9.489460666	226120	226120
Potri.010G158400.1	WUAT02005149.1	7.708274404	226133	226133
Potri.010G158700.8	WUAT02016967.1	8.080501426	226137	226137
Potri.010G159100.1	WUAT02019218.1	9.284818035	226144	226144
Potri.010G159900.1	WUAT02009393.1	8.664643713	226169	226169
Potri.010G160700.3	WUAT02010393.1	9.06970671	226191	226191
Potri.010G164700.2	WUAT02013186.1	10.08021116	226326	226326
Potri.010G192400.1	WUAT02005680.1	10.64316365	227151	227151
Potri.010G202000.1	WUAT02014427.1	9.089753255	227426	227426
Potri.010G208400.1	WUAT02010590.1	8.73091367	227588	227588
Potri.010G224800.1	WUAT02021457.1	9.679580345	228037	228037
Potri.010G225200.1	WUAT02017183.1	7.990264328	228054	228054
Potri.010G241200.1	WUAT02008391.1	8.26829984	228682	228682
Potri.010G240600.1	WUAT02017083.1	13.3160623	228699	228699
Potri.010G014500.1	WUAT02018312.1	6.585033369	229315	229315
Potri.010G019000.2	WUAT02001494.1	10.56892922	229748	229748
Potri.010G019000.2	WUAT02004886.1	2.272858457	229748	229748
Potri.010G065000.2	WUAT02020025.1	8.928409449	229938	229938
Potri.010G054300.10	WUAT02009587.1	10.32855088	230282	230282
Potri.010G054300.10	WUAT02012957.1	9.715161321	230282	230282
Potri.010G044900.3	WUAT02020361.1	9.750836512	230558	230558
Potri.010G039900.1	WUAT02005857.1	9.590237117	230718	230718
Potri.010G073100.1	WUAT02008494.1	4.148127391	230793	230793
Potri.010G073300.2	WUAT02011723.1	10.19178865	230810	230810
Potri.010G088900.1	WUAT02000349.1	7.670612676	231234	231234
Potri.010G093900.2	WUAT02005257.1	10.698228	231398	231398
Potri.010G100500.1	WUAT02022995.1	10.29272221	231561	231561
Potri.010G102900.1	WUAT02002630.1	10.58964512	231624	231624
Potri.010G109400.1	WUAT02017960.1	11.11169922	231807	231807
Potri.010G113700.2	WUAT02017339.1	11.32118323	231905	231905
Potri.010G115000.3	WUAT02001311.1	8.271591595	231955	231955
Potri.010G115000.3	WUAT02011305.1	9.833985627	231955	231955
Potri.011G137700.1	WUAT02011499.1	8.791566966	232529	232529
Potri.011G009600.2	WUAT02012347.1	6.904662437	233464	233464
Potri.011G015900.1	WUAT02016611.1	11.41979421	233664	233664
Potri.011G022300.2	WUAT02001320.1	10.40679195	233710	233710
Potri.011G046600.1	WUAT02014827.1	5.46938888	234033	234033
Potri.011G046600.1	WUAT02014917.1	8.111685101	234033	234033
Potri.011G065700.1	WUAT02019566.1	9.729500538	235349	235349
Potri.011G107400.2	WUAT02004104.1	8.261048352	235497	235497
Potri.013G007800.5	WUAT02013790.1	7.699166549	240352	240352
Potri.013G007800.5	WUAT02019383.1	10.76099155	240352	240352
Potri.013G008900.1	WUAT02023417.1	9.324599684	240367	240367
Potri.013G022700.2	WUAT02009519.1	7.295245563	240760	240760
Potri.013G025100.1	WUAT02021845.1	9.035762371	240822	240822
Potri.013G027600.2	WUAT02010531.1	11.48887709	240889	240889
Potri.013G027600.2	WUAT02015508.1	10.17559516	240889	240889
Potri.013G035100.1	WUAT02009099.1	9.18043996	241081	241081
Potri.013G035100.1	WUAT02023002.1	9.106276851	241081	241081
Potri.013G042300.1	WUAT02007659.1	8.471966153	241315	241315
Potri.013G048300.1	WUAT02003026.1	10.1462087	241481	241481
Potri.013G051400.2	WUAT02004745.1	9.586349818	241552	241552
Potri.013G067400.1	WUAT02010552.1	7.577016217	242013	242013
Potri.013G134800.1	WUAT02004713.1	8.437366948	243107	243107
Potri.014G066600.1	WUAT02000907.1	7.230432576	243945	243945
Potri.014G067400.3	WUAT02017894.1	10.40722526	243981	243981
Potri.014G072800.3	WUAT02003822.1	8.40272185	244140	244140
Potri.014G080900.1	WUAT02001312.1	8.435084207	244404	244404
