Gene_ID	Level	logFC	Size..aa.	Final.Description	X.1st.BLASTp.hit...if.blank..see.next.column.	X.1st.BLASTp.hit...blank.are.real.orphans..	KO.	Name.KEGG	Annotation	X.GO.Terms	GO.Terms	Enzyme.Code	SignalP	G_T1_Rep1	G_T1_Rep2	G_T1_Rep3	G_T1_Rep4	G_T2_Rep1	G_T2_Rep2	G_T2_Rep3	G_T2_Rep4
gene_1074	10.5921225361954	2.32510263573258	292	Carbohydrate esterase family 1 protein 	Pestalotiopsis fici	Sporothrix schenckii			probable acetylxylan esterase	5	C:extracellular region; F:hydrolase activity, hydrolyzing O-glycosyl compounds; F:polysaccharide binding; F:carbohydrate binding; P:carbohydrate metabolic process		Y	107	4	0	79	0	8	8	0
gene_1118	6.74218237556584	2.31597838980552	154	Putative uncharacterized protein	 				---NA---	0	-		N	6	16	0	15	7	2	4	0
gene_1233	7.20154861432519	2.02142185747274	284	Stress-induced protein C29B12.11c	Grosmannia clavigera	Ophiostoma piceae			ww-domain ligand protein	0	-		N	31	9	0	52	10	0	8	0
gene_1289	14.2996261645969	2.02045296009008	635	Major facilitator superfamily transporter	Grosmannia clavigera	Ophiostoma piceae			major facilitator superfamily transporter	2	P:transmembrane transport; C:integral to membrane	-	N	8	2	10	33	12	17	0	2
gene_1334	1.53711231524634	2.02652552482119	803	Putative uncharacterized protein	Chaetomium globosum	Ophiostoma piceae			hypothetical protein CHGG_04110	3	F:molecular_function; P:biological_process; C:cellular_component		N	17	0	0	22	0	0	0	0
gene_1340	8.37747986354707	3.3267654188145	524	tRNA guanosine-2'-O-methyltransferase TRM11	Grosmannia clavigera	Ophiostoma piceae	K15430	TRM11, TRMT11; tRNA (guanine10-N2)-methyltransferase [EC:2.1.1.214]	trna guanosine-2 -o-methyltransferase trm11	1	F:transferase activity	-	N	25	2	6	9	10	0	0	0
gene_1393	5.89280989842436	2.11301672522281	279	HAD superfamily hydrolase	Grosmannia clavigera	Ophiostoma piceae			haloacid dehalogenase-like hydrolase	1	F:hydrolase activity	-	N	10	12	0	23	18	2	0	0
gene_1408	3.95578949566869	2.9438581264306	278	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_5326	0	-		Y	0	0	4	0	2	0	0	0
gene_1458	8.5170599368301	2.07094739802464	509	High-affinity nickel transport protein nic1	Grosmannia clavigera	Ophiostoma piceae	K07241	nixA; high-affinity nickel-transport protein	nickel transporter	6	F:metal ion binding; P:cobalt ion transport; F:nickel cation transmembrane transporter activity; F:cobalt ion transmembrane transporter activity; C:integral to membrane; P:nickel cation transmembrane transport	-	N	82	4	0	56	38	0	0	0
gene_1463	4.05169483754829	3.18640383727683	1 388	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		N	2	12	0	2	0	0	0	0
