subject_id	Gene_ID	exprLevel_log	LogFC	Protein_ID	transcript_ID
Potri.001G374200.4	WUAT02012842.1	10.1465909	-2.100770373	176347	176347
Potri.001G199200.1	WUAT02003606.1	10.83297557	-2.897730095	298944	298944
Potri.008G135800.3	WUAT02019133.1	7.02545927	-2.282020359	420372	431073
Potri.001G110700.1	WUAT02002057.1	11.76586456	-3.573211796	548519	548519
Potri.003G073400.2	WUAT02014080.1	10.65082483	-3.708996994	553835	553835
Potri.006G102000.3	WUAT02013212.1	9.946077135	-3.365021015	560928	560928
Potri.010G052500.1	WUAT02021878.1	3.35561771	-3.304794577	565949	565949
Potri.012G058400.2	WUAT02008057.1	5.457396322	-3.573622566	569842	569842
Potri.013G029300.2	WUAT02005654.1	3.351210032	-2.182374267	570914	570914
Potri.015G074000.1	WUAT02014265.1	10.75727303	-2.125649907	575136	575136
Potri.018G087600.1	WUAT02012358.1	9.936436712	-2.467727479	578539	578539
Potri.001G043200.2	WUAT02004249.1	10.15984237	-2.14192152	587197	587197
Potri.005G247600.1	WUAT02006818.1	8.719803985	-2.450046379	652170	652170
Potri.010G072000.1	WUAT02022901.1	9.540668054	-2.057314862	658370	658370
Potri.010G097800.1	WUAT02013075.1	9.462655526	-3.358361635	658639	658639
Potri.001G166100.4	WUAT02019069.1	5.249965031	-5.399116618	673211	673211
Potri.007G054200.1	WUAT02001570.1	6.666593154	-2.339225993	711834	711834
Potri.003G202300.3	WUAT02011066.1	10.37775632	-2.050588038	758112	758112
Potri.010G142800.1	WUAT02007590.1	11.00396346	-6.964765829	769807	769807
Potri.011G030200.1	WUAT02006753.1	7.148116645	-2.041635292	771112	771112
Potri.001G004800.1	WUAT02009855.1	1.225454893	-2.965586668	797014	797014
Potri.001G313900.1	WUAT02003209.1	8.30274696	-2.114589019	815647	815647
Potri.002G089800.2	WUAT02016568.1	1.903960674	-2.255218309	816312	816312
Potri.010G027100.2	WUAT02012294.1	2.159351185	-2.375555036	821757	821757
Potri.014G170500.2	WUAT02000329.1	9.336727019	-2.053877525	824372	824372
Potri.003G180700.1	WUAT02022889.1	6.377008997	-2.068774074	830958	830958
Potri.006G249100.1	WUAT02011368.1	6.347617805	-2.105749731	832135	832135
Potri.018G107300.1	WUAT02017717.1	9.747011744	-2.655633138	835953	835953
Potri.018G107300.1	WUAT02017717.1	9.747011744	-2.655633138	835953	835953
