Gene_ID	subject_id	H_T1_Rep1	H_T1_Rep2	H_T1_Rep3	H_T1_Rep4	H_T2_Rep1	H_T2_Rep2	H_T2_Rep3	H_T2_Rep4
WUAT02000001.1	Potri.013G162500.1	11200	15634	13966	17492	13550	14732	15416	16646
WUAT02000002.1	Potri.002G176000.1	14076	13682	15100	16454	15314	18446	18940	20724
WUAT02000005.1	Potri.002G099200.1	2550	3296	3396	4734	2872	5376	5012	4084
WUAT02000007.1	Potri.001G409500.1	12786	10004	9010	11940	12730	10710	9510	8678
WUAT02000010.1	Potri.014G046000.3	26638	50562	35480	55782	36342	37324	43398	43102
WUAT02000011.1	Potri.013G046400.6	1832	956	1970	1426	3080	1244	958	1128
WUAT02000014.1	Potri.001G359700.6	23774	21982	23376	30228	25240	29468	29918	29980
WUAT02000015.1	Potri.013G143400.2	2050	1648	3208	3092	3192	3320	3062	3172
WUAT02000019.1	Potri.013G133550.2	23312	20802	20666	29088	25930	27746	31316	28754
WUAT02000023.1	Potri.017G041800.5	6582	2406	9524	4428	10780	7088	7010	7854
WUAT02000025.1	Potri.011G103401.1	11562	8504	16616	11320	17428	18170	15880	19794
WUAT02000028.1	Potri.001G354700.3	8358	7768	9814	10676	10348	10530	10146	10134
WUAT02000032.1	Potri.012G084100.1	8032	5824	14540	10634	15100	12918	12784	12538
WUAT02000037.1	Potri.015G002600.1	32116	31056	29876	32618	34194	40368	45706	44290
WUAT02000038.1	Potri.006G118800.1	96	366	302	244	182	212	294	336
WUAT02000039.1	Potri.001G330300.8	62492	106636	68428	91868	57906	84258	83382	86838
WUAT02000041.1	Potri.019G030600.2	102	30	50	114	210	72	56	68
WUAT02000042.1	Potri.001G457700.1	3000	6386	2090	6064	1626	2860	7664	2782
WUAT02000046.1	Potri.005G045100.1	4476	5636	7428	7394	7896	4138	4722	4562
WUAT02000049.1	Potri.017G083200.6	3920	4004	5258	5290	8378	6194	7064	7006
WUAT02000051.1	Potri.016G049000.1	36976	32892	38558	42816	41974	40326	39724	43338
WUAT02000052.1	Potri.007G062302.1	1680	1124	4406	1828	2118	2716	1966	3080
WUAT02000054.1	Potri.006G259600.3	704	1538	1890	826	600	442	890	1626
WUAT02000055.1	Potri.004G125150.1	64788	52274	49250	54744	61370	58472	85700	89956
WUAT02000059.1	Potri.010G052500.1	98346	52690	81456	70984	103710	101542	126676	147586
WUAT02000060.1	Potri.002G246500.1	24148	27950	34378	30702	39374	46664	52362	50454
WUAT02000064.1	Potri.010G103000.1	15842	24380	14480	22404	11724	17524	25592	23948
WUAT02000068.1	Potri.009G027000.3	54022	54556	40706	69628	44236	50990	47048	51292
WUAT02000069.1	Potri.014G141000.2	60464	72950	55372	85406	62068	62768	57826	64538
WUAT02000073.1	Potri.010G116600.1	10830	11290	14116	16762	14864	13448	14544	18096
WUAT02000078.1	Potri.009G056500.2	15592	23228	16898	23982	15882	27022	27398	29596
WUAT02000082.1	Potri.016G001400.12	6828	14152	6834	16416	3992	3326	7916	6848
WUAT02000084.1	Potri.002G106400.1	20746	21694	24520	27980	27166	27184	25326	28200
WUAT02000086.1	Potri.006G103900.2	21042	19592	21110	20700	23744	29588	19130	20434
WUAT02000087.1	Potri.019G036500.1	11112	12610	15306	16346	11124	19190	14770	19422
WUAT02000089.1	Potri.013G143400.2	34134	49650	45628	45712	32604	53690	43586	43996
WUAT02000091.1	Potri.002G159400.1	4476	5340	4072	5842	6288	5462	4778	4922
WUAT02000092.1	Potri.007G075500.1	103342	15936	49556	45656	73054	73954	42256	20594
WUAT02000093.1	Potri.013G140850.2	0	0	0	4	0	2	0	0
WUAT02000096.1	Potri.018G088300.1	10322	5414	10304	9792	12462	12594	9466	11102
WUAT02000101.1	Potri.010G252000.6	27742	24334	48078	30934	51458	37110	39494	46622
WUAT02000104.1	Potri.008G088900.2	2922	5010	4902	5312	4324	5222	5204	4988
WUAT02000105.1	Potri.002G072100.1	1238	744	1256	2958	728	1512	172	1812
WUAT02000109.1	Potri.014G052500.1	40096	38454	34752	48154	38296	39378	48852	43662
WUAT02000114.1	Potri.013G153100.1	6876	5232	5488	6704	3954	7658	7102	6416
WUAT02000117.1	Potri.008G046500.1	536	342	112	614	124	138	326	210
WUAT02000122.1	Potri.011G050500.1	10546	9878	10012	17402	16260	16368	40776	35240
WUAT02000123.1	Potri.012G095133.1	23620	18228	19008	26040	24678	24942	28522	26214
WUAT02000126.1	Potri.001G230000.4	552	3360	1370	2202	788	1988	2078	1968
WUAT02000127.1	Potri.001G174500.5	1466	1014	2098	2508	2278	2206	2638	2546
WUAT02000131.1	Potri.010G052500.1	40276	42770	31774	52378	37082	40862	49846	45520
WUAT02000136.1	Potri.001G312800.7	12200	23238	21130	33138	10066	21302	16308	19260
WUAT02000137.1	Potri.008G221801.2	100	88	68	90	300	192	92	84
WUAT02000139.1	Potri.010G042000.1	704	508	1524	626	990	1070	1170	1072
WUAT02000141.1	Potri.005G113600.4	11164	9950	14448	14052	18704	11720	14228	19766
WUAT02000142.1	Potri.012G105800.2	8992	9176	11256	12702	13078	10494	12250	13586
WUAT02000148.1	Potri.006G203300.1	11626	5814	8618	6904	11280	9228	11218	9214
WUAT02000150.1	Potri.011G156900.1	10246	10086	9214	9798	10680	11708	11182	11760
WUAT02000151.1	Potri.014G140400.1	2560	4282	3480	4358	4424	5004	5474	6450
