Protein_ID	ecNum	definition	catalyticActivity	cofactors	associatedDiseases	pathway	pathway_class	pathway_type	subject_id	Gene_ID	explevel_log	transcript_ID
171787	1.1.1.40	Malate dehydrogenase (oxaloacetate decarboxylating) (NADP+).	(S)-malate + NADP(+) = pyruvate + CO(2) + NADPH.	\N	\N	Carbon fixation	Energy Metabolism	METABOLIC	Potri.001G189700.5	WUAT02021037.1	4.994742843	171787
171787	1.1.1.40	Malate dehydrogenase (oxaloacetate decarboxylating) (NADP+).	(S)-malate + NADP(+) = pyruvate + CO(2) + NADPH.	\N	\N	Pyruvate metabolism	Carbohydrate Metabolism	METABOLIC	Potri.001G189700.5	WUAT02021037.1	4.994742843	171787
172048	2.7.1.-	Phosphotransferases with an alcohol group as acceptor.	\N	\N	\N	Nicotinate and nicotinamide metabolism	Metabolism of Cofactors and Vitamins	METABOLIC	Potri.001G217700.1	WUAT02003579.1	10.62526074	172048
172048	2.7.1.-	Phosphotransferases with an alcohol group as acceptor.	\N	\N	\N	Sphingoglycolipid metabolism	Metabolism of Complex Lipids	METABOLIC	Potri.001G217700.1	WUAT02003579.1	10.62526074	172048
172048	2.7.1.-	Phosphotransferases with an alcohol group as acceptor.	\N	\N	\N	Inositol phosphate metabolism	Metabolism of Complex Lipids	METABOLIC	Potri.001G217700.1	WUAT02003579.1	10.62526074	172048
172048	2.7.1.-	Phosphotransferases with an alcohol group as acceptor.	\N	\N	\N	Starch and sucrose metabolism	Metabolism of Complex Carbohydrates	METABOLIC	Potri.001G217700.1	WUAT02003579.1	10.62526074	172048
172048	2.7.1.-	Phosphotransferases with an alcohol group as acceptor.	\N	\N	\N	Benzoate degradation via CoA ligation	Biodegradation of Xenobiotics	METABOLIC	Potri.001G217700.1	WUAT02003579.1	10.62526074	172048
172338	3.6.1.3	Adenosinetriphosphatase.	ATP + H(2)O = ADP + phosphate.	\N	Hemolytic anemia due to deficiency of adenosine triphosphatase; MIM:102800.	Purine metabolism	Nucleotide Metabolism	METABOLIC	Potri.001G250700.1	WUAT02022631.1	10.07020198	172338
172338	3.6.1.3	Adenosinetriphosphatase.	ATP + H(2)O = ADP + phosphate.	\N	Hemolytic anemia due to deficiency of adenosine triphosphatase; MIM:102800.	Purine metabolism	Nucleotide Metabolism	METABOLIC	Potri.001G250700.1	WUAT02018336.1	5.423409641	172338
173877	2.7.7.8	Polyribonucleotide nucleotidyltransferase.	{RNA}(N+1) + phosphate = {RNA}(N) + a nucleoside diphosphate.	\N	\N	Pyrimidine metabolism	Nucleotide Metabolism	METABOLIC	Potri.001G347900.2	WUAT02015012.1	8.288687869	173877
173877	2.7.7.8	Polyribonucleotide nucleotidyltransferase.	{RNA}(N+1) + phosphate = {RNA}(N) + a nucleoside diphosphate.	\N	\N	Purine metabolism	Nucleotide Metabolism	METABOLIC	Potri.001G347900.2	WUAT02015012.1	8.288687869	173877
174089	2.7.7.6	DNA-directed RNA polymerase.	N nucleoside triphosphate = N diphosphate + {RNA}(N).	\N	\N	Purine metabolism	Nucleotide Metabolism	METABOLIC	Potri.001G341900.1	WUAT02012522.1	9.288249273	174089
174089	2.7.7.6	DNA-directed RNA polymerase.	N nucleoside triphosphate = N diphosphate + {RNA}(N).	\N	\N	Pyrimidine metabolism	Nucleotide Metabolism	METABOLIC	Potri.001G341900.1	WUAT02012522.1	9.288249273	174089
174089	2.7.7.6	DNA-directed RNA polymerase.	N nucleoside triphosphate = N diphosphate + {RNA}(N).	\N	\N	  RNA polymerase	TRANSCRIPTION	REGULATORY	Potri.001G341900.1	WUAT02012522.1	9.288249273	174089
174716	6.2.1.3	Long-chain-fatty-acid--CoA ligase.	ATP + a long-chain carboxylic acid + CoA = AMP + diphosphate + an acyl-CoA.	\N	\N	Fatty acid metabolism	Lipid Metabolism	METABOLIC	Potri.001G321800.2	WUAT02019239.1	9.484234803	174716
175077	2.7.1.37	Protein kinase.	ATP + a protein = ADP + a phosphoprotein.	\N	\N	\N	\N	\N	Potri.001G308600.1	WUAT02004309.1	9.826817742	175077
175325	1.1.1.95	Phosphoglycerate dehydrogenase.	3-phosphoglycerate + NAD(+) = 3-phosphohydroxypyruvate + NADH.	\N	3-phosphoglycerate dehydrogenase deficiency; MIM:601815.	Glycine, serine and threonine metabolism	Amino Acid Metabolism	METABOLIC	Potri.001G300900.1	WUAT02001132.1	10.0055209	175325
175504	3.2.1.21	Beta-glucosidase.	Hydrolysis of terminal, non-reducing beta-D-glucose residues with release of beta-D-glucose.	\N	\N	Cyanoamino acid metabolism	Metabolism of Other Amino Acids	METABOLIC	Potri.001G294700.1	WUAT02010024.1	8.93383468	175504
175504	3.2.1.21	Beta-glucosidase.	Hydrolysis of terminal, non-reducing beta-D-glucose residues with release of beta-D-glucose.	\N	\N	Flavonoids, stilbene and lignin biosynthesis	Biosynthesis of Secondary Metabolites	METABOLIC	Potri.001G294700.1	WUAT02010024.1	8.93383468	175504
175504	3.2.1.21	Beta-glucosidase.	Hydrolysis of terminal, non-reducing beta-D-glucose residues with release of beta-D-glucose.	\N	\N	Starch and sucrose metabolism	Metabolism of Complex Carbohydrates	METABOLIC	Potri.001G294700.1	WUAT02010024.1	8.93383468	175504
