Gene_ID	Level.x	Level.y	Size..aa.	Final.Description	X.1st.BLASTp.hit...if.blank..see.next.column.	X.1st.BLASTp.hit...blank.are.real.orphans..	KO.	Name.KEGG	Annotation	X.GO.Terms	GO.Terms	Enzyme.Code	SignalP	Gene_ID.y	B_T1_Rep1	B_T1_Rep2	B_T1_Rep3	B_T1_Rep4	B_T2_Rep1	B_T2_Rep2	B_T2_Rep3	B_T2_Rep4	protein_ID	transcript_ID
gene_1077	9.02211875442817	-2.9283624589821	534	Pisatin demethylase (CYP5077C1)	Podospora anserina	Ophiostoma piceae	K07436	CYP24A1; cytochrome P450, family 24, subfamily A, polypeptide 1 (vitamin D3 24-hydroxylase) [EC:1.14.13.126]	benzoate 4-monooxygenase cytochrome	2	F:oxidoreductase activity; F:binding	-	N	gene_1082	10	0	0	0	69	7	0	0	1979642	1979896
gene_1080	5.48548785109088	-3.34634449901708	449	Riboflavin transporter MCH5	Talaromyces marneffei	Ophiostoma piceae			mfs monocarboxylate transporter	2	P:transmembrane transport; C:integral to membrane	-	N	gene_1085	0	0	0	2	50	0	0	4	1979645	1979899
gene_1097	5.9112654267277	-2.03811986314485	1 195	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_7046	0	-		N	gene_1102	8	0	0	8	0	0	10	4	1979662	1979916
gene_1152	5.03969160319563	-2.32089802173194	325	Catalase domain containing protein	Grosmannia clavigera	Ophiostoma piceae	K03781	katE, CAT, catB, srpA; catalase [EC:1.11.1.6]	catalase domain containing protein	1	F:peroxidase activity	EC:1.11.1.7	N	gene_1157	4	0	0	6	33	4	0	8	1979717	1979971
gene_1280	1.64500299926108	-2.10097966498172	580	Putative uncharacterized protein	Togninia minima	Ophiostoma piceae	K08994	yneE; putative membrane protein	hypothetical protein THITE_2039728	1	P:mycelium development	-	N	gene_1287	0	0	0	0	6	6	0	0	1979847	1980101
gene_1315	50.9711611154762	-2.7050427038735	267	Dehydrogenases with different specificities	Cladophialophora psammophila	Ophiostoma piceae	K00069	HPGD; 15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141]	short-chain dehydrogenase reductase sdr	4	P:oxidation-reduction process; F:oxidoreductase activity; P:metabolic process; F:nucleotide binding		N	gene_1322	4	6	38	6	18	106	48	26	1979882	1980136
gene_1383	7.27434714549302	-2.20916348144755	99	Biotrophy-associated secreted protein 2 Uncharacterized protein	Magnaporthe oryzae	Ophiostoma piceae			biotrophy-associated secreted protein 2	3	F:molecular_function; P:biological_process; C:cellular_component		Y	gene_1391	3	0	2	15	10	11	0	64	1979951	1980205
gene_1471	15.4888292315666	-2.61716299178781	371	Catechol 1,2-dioxygenase (1,2-CTD)	Fusarium verticillioides	Ophiostoma piceae			intradiol ring-cleavage dioxygenase-like protein	4	F:ferric iron binding; P:cellular aromatic compound metabolic process; F:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen; P:oxidation-reduction process	EC:1.13.11.0	Y	gene_1477	20	0	0	12	43	4	0	161	1980037	1980291
gene_1474	31.6828451952358	-2.12762043754292	490	N-sulphoglucosamine sulphohydrolase	Thielavia terrestris	Ophiostoma piceae	K01565	SGSH; N-sulfoglucosamine sulfohydrolase [EC:3.10.1.1]	n-sulfoglucosamine sulfohydrolase	2	F:sulfuric ester hydrolase activity; P:metabolic process	EC:3.1.6.0	N	gene_1480	26	0	10	75	12	6	46	29	1980040	1980294
gene_1491	7.85387912836215	-3.34375135647161	627	Tripeptidyl-peptidase sed4 (Sedolisin-D)	Grosmannia clavigera	Ophiostoma piceae			tripeptidyl peptidase a	2	F:serine-type endopeptidase activity; P:proteolysis	EC:3.4.21.0	Y	gene_1497	2	0	0	4	0	9	12	4	1980057	1980311
gene_1571	1.9898460376562	-2.316056534431	220	Putative uncharacterized protein	 	Ophiostoma piceae				0	-		N	gene_1579	0	0	0	0	4	8	0	4	1980139	1980393
gene_1634	6.11260631847251	-2.24174792943773	214	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex assembly factor 3	Colletotrichum orbiculare	Ophiostoma piceae	K09008	K09008; hypothetical protein	duf498 domain protein	0	-		N	gene_1645	5	0	2	6	0	17	5	1	1980205	1980459
gene_1723	9.73937042966763	-2.05483231737172	460	DUF895 domain protein membrane protein	Grosmannia clavigera	Ophiostoma piceae			duf895 domain protein membrane protein	2	C:integral to membrane; P:transmembrane transport	-	N	gene_1732	19	0	0	8	20	10	4	46	1980292	1980546
gene_1871	3.57444106579711	-2.35406943540872	226	O-methyltransferase, putative	Aspergillus oryzae	Ophiostoma piceae			o-	2	F:O-methyltransferase activity; P:methylation	-	N	gene_1883	0	0	2	2	6	2	4	8	1980443	1980697
gene_1875	7.5611653874041	-2.14590008841172	217	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_7276	3	F:molecular_function; P:biological_process; C:cellular_component		N	gene_1887	4	0	2	16	34	8	0	30	1980447	1980701
gene_1970	17.4613719829907	-2.35100051816694	611	Putative uncharacterized protein	Togninia minima	Ophiostoma piceae			hypothetical protein CMQ_2630	0	-		N	gene_1983	16	0	4	28	71	22	0	72	1980543	1980797
