Gene_ID	Level	logFC	Size..aa.	Final.Description	X.1st.BLASTp.hit...if.blank..see.next.column.	X.1st.BLASTp.hit...blank.are.real.orphans..	KO.	Name.KEGG	Annotation	X.GO.Terms	GO.Terms	Enzyme.Code	SignalP	E_T1_Rep1	E_T1_Rep2	E_T1_Rep3	E_T1_Rep4	E_T2_Rep1	E_T2_Rep2	E_T2_Rep3	E_T2_Rep4
gene_1077	10.3919967997051	-2.76032742364677	534	Pisatin demethylase (CYP5077C1)	Podospora anserina	Ophiostoma piceae	K07436	CYP24A1; cytochrome P450, family 24, subfamily A, polypeptide 1 (vitamin D3 24-hydroxylase) [EC:1.14.13.126]	benzoate 4-monooxygenase cytochrome	2	F:oxidoreductase activity; F:binding	-	N	6	4	4	0	2	0	60	34
gene_1080	9.85614659765999	-4.37241538762313	449	Riboflavin transporter MCH5	Talaromyces marneffei	Ophiostoma piceae			mfs monocarboxylate transporter	2	P:transmembrane transport; C:integral to membrane	-	N	0	0	0	0	10	0	60	29
gene_1271	24.00117547198	-2.11719099436758	300	Helix-loop-helix DNA-binding domain containing protein	Pestalotiopsis fici	Ophiostoma piceae			helix-loop-helix dna-binding domain containing protein	2	F:protein dimerization activity; F:DNA binding		N	9	20	34	2	99	3	39	18
gene_1307	30.7542255669316	-2.39889504435893	505	Major facilitator superfamily transporter sugar	Grosmannia clavigera	Ophiostoma piceae			sugar transporter	4	F:substrate-specific transmembrane transporter activity; C:integral to membrane; P:transmembrane transport; P:carbohydrate transport	-	N	5	56	14	0	2	0	270	10
gene_1368	4.44069281623421	-2.58138144791065	363	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_2713	3	F:sequence-specific DNA binding transcription factor activity; F:sequence-specific DNA binding; P:regulation of transcription, DNA-dependent	-	N	2	0	2	0	4	4	4	2
gene_1499	7.25887650813205	-2.02747191943684	619	FAD binding domain protein	Stachybotrys chartarum	Ophiostoma piceae			fad binding domain protein	0	-		N	0	4	4	4	2	4	14	14
gene_1506	5.85658304109008	-3.35183058257763	197	Putative uncharacterized protein	Thielavia terrestris	Thielavia terrestris			chitin binding protein	1	C:viral capsid	-	Y	0	0	2	0	0	0	32	26
gene_1538	174.651865019058	-5.24184399798803	532	Carboxylic acid transporter protein homolog	Grosmannia clavigera	Ophiostoma piceae	K08178	JEN; MFS transporter, SHS family, lactate transporter	sugar transporter	4	P:transmembrane transport; P:carbohydrate transport; C:integral to membrane; F:transmembrane transporter activity	-	N	8	4	32	8	38	168	263	110
gene_1552	11.7740739768935	-3.45608631437261	733	Beta-glucosidase L (Cellobiase L/Gentiobiase L)	Pestalotiopsis fici	Ophiostoma piceae	K05349	bglX; beta-glucosidase [EC:3.2.1.21]	glycoside hydrolase family 3 protein	2	P:carbohydrate metabolic process; F:beta-glucosidase activity	EC:3.2.1.21	Y	0	2	8	0	4	0	30	74
gene_1583	5.19390120884708	-2.55830719493864	838	Regulatory protein GAL4	Grosmannia clavigera	Ophiostoma piceae			nitrate assimilation regulatory protein nira	9	P:regulation of transcription, DNA-dependent; P:transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; C:nucleus; F:sequence-specific DNA binding; F:protein heterodimerization activity; C:intracellular		N	2	2	2	0	14	0	22	10
gene_1691	2.21209651444556	-2.43940852007986	490	Uncharacterized FAD-linked oxidoreductase ygaK	Sordaria macrospora	Sporothrix schenckii			glucooligosaccharide oxidase	1	F:oxidoreductase activity, acting on CH-OH group of donors	-	Y	0	0	0	0	0	0	10	12
gene_1743	9.13106979629433	-2.42093560582989	390	4-O-methyl-glucuronoyl methylesterase	Togninia minima	Sporothrix schenckii			carbohydrate esterase family 15 protein	1	F:hydrolase activity	-	Y	2	8	8	0	6	0	42	32
gene_1813	62.3907135999814	-2.67913511802381	431	Chitinase 1	Colletotrichum sublineola	Ophiostoma piceae	K01183	E3.2.1.14; chitinase [EC:3.2.1.14]	glycoside hydrolase family 18 protein	2	F:hydrolase activity, hydrolyzing O-glycosyl compounds; P:metabolic process	EC:3.2.1.0	Y	10	50	40	12	63	36	109	82
gene_1830	1.73156070505981	-2.15805305270114	256	Putative uncharacterized protein	Colletotrichum gloeosporioides	Ophiostoma piceae			hydantoin racemase	2	P:nitrogen compound metabolic process; C:cellular_component		N	0	0	0	0	0	2	2	0
gene_1887	12.0337998519897	-3.85336386911887	721	Sterol uptake control protein 2 (Mannoprotein regulation by oxygen protein 4)	Nectria haematococca	Nectria haematococca			c6 finger domain protein	8	P:regulation of transcription, DNA-dependent; P:transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; C:nucleus; F:sequence-specific DNA binding transcription factor activity; F:DNA binding		N	0	2	4	0	6	8	46	5
gene_1966	14.5009920468267	-2.04839454977723	558	Amino acid permease	Grosmannia clavigera	Ophiostoma piceae	K16261	YAT; yeast amino acid transporter	amino acid permease	3	C:integral to membrane; F:amino acid transmembrane transporter activity; P:amino acid transmembrane transport	-	N	22	2	10	0	6	8	34	18
gene_2015	5.57670934465992	-2.78155400155906	279	Methyltransferase type 11	Grosmannia clavigera	Ophiostoma piceae			methyltransferase type 11	2	P:methylation; F:methyltransferase activity	EC:2.1.1.0	N	0	0	6	0	2	4	2	16
gene_208	1.81270320003395	-2.20958013008396	454	Chitin deacetylase 1	Neurospora tetrasperma	Sporothrix schenckii	K01452	E3.5.1.41; chitin deacetylase [EC:3.5.1.41]	chitin binding protein	1	F:catalytic activity	-	Y	0	0	0	0	0	0	8	10
gene_2084	17.0679960967469	-2.72726406091131	594	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_2962	3	F:molecular_function; P:biological_process; C:cellular_component		N	4	8	10	3	4	16	2	20
gene_2185	12.5454095123596	-2.6965573366582	296	Short chain dehydrogenase reductase	Grosmannia clavigera	Ophiostoma piceae			short chain dehydrogenase reductase	1	P:metabolic process	-	N	13	0	4	0	2	10	12	20
gene_2260	4.84310595658072	-2.70083256377354	862	Uncharacterized transcriptional regulatory protein C139.03	Colletotrichum sublineola	Ophiostoma piceae			binuclear zinc transcription factor	2	F:metal ion binding; P:transcription, DNA-dependent	-	N	2	0	2	0	7	0	10	26
gene_242	9.94516009744585	-2.08521548493031	549	Bud site selection protein 22	Grosmannia clavigera	Ophiostoma piceae			cellular morphogenesis protein	3	F:molecular_function; P:biological_process; C:cellular_component		N	8	6	10	0	8	0	9	61
gene_2547	3.26181178320435	-2.42960089254503	576	Phosphate/H+ symporter	Grosmannia clavigera	Ophiostoma piceae	K08176	PHO84; MFS transporter, PHS family, inorganic phosphate transporter	phosphate h+ symporter	4	P:phosphate ion transport; C:integral to membrane; F:inorganic phosphate transmembrane transporter activity; P:transmembrane transport	-	N	2	0	0	0	0	4	0	0
gene_2632	6.83618553789933	-2.76946327848253	360	Mitochondrial carrier protein	Grosmannia clavigera	Ophiostoma piceae	K15118	SLC25A38; solute carrier family 25, member 38	solute carrier family 25 member 38	2	C:membrane; C:mitochondrion	-	N	2	0	6	0	1	4	14	17
gene_2667	3.64059540851799	-2.19535020973465	313	Short chain dehydrogenase reductase	Grosmannia clavigera	Ophiostoma piceae			short chain dehydrogenase	3	F:oxidoreductase activity; P:oxidation-reduction process; F:nucleotide binding	-	N	0	0	0	2	10	2	6	0
gene_2764	22.954722769014	-2.68270972124656	232	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_2358	0	-		N	4	14	10	6	102	0	32	46
gene_2789	11.842648127274	-2.1308871547121	984	Transcription factor	Grosmannia clavigera	Ophiostoma piceae			transcription factor	2	P:transcription, DNA-dependent; F:binding	-	N	8	0	4	6	16	6	18	16
gene_2946	54.3631941937842	-2.27437148914534	230	Probable endo-beta-1,4-glucanase D (Endoglucanase D/Cellulase D)	Togninia minima	Sporothrix schenckii			glycoside hydrolase family 61 protein	4	F:molecular_function; P:biological_process; C:cellular_component; F:hydrolase activity		Y	6	132	10	0	6	0	236	213
gene_3033	4.91317160542798	-2.29378921691597	687	Probable U3 small nucleolar RNA-associated protein 18 (U3 snoRNA-associated protein 18)	Grosmannia clavigera	Ophiostoma piceae	K14553	UTP18; U3 small nucleolar RNA-associated protein 18	small nucleolar ribonucleoprotein complex	2	F:nucleic acid binding; C:ribonucleoprotein complex		N	6	0	0	0	6	0	26	12
gene_3198	5.91147126284549	-2.6554534183432	269	Putative uncharacterized protein	Colletotrichum gloeosporioides	Ophiostoma piceae			hypothetical protein GLRG_09234	0	-		Y	0	0	8	0	2	0	24	28
gene_3312	9.49653775169631	-2.05127219555039	390	Mitochondrial carrier protein rim2	Grosmannia clavigera	Ophiostoma piceae	K15116	SLC25A33_36, RIM2; solute carrier family 25, member 33/36	mitochondrial carrier protein rim2	2	P:transmembrane transport; C:integral to membrane	-	N	6	8	10	0	2	6	10	20
gene_3378	8.47378446810691	-2.42080112890712	390	NADH dehydrogenase (ubiquinone) complex I, assembly factor 6	Grosmannia clavigera	Ophiostoma piceae			squalene phytoene synthase	1	P:biosynthetic process	-	N	2	10	4	0	8	6	11	8
gene_3406	47.3306705983662	-4.63246188418932	257	Glycoside hydrolase family 61 protein	Scedosporium apiospermum	Ophiostoma piceae			glycoside hydrolase family 61 protein	1	F:hydrolase activity	-	Y	4	8	10	0	26	0	174	249
gene_3440	19.0719723441803	-3.05314366339135	407	Glycoside hydrolase family 18 protein	Pestalotiopsis fici	Pestalotiopsis fici			glycoside hydrolase family 18 protein	5	F:hydrolase activity, hydrolyzing O-glycosyl compounds; F:hydrolase activity; P:carbohydrate metabolic process; F:cation binding; F:catalytic activity		Y	0	0	0	10	11	14	36	18
gene_3539	4.55987800841537	-2.16846500195118	299	Putative uncharacterized protein	Thielavia terrestris	Ophiostoma piceae			dead deah box dna helicase	7	F:helicase activity; F:nucleic acid binding; F:ATP binding; F:hydrolase activity; F:nucleotide binding; F:nucleoside-triphosphatase activity; F:ATP-dependent helicase activity		N	0	3	0	2	4	0	6	28
gene_3630	4.34613879277326	-2.07166054137141	385	Glycoside hydrolase family 5 protein	Thielavia terrestris	Ophiostoma piceae			endoglucanase 1	3	F:cellulase activity; F:cation binding; P:cellulose catabolic process	EC:3.2.1.4	Y	2	6	0	0	3	0	20	15
gene_3666	3.87118567294144	-2.2743245026769	375	Alpha-ketoglutarate-dependent sulfonate dioxygenase	Colletotrichum gloeosporioides	Ophiostoma piceae			alpha-ketoglutarate-dependent sulfonate dioxygenase	2	P:oxidation-reduction process; F:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	EC:1.13.11.0	N	4	0	0	0	4	2	0	14
gene_3703	14.662845861465	-4.62095472521955	241	Putative uncharacterized protein	Togninia minima	Ophiostoma piceae			hypothetical protein THITE_2142691	0	-		Y	0	0	2	0	4	0	120	28
gene_3811	28.3213628971881	-2.90261505192294	247	Glycoside hydrolase family 61 protein	Togninia minima	Ophiostoma piceae			glycoside hydrolase family 61 protein	2	F:hydrolase activity; P:mycelium development	-	Y	11	21	8	2	16	0	78	151
gene_3879	9.85870759128169	-3.29781630377062	401	Gibberellin 3-beta hydroxylase, putative	Aspergillus oryzae	Ophiostoma piceae			gibberellin 3-beta	3	P:oxidation-reduction process; F:iron ion binding; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors	EC:1.14.11.0	N	2	0	6	0	39	6	0	0
gene_393	2.18169796916036	-2.423146760385	858	GPI anchored peptidase m48	Grosmannia clavigera	Ophiostoma piceae			glycoside hydrolase family 16 protein	9	F:hydrolase activity, hydrolyzing O-glycosyl compounds; P:proteolysis; P:carbohydrate metabolic process; C:membrane; F:metalloendopeptidase activity; F:hydrolase activity; F:molecular_function; P:biological_process; C:cellular_component		Y	0	0	0	0	0	0	5	16
gene_3933	2.6552406645364	-2.16296331145278	590	Ferric reductase transmembrane component 5	Gaeumannomyces graminis	Ophiostoma piceae			ferric reductase like transmembrane component	4	P:oxidation-reduction process; F:oxidoreductase activity; C:integral to membrane; C:membrane		N	2	0	0	0	0	0	20	6
gene_3980	6.0846971115546	-2.68208394909064	388	Bacilysin biosynthesis oxidoreductase	Grosmannia clavigera	Ophiostoma piceae	K00069	HPGD; 15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141]	bacilysin biosynthesis oxidoreductase	4	P:oxidation-reduction process; F:oxidoreductase activity; P:metabolic process; F:nucleotide binding		N	0	2	6	0	2	2	16	22
gene_4129	11.4692383732423	-2.79768707618411	299	Putative uncharacterized protein	Neurospora tetrasperma	Neurospora tetrasperma			hypothetical protein NEUTE1DRAFT_48737	0	-		N	10	2	2	0	14	8	4	20
gene_4285	2.10008744910799	-2.37856014643557	662	Acyl-CoA synthetases/AMP-acid ligases II	Colletotrichum gloeosporioides	Ophiostoma piceae			acyl- synthetases amp-acid ligases ii	1	F:catalytic activity	-	N	0	0	0	0	0	2	6	0
gene_4311	26.6016744340103	-2.04453712100096	325	Glycoside hydrolase family 61 protein	Colletotrichum fioriniae	Ophiostoma piceae			glycoside hydrolase family 61 protein	1	F:hydrolase activity	-	Y	4	60	17	0	2	0	114	102
gene_4445	5.46047602103505	-2.75204867638507	265	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		N	0	0	6	0	4	6	0	0
gene_4500	6.53023833734357	-2.70852285863677	406	Zinc finger protein 143 (Selenocysteine tRNA gene transcription-activating factor)	Myceliophthora thermophila	Ophiostoma piceae	K06235	ZIC2; zinc finger protein ZIC 2	related to epithelial zinc-finger ezf protein	3	F:zinc ion binding; F:nucleic acid binding; C:intracellular		N	0	0	3	2	6	4	24	0
gene_4506	18.6879172387547	-4.49679647908588	299	Putative uncharacterized protein	Pestalotiopsis fici	Ophiostoma piceae			rta1 like partial	2	P:response to stress; C:integral to membrane		N	0	0	6	0	4	20	12	12
gene_4591	4.23226578751375	-2.03311048461696	259	Putative uncharacterized protein	Cladophialophora yegresii	Ophiostoma piceae			hypothetical protein HMPREF1120_08447	0	-		N	2	6	0	0	2	4	4	0
gene_4741	2.57639900020645	-2.62124262888114	349	NADP-binding protein	Scedosporium apiospermum	Sporothrix schenckii			nad-binding rossmann fold oxidoreductase family protein	4	P:oxidation-reduction process; F:oxidoreductase activity; F:nucleotide binding; P:metabolic process		N	0	0	0	0	2	0	16	8
gene_4898	14.2108004116298	-2.81870114532478	428	Sterol regulatory element-binding protein 1 (Processed sterol regulatory element-binding protein 1)	Gaeumannomyces graminis	Ophiostoma piceae			transcription factor bhlh	1	F:protein dimerization activity		N	6	0	4	4	55	0	53	12
gene_5103	3.80375150564625	-2.36943226564875	295	Triosephosphate isomerase	Grosmannia clavigera	Ophiostoma piceae			related to triose-phosphate isomerase	1	F:catalytic activity	-	N	2	0	2	0	0	4	0	4
gene_5157	11.1906191982693	-3.01135875633169	276	Putative uncharacterized protein	Gaeumannomyces graminis	Sporothrix schenckii			hypothetical protein GGTG_11509	0	-		N	6	2	4	0	11	8	12	16
gene_5230	10.4753158922229	-2.77711155188929	76	Putative uncharacterized protein	Togninia minima	Ophiostoma piceae			hypothetical protein CMQ_4680	0	-		N	0	4	4	3	27	0	55	11
