Protein_ID	subject_id	Gene_ID	exprLevel_log	transcript_ID	goTermId	goName	gotermType	goAcc
171564	Potri.001G182300.2	WUAT02004297.1	2.370731342	171564	4072	microtubule-based movement	biological_process	GO:0007018
171564	Potri.001G182300.2	WUAT02004297.1	2.370731342	171564	2982	microtubule associated complex	cellular_component	GO:0005875
171564	Potri.001G182300.2	WUAT02004297.1	2.370731342	171564	1124	microtubule motor activity	molecular_function	GO:0003777
171564	Potri.001G182300.2	WUAT02004297.1	2.370731342	171564	2653	ATP binding	molecular_function	GO:0005524
171564	Potri.001G182300.2	WUAT02016986.1	5.493213944	171564	4072	microtubule-based movement	biological_process	GO:0007018
171564	Potri.001G182300.2	WUAT02016986.1	5.493213944	171564	2982	microtubule associated complex	cellular_component	GO:0005875
171564	Potri.001G182300.2	WUAT02016986.1	5.493213944	171564	1124	microtubule motor activity	molecular_function	GO:0003777
171564	Potri.001G182300.2	WUAT02016986.1	5.493213944	171564	2653	ATP binding	molecular_function	GO:0005524
171787	Potri.001G189700.5	WUAT02021037.1	5.157699641	171787	3208	malate metabolic process	biological_process	GO:0006108
171787	Potri.001G189700.5	WUAT02021037.1	5.157699641	171787	1758	malic enzyme activity	molecular_function	GO:0004470
171787	Potri.001G189700.5	WUAT02021037.1	5.157699641	171787	1760	malate dehydrogenase (decarboxylating) (NADP+) activity	molecular_function	GO:0004473
172318	Potri.001G251100.2	WUAT02004927.1	6.089712744	172318	157	nucleotide binding	molecular_function	GO:0000166
172318	Potri.001G251100.2	WUAT02004927.1	6.089712744	172318	8614	ATPase activity	molecular_function	GO:0016887
172318	Potri.001G251100.2	WUAT02004927.1	6.089712744	172318	8812	nucleoside-triphosphatase activity	molecular_function	GO:0017111
172318	Potri.001G251100.2	WUAT02004927.1	6.089712744	172318	2653	ATP binding	molecular_function	GO:0005524
172338	Potri.001G250700.1	WUAT02022631.1	10.17757946	172338	1338	DNA helicase activity	molecular_function	GO:0003678
172338	Potri.001G250700.1	WUAT02022631.1	10.17757946	172338	7435	DNA translocase activity	molecular_function	GO:0015616
172338	Potri.001G250700.1	WUAT02022631.1	10.17757946	172338	1055	nucleic acid binding	molecular_function	GO:0003676
172338	Potri.001G250700.1	WUAT02022631.1	10.17757946	172338	13181	ATPase-coupled ion transmembrane transporter activity	molecular_function	GO:0042625
172338	Potri.001G250700.1	WUAT02022631.1	10.17757946	172338	4834	RNA-dependent ATPase activity	molecular_function	GO:0008186
172338	Potri.001G250700.1	WUAT02022631.1	10.17757946	172338	2653	ATP binding	molecular_function	GO:0005524
172338	Potri.001G250700.1	WUAT02022631.1	10.17757946	172338	1339	RNA helicase activity	molecular_function	GO:0003724
172338	Potri.001G250700.1	WUAT02022631.1	10.17757946	172338	13182	ATPase-coupled transmembrane transporter activity	molecular_function	GO:0042626
172338	Potri.001G250700.1	WUAT02022631.1	10.17757946	172338	8816	single-stranded DNA helicase activity	molecular_function	GO:0017116
172338	Potri.001G250700.1	WUAT02022631.1	10.17757946	172338	4751	DNA-dependent ATPase activity	molecular_function	GO:0008094
172338	Potri.001G250700.1	WUAT02022631.1	10.17757946	172338	7284	ABC-type protein transporter activity	molecular_function	GO:0015462
172338	Potri.001G250700.1	WUAT02022631.1	10.17757946	172338	8614	ATPase activity	molecular_function	GO:0016887
172338	Potri.001G250700.1	WUAT02022631.1	10.17757946	172338	13180	obsolete ATPase activity, uncoupled	molecular_function	GO:0042624
172338	Potri.001G250700.1	WUAT02022631.1	10.17757946	172338	4688	helicase activity	molecular_function	GO:0004386
172338	Potri.001G250700.1	WUAT02018336.1	5.708288991	172338	1338	DNA helicase activity	molecular_function	GO:0003678
172338	Potri.001G250700.1	WUAT02018336.1	5.708288991	172338	7435	DNA translocase activity	molecular_function	GO:0015616
172338	Potri.001G250700.1	WUAT02018336.1	5.708288991	172338	1055	nucleic acid binding	molecular_function	GO:0003676
172338	Potri.001G250700.1	WUAT02018336.1	5.708288991	172338	13181	ATPase-coupled ion transmembrane transporter activity	molecular_function	GO:0042625
172338	Potri.001G250700.1	WUAT02018336.1	5.708288991	172338	4834	RNA-dependent ATPase activity	molecular_function	GO:0008186
172338	Potri.001G250700.1	WUAT02018336.1	5.708288991	172338	2653	ATP binding	molecular_function	GO:0005524
172338	Potri.001G250700.1	WUAT02018336.1	5.708288991	172338	1339	RNA helicase activity	molecular_function	GO:0003724
172338	Potri.001G250700.1	WUAT02018336.1	5.708288991	172338	13182	ATPase-coupled transmembrane transporter activity	molecular_function	GO:0042626
172338	Potri.001G250700.1	WUAT02018336.1	5.708288991	172338	8816	single-stranded DNA helicase activity	molecular_function	GO:0017116
172338	Potri.001G250700.1	WUAT02018336.1	5.708288991	172338	4751	DNA-dependent ATPase activity	molecular_function	GO:0008094
172338	Potri.001G250700.1	WUAT02018336.1	5.708288991	172338	7284	ABC-type protein transporter activity	molecular_function	GO:0015462
172338	Potri.001G250700.1	WUAT02018336.1	5.708288991	172338	8614	ATPase activity	molecular_function	GO:0016887
172338	Potri.001G250700.1	WUAT02018336.1	5.708288991	172338	13180	obsolete ATPase activity, uncoupled	molecular_function	GO:0042624
172338	Potri.001G250700.1	WUAT02018336.1	5.708288991	172338	4688	helicase activity	molecular_function	GO:0004386
172849	Potri.001G234200.1	WUAT02006755.1	9.964453771	172849	1939	protein kinase activity	molecular_function	GO:0004672
172849	Potri.001G234200.1	WUAT02006755.1	9.964453771	172849	1979	protein tyrosine kinase activity	molecular_function	GO:0004713
172849	Potri.001G234200.1	WUAT02006755.1	9.964453771	172849	3551	protein phosphorylation	biological_process	GO:0006468
172849	Potri.001G234200.1	WUAT02006755.1	9.964453771	172849	2653	ATP binding	molecular_function	GO:0005524
172849	Potri.001G234200.1	WUAT02006755.1	9.964453771	172849	1941	protein serine/threonine kinase activity	molecular_function	GO:0004674
173877	Potri.001G347900.2	WUAT02015012.1	8.346387993	173877	166	3-5-exoribonuclease activity	molecular_function	GO:0000175
173877	Potri.001G347900.2	WUAT02015012.1	8.346387993	173877	1923	polyribonucleotide nucleotidyltransferase activity	molecular_function	GO:0004654
173877	Potri.001G347900.2	WUAT02015012.1	8.346387993	173877	1096	RNA binding	molecular_function	GO:0003723
173877	Potri.001G347900.2	WUAT02015012.1	8.346387993	173877	3488	RNA processing	biological_process	GO:0006396
173877	Potri.001G347900.2	WUAT02015012.1	8.346387993	173877	1055	nucleic acid binding	molecular_function	GO:0003676
174089	Potri.001G341900.1	WUAT02012522.1	9.406414762	174089	1243	obsolete DNA-directed RNA polymerase I activity	molecular_function	GO:0003900
174089	Potri.001G341900.1	WUAT02012522.1	9.406414762	174089	3444	transcription, DNA-templated	biological_process	GO:0006351
174089	Potri.001G341900.1	WUAT02012522.1	9.406414762	174089	1242	DNA-directed 5-3 RNA polymerase activity	molecular_function	GO:0003899
174089	Potri.001G341900.1	WUAT02012522.1	9.406414762	174089	2757	nucleus	cellular_component	GO:0005634
174089	Potri.001G341900.1	WUAT02012522.1	9.406414762	174089	1245	obsolete DNA-directed RNA polymerase III activity	molecular_function	GO:0003902
174089	Potri.001G341900.1	WUAT02012522.1	9.406414762	174089	1244	obsolete DNA-directed RNA polymerase II activity	molecular_function	GO:0003901
174089	Potri.001G341900.1	WUAT02012522.1	9.406414762	174089	1056	DNA binding	molecular_function	GO:0003677
174507	Potri.001G329400.1	WUAT02019895.1	10.11371013	174507	7273	P-P-bond-hydrolysis-driven protein transmembrane transporter activity	molecular_function	GO:0015450
174507	Potri.001G329400.1	WUAT02019895.1	10.11371013	174507	6867	protein transport	biological_process	GO:0015031
174507	Potri.001G329400.1	WUAT02019895.1	10.11371013	174507	3946	intracellular protein transport	biological_process	GO:0006886
174507	Potri.001G329400.1	WUAT02019895.1	10.11371013	174507	3683	protein targeting	biological_process	GO:0006605
174507	Potri.001G329400.1	WUAT02019895.1	10.11371013	174507	7826	membrane	cellular_component	GO:0016020
174716	Potri.001G321800.2	WUAT02019239.1	9.675527025	174716	1756	long-chain fatty acid-CoA ligase activity	molecular_function	GO:0004467
174716	Potri.001G321800.2	WUAT02019239.1	9.675527025	174716	1170	catalytic activity	molecular_function	GO:0003824
174716	Potri.001G321800.2	WUAT02019239.1	9.675527025	174716	4804	metabolic process	biological_process	GO:0008152
175077	Potri.001G308600.1	WUAT02004309.1	9.723036881	175077	3551	protein phosphorylation	biological_process	GO:0006468
175077	Potri.001G308600.1	WUAT02004309.1	9.723036881	175077	1948	obsolete protein kinase CK2 activity	molecular_function	GO:0004682
175077	Potri.001G308600.1	WUAT02004309.1	9.723036881	175077	1957	cAMP-dependent protein kinase activity	molecular_function	GO:0004691
175077	Potri.001G308600.1	WUAT02004309.1	9.723036881	175077	3055	cAMP-dependent protein kinase complex	cellular_component	GO:0005952
175077	Potri.001G308600.1	WUAT02004309.1	9.723036881	175077	1941	protein serine/threonine kinase activity	molecular_function	GO:0004674
