subject_id	Gene_ID	explevel_log	logFC	Protein_ID	transcript_ID
Potri.006G275000.1	WUAT02023161.1	1.963238106	-2.098079943	828261	828261
Potri.010G245100.5	WUAT02005335.1	8.550861383	-2.283947023	822682	822682
Potri.010G027100.2	WUAT02012294.1	2.863165468	-4.575336222	821757	821757
Potri.012G039300.1	WUAT02016170.1	5.86194567	-3.319655138	806207	806207
Potri.008G111200.1	WUAT02014544.1	1.60393452	-2.27699659	720837	720837
Potri.001G019400.1	WUAT02002758.1	4.280718423	-2.231323411	639874	639874
Potri.016G037400.1	WUAT02020775.1	4.310098282	-2.364748189	576176	576176
Potri.016G037400.1	WUAT02020775.1	4.310098282	-2.364748189	576176	576176
Potri.012G058400.2	WUAT02008057.1	5.818724727	-3.258233752	569842	569842
Potri.010G052500.1	WUAT02021878.1	3.478644579	-4.447607387	565949	565949
Potri.005G017600.1	WUAT02016563.1	3.99360879	-6.192159914	268780	268780
Potri.005G195600.1	WUAT02001898.1	8.295703182	-2.365896425	205001	205001
Potri.004G013700.3	WUAT02018248.1	6.869622696	-2.767646048	196517	196517
