subject_id	Gene_ID	exprLevel_log	LogFC	Protein_ID	transcript_ID
Potri.010G136900.1	WUAT02016110.1	7.049661302	2.048759615	225793	225793
Potri.015G033600.1	WUAT02015182.1	4.669512795	2.459864769	265842	265842
Potri.004G218200.4	WUAT02003106.1	12.19886331	2.580850277	274070	274070
Potri.014G027100.1	WUAT02014947.1	6.647232921	2.208982555	287051	287051
Potri.003G125400.1	WUAT02015395.1	10.84127233	2.250127757	413486	424187
Potri.008G031200.4	WUAT02019229.1	9.85182402	2.602983956	420069	430770
Potri.001G052300.1	WUAT02018897.1	11.11045601	2.333782861	547984	547984
Potri.006G047200.1	WUAT02009413.1	8.952489553	2.189982917	560466	560466
Potri.010G052500.1	WUAT02018292.1	1.898325706	2.375707438	565949	565949
Potri.010G052500.1	WUAT02018674.1	7.039619633	2.031682668	565949	565949
Potri.010G052500.1	WUAT02021904.1	7.802251069	2.324629866	565949	565949
Potri.006G056600.1	WUAT02012655.1	9.831702561	2.169872672	583604	583604
Potri.003G189100.1	WUAT02018959.1	9.902907214	2.070211241	593556	593556
Potri.001G019400.1	WUAT02002758.1	4.243036868	3.008165607	639874	639874
Potri.009G132100.1	WUAT02022099.1	8.583742098	2.493850036	649249	649249
Potri.001G289500.1	WUAT02019580.1	10.78301257	2.020346477	707456	707456
Potri.019G092300.1	WUAT02004464.1	8.423428011	2.496913585	738919	738919
Potri.004G086100.1	WUAT02002755.1	10.51752536	2.047923874	759085	759085
Potri.012G105500.1	WUAT02001530.1	5.457772689	3.439644524	773254	773254
Potri.015G128100.1	WUAT02022777.1	7.670954421	2.003620314	776563	776563
Potri.012G039300.1	WUAT02008419.1	2.917060729	2.127001222	806207	806207
Potri.012G039300.1	WUAT02016170.1	4.793506431	2.6511282	806207	806207
Potri.002G008800.1	WUAT02008267.1	6.577525522	2.466061908	815956	815956
Potri.015G069200.2	WUAT02013950.1	9.476513172	2.20171769	824634	824634
Potri.017G083000.1	WUAT02009087.1	9.552384932	2.060315402	825556	825556
Potri.018G068400.1	WUAT02000393.1	7.821539434	2.300172726	828220	828220
Potri.017G124200.1	WUAT02003894.1	10.56617821	2.050374821	830550	830550
Potri.009G011000.8	WUAT02005179.1	8.934801171	2.664514147	833327	833327
Potri.018G093000.1	WUAT02006404.1	13.00193949	3.110545727	835910	835910
Potri.003G151300.2	WUAT02010905.1	10.51959138	2.158943813	837611	837611
