subject_id	Gene_ID	explevel_log	logFC	Protein_ID	transcript_ID
Potri.009G057800.2	WUAT02017439.1	7.003163683	-2.003880755	202931	202931
Potri.004G233400.2	WUAT02009502.1	5.179546972	-2.190527081	297441	297441
Potri.003G073400.2	WUAT02014080.1	11.22383926	-4.260437572	553835	553835
Potri.003G201200.4	WUAT02022578.1	6.232503589	-2.486247258	555007	555007
Potri.006G102000.3	WUAT02013212.1	9.926151848	-3.289582875	560928	560928
Potri.010G052500.1	WUAT02018707.1	6.648075604	-2.160017518	565949	565949
Potri.018G087600.1	WUAT02012358.1	9.833240231	-2.044131626	578539	578539
Potri.001G019400.1	WUAT02002758.1	4.396326888	-2.40372931	639874	639874
Potri.005G247600.1	WUAT02006818.1	8.868634517	-2.591065783	652170	652170
Potri.007G020100.1	WUAT02007177.1	3.7136276	-2.07041459	655357	655357
Potri.010G097800.1	WUAT02013075.1	9.464757996	-3.032719417	658639	658639
Potri.001G166100.4	WUAT02019069.1	5.306080722	-5.175358388	673211	673211
Potri.007G054200.1	WUAT02001570.1	6.707409068	-2.466162085	711834	711834
Potri.009G159300.1	WUAT02019790.1	2.609602099	-2.645056588	721365	721365
Potri.010G187800.2	WUAT02015207.1	4.089504176	-2.260684275	724446	724446
Potri.013G061200.1	WUAT02009670.1	9.249537866	-2.605102313	730026	730026
Potri.005G052700.1	WUAT02015354.1	2.143113467	-2.621445163	742035	742035
Potri.003G202300.3	WUAT02011066.1	10.57319496	-2.52369603	758112	758112
Potri.008G019800.1	WUAT02011547.1	12.64847889	-4.176449412	765150	765150
Potri.009G141600.1	WUAT02001583.1	9.457039886	-2.344718757	767207	767207
Potri.010G142800.1	WUAT02007590.1	10.24845222	-3.934307288	769807	769807
Potri.011G037000.5	WUAT02004625.1	6.443288015	-2.16173707	771224	771224
Potri.017G029900.1	WUAT02010844.1	5.030156676	-2.075746964	810280	810280
Potri.007G015400.2	WUAT02018819.1	4.529294162	-3.098021502	828859	828859
Potri.005G257500.1	WUAT02007677.1	5.728102079	-4.358857954	831725	831725
Potri.018G107300.1	WUAT02017717.1	9.40443413	-2.710799479	835953	835953
Potri.018G107300.1	WUAT02017717.1	9.40443413	-2.710799479	835953	835953
