Gene_ID	ExprLevel	LogFC	Size..aa.	Final.Description	X.1st.BLASTp.hit...if.blank..see.next.column.	X.1st.BLASTp.hit...blank.are.real.orphans..	KO.	Name.KEGG	Annotation	X.GO.Terms	GO.Terms	Enzyme.Code	SignalP	D_T1_Rep1	D_T1_Rep2	D_T1_Rep3	D_T1_Rep4	D_T2_Rep1	D_T2_Rep2	D_T2_Rep3	D_T2_Rep4
gene_10	0.464108058353201	0.467440140893579	439	Putative uncharacterized protein	Capronia epimyces	Capronia epimyces			duf1479 domain protein	0	-		N	2	0	0	6	2	0	0	0
gene_100	9.38074266787522	1.93708968761282	84	Putative uncharacterized protein	Togninia minima	Ophiostoma piceae			hypothetical protein CH063_11335	3	F:metal ion binding; P:metabolic process; F:oxidoreductase activity	-	N	37	45	22	32	19	4	0	0
gene_1000	12.9758180821839	0.836656759888186	355	Guanine nucleotide-binding protein alpha-3 subunit (GP3-alpha) / Mod-D partial suppressor of vegetative incompatibility	Magnaporthe oryzae	Ophiostoma piceae	K04640	GNA; guanine nucleotide-binding protein subunit alpha, other	guanine nucleotide-binding protein alpha-3 subunit	13	F:signal transducer activity; P:replicative cell aging; F:GTP binding; P:GTP catabolic process; P:ascospore formation; P:adenylate cyclase-activating G-protein coupled receptor signaling pathway; P:sporocarp development involved in sexual reproduction; P:pseudohyphal growth; P:regulation of cell size; P:glucose mediated signaling pathway; F:GTPase activity; C:plasma membrane; C:mitochondrion	-	N	61	41	13	39	47	13	0	0
gene_1001	149.982033518704	-0.901919953911896	892	Glycogen phosphorylase	Grosmannia clavigera	Ophiostoma piceae	K00688	E2.4.1.1, glgP, PYG; starch phosphorylase [EC:2.4.1.1]	glycogen phosphorylase	4	C:cytoplasm; F:glycogen phosphorylase activity; P:glycogen catabolic process; F:pyridoxal phosphate binding	-	N	212	359	186	113	371	149	17	63
gene_1002	15.6868101014729	1.1998644758732	373	Mitogen-activated protein kinase HOG1 (MAP kinase HOG1)	Pestalotiopsis fici	Ophiostoma piceae	K04441	P38; p38 MAP kinase [EC:2.7.11.24]	stress-activated map kinase	7	F:MAP kinase activity; P:protein phosphorylation; P:regulation of transcription, DNA-dependent; F:ATP binding; C:cytoplasm; C:nucleus; P:MAPK cascade	EC:2.7.11.24	N	64	48	18	83	43	6	0	2
gene_1003	19.6232802852749	-0.790960231863105	1 035	Late secretory pathway protein AVL9 (APL2 VPS1 synthetic lethal protein 9)	Grosmannia clavigera	Ophiostoma piceae			cytoplasm protein	0	-		N	17	58	18	36	35	8	4	9
gene_1004	14.0600192385735	0.307382828358238	907	Quinate repressor protein	Grosmannia clavigera	Ophiostoma piceae			quinate repressor	2	F:catalytic activity; F:nucleotide binding	-	N	58	44	18	12	28	24	0	2
gene_1005	2.73214070610374	0.0928157026153718	429	Quinic acid utilization activator	Grosmannia clavigera	Sporothrix schenckii			quinic acid utilization activator	4	F:sequence-specific DNA binding RNA polymerase II transcription factor activity; P:regulation of transcription from RNA polymerase II promoter; C:nucleus; F:zinc ion binding	-	N	16	3	0	8	13	4	0	0
gene_1006	1.30106161840311	1.84884753995818	153	Endoribonuclease l-psp	Grosmannia clavigera	Ophiostoma piceae			endoribonuclease l-psp	3	F:carbon-nitrogen ligase activity, with glutamine as amido-N-donor; P:biological_process; C:cellular_component		N	2	2	0	28	0	0	0	0
gene_1007	3.87220498398854	0.549378071056341	347	DUF395 domain containing protein	Grosmannia clavigera	Ophiostoma piceae			family protein	0	-		N	4	20	0	28	16	4	0	0
