Protein_ID	ecNum	definition	catalyticActivity	cofactors	associatedDiseases	pathway	pathway_class	pathway_type
171426	3.2.1.21	Beta-glucosidase.	Hydrolysis of terminal, non-reducing beta-D-glucose residues with release of beta-D-glucose.	\N	\N	Starch and sucrose metabolism	Metabolism of Complex Carbohydrates	METABOLIC
171426	3.2.1.21	Beta-glucosidase.	Hydrolysis of terminal, non-reducing beta-D-glucose residues with release of beta-D-glucose.	\N	\N	Cyanoamino acid metabolism	Metabolism of Other Amino Acids	METABOLIC
171426	3.2.1.21	Beta-glucosidase.	Hydrolysis of terminal, non-reducing beta-D-glucose residues with release of beta-D-glucose.	\N	\N	Flavonoids, stilbene and lignin biosynthesis	Biosynthesis of Secondary Metabolites	METABOLIC
171447	1.10.3.3	L-ascorbate oxidase.	2 L-ascorbate + O(2) = 2 dehydroascorbate + 2 H(2)O.	Copper.	\N	Ascorbate and aldarate metabolism	Carbohydrate Metabolism	METABOLIC
171466	3.6.3.4	Copper-exporting ATPase.	ATP + H(2)O + Cu(2+)(In) = ADP + phosphate + Cu(2+)(Out).	Magnesium.	Menkes syndrome; MIM:309400. Occipital horn syndrome; MIM:304150. Wilson disease; MIM:277900.	\N	\N	\N
171606	5.3.4.1	Protein disulfide isomerase.	Rearrangement of both intrachain and interchain disulfide bonds in proteins to form the native structures.	\N	\N	\N	\N	\N
171672	1.1.1.85	3-isopropylmalate dehydrogenase.	3-carboxy-2-hydroxy-4-methylpentanoate + NAD(+) = 3-carboxy-4-methyl-2- oxopentanoate + NADH.	\N	\N	Valine, leucine and isoleucine biosynthesis	Amino Acid Metabolism	METABOLIC
171775	2.7.1.37	Protein kinase.	ATP + a protein = ADP + a phosphoprotein.	\N	\N	\N	\N	\N
171787	1.1.1.40	Malate dehydrogenase (oxaloacetate decarboxylating) (NADP+).	(S)-malate + NADP(+) = pyruvate + CO(2) + NADPH.	\N	\N	Pyruvate metabolism	Carbohydrate Metabolism	METABOLIC
171787	1.1.1.40	Malate dehydrogenase (oxaloacetate decarboxylating) (NADP+).	(S)-malate + NADP(+) = pyruvate + CO(2) + NADPH.	\N	\N	Carbon fixation	Energy Metabolism	METABOLIC
