subject_id	Gene_ID	explevel_log	logFC	Protein_ID	transcript_ID
Potri.001G375600.1	WUAT02000182.1	4.108793553	2.110929432	550287	550287
Potri.005G087100.1	WUAT02013324.1	1.500980419	2.672884918	558645	558645
Potri.005G213300.6	WUAT02002844.1	2.052142033	2.076148834	559591	559591
Potri.010G052500.1	WUAT02001524.1	3.200160998	2.420559482	565949	565949
Potri.010G052500.1	WUAT02012658.1	2.292092485	2.241255346	565949	565949
Potri.010G052500.1	WUAT02018674.1	7.254142141	2.276582281	565949	565949
Potri.011G152200.1	WUAT02009575.1	11.84917335	2.13920355	569276	569276
Potri.006G123200.1	WUAT02010116.1	3.989507651	2.412051255	739535	739535
Potri.017G013500.1	WUAT02006331.1	4.135304994	2.072251755	741584	741584
Potri.012G105500.1	WUAT02001530.1	5.632703212	2.473883858	773254	773254
Potri.015G128100.1	WUAT02022777.1	7.303194208	2.546761048	776563	776563
Potri.009G011000.8	WUAT02005179.1	8.757762043	2.278414727	833327	833327
Potri.018G093000.1	WUAT02006404.1	12.93946828	2.769300405	835910	835910
