Protein_ID	subject_id	Gene_ID	explevel_log	logFC	transcript_ID	goTermId	goName	gotermType	goAcc
176347	Potri.001G374200.4	WUAT02012842.1	10.34334838	-3.167166069	176347	3449	regulation of transcription, DNA-templated	biological_process	GO:0006355
176347	Potri.001G374200.4	WUAT02012842.1	10.34334838	-3.167166069	176347	1056	DNA binding	molecular_function	GO:0003677
176347	Potri.001G374200.4	WUAT02012842.1	10.34334838	-3.167166069	176347	2757	nucleus	cellular_component	GO:0005634
205458	Potri.005G210000.1	WUAT02021152.1	9.923485654	-2.936322147	205458	2644	protein binding	molecular_function	GO:0005515
240760	Potri.013G022700.2	WUAT02009519.1	7.75225604	-2.075400614	240760	1979	protein tyrosine kinase activity	molecular_function	GO:0004713
240760	Potri.013G022700.2	WUAT02009519.1	7.75225604	-2.075400614	240760	1939	protein kinase activity	molecular_function	GO:0004672
240760	Potri.013G022700.2	WUAT02009519.1	7.75225604	-2.075400614	240760	1941	protein serine/threonine kinase activity	molecular_function	GO:0004674
240760	Potri.013G022700.2	WUAT02009519.1	7.75225604	-2.075400614	240760	3551	protein phosphorylation	biological_process	GO:0006468
240760	Potri.013G022700.2	WUAT02009519.1	7.75225604	-2.075400614	240760	2653	ATP binding	molecular_function	GO:0005524
553835	Potri.003G073400.2	WUAT02014080.1	10.45778326	-3.998911364	553835	1805	endonuclease activity	molecular_function	GO:0004519
565949	Potri.010G052500.1	WUAT02001703.1	4.063900492	-3.106406355	565949	5482	gluconate dehydrogenase activity	molecular_function	GO:0008875
565949	Potri.010G052500.1	WUAT02001703.1	4.063900492	-3.106406355	565949	8354	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	molecular_function	GO:0016616
565949	Potri.010G052500.1	WUAT02001703.1	4.063900492	-3.106406355	565949	8021	steroid dehydrogenase activity	molecular_function	GO:0016229
565949	Potri.010G052500.1	WUAT02001703.1	4.063900492	-3.106406355	565949	8235	oxidoreductase activity	molecular_function	GO:0016491
565949	Potri.010G052500.1	WUAT02001703.1	4.063900492	-3.106406355	565949	9306	5-exo-hydroxycamphor dehydrogenase activity	molecular_function	GO:0018452
565949	Potri.010G052500.1	WUAT02001703.1	4.063900492	-3.106406355	565949	9305	epoxide dehydrogenase activity	molecular_function	GO:0018451
565949	Potri.010G052500.1	WUAT02001703.1	4.063900492	-3.106406355	565949	4804	metabolic process	biological_process	GO:0008152
565949	Potri.010G052500.1	WUAT02001703.1	4.063900492	-3.106406355	565949	17232	3-ketoglucose-reductase activity	molecular_function	GO:0048258
565949	Potri.010G052500.1	WUAT02001703.1	4.063900492	-3.106406355	565949	242	C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity	molecular_function	GO:0000252
565949	Potri.010G052500.1	WUAT02001703.1	4.063900492	-3.106406355	565949	9307	2-hydroxytetrahydrofuran dehydrogenase activity	molecular_function	GO:0018453
565949	Potri.010G052500.1	WUAT02001703.1	4.063900492	-3.106406355	565949	1781	mevaldate reductase activity	molecular_function	GO:0004495
565949	Potri.010G052500.1	WUAT02001703.1	4.063900492	-3.106406355	565949	1737	isocitrate dehydrogenase activity	molecular_function	GO:0004448
565949	Potri.010G052500.1	WUAT02001703.1	4.063900492	-3.106406355	565949	243	3-keto sterol reductase activity	molecular_function	GO:0000253
565949	Potri.010G052500.1	WUAT02009193.1	6.455155829	-2.203602338	565949	5482	gluconate dehydrogenase activity	molecular_function	GO:0008875
565949	Potri.010G052500.1	WUAT02009193.1	6.455155829	-2.203602338	565949	8354	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	molecular_function	GO:0016616
565949	Potri.010G052500.1	WUAT02009193.1	6.455155829	-2.203602338	565949	8021	steroid dehydrogenase activity	molecular_function	GO:0016229
565949	Potri.010G052500.1	WUAT02009193.1	6.455155829	-2.203602338	565949	8235	oxidoreductase activity	molecular_function	GO:0016491
565949	Potri.010G052500.1	WUAT02009193.1	6.455155829	-2.203602338	565949	9306	5-exo-hydroxycamphor dehydrogenase activity	molecular_function	GO:0018452
565949	Potri.010G052500.1	WUAT02009193.1	6.455155829	-2.203602338	565949	9305	epoxide dehydrogenase activity	molecular_function	GO:0018451
565949	Potri.010G052500.1	WUAT02009193.1	6.455155829	-2.203602338	565949	4804	metabolic process	biological_process	GO:0008152
565949	Potri.010G052500.1	WUAT02009193.1	6.455155829	-2.203602338	565949	17232	3-ketoglucose-reductase activity	molecular_function	GO:0048258
565949	Potri.010G052500.1	WUAT02009193.1	6.455155829	-2.203602338	565949	242	C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity	molecular_function	GO:0000252
565949	Potri.010G052500.1	WUAT02009193.1	6.455155829	-2.203602338	565949	9307	2-hydroxytetrahydrofuran dehydrogenase activity	molecular_function	GO:0018453
565949	Potri.010G052500.1	WUAT02009193.1	6.455155829	-2.203602338	565949	1781	mevaldate reductase activity	molecular_function	GO:0004495
565949	Potri.010G052500.1	WUAT02009193.1	6.455155829	-2.203602338	565949	1737	isocitrate dehydrogenase activity	molecular_function	GO:0004448
565949	Potri.010G052500.1	WUAT02009193.1	6.455155829	-2.203602338	565949	243	3-keto sterol reductase activity	molecular_function	GO:0000253
639874	Potri.001G019400.1	WUAT02002758.1	4.779002563	-3.061534569	639874	2625	binding	molecular_function	GO:0005488
639874	Potri.001G019400.1	WUAT02002758.1	4.779002563	-3.061534569	639874	2450	transporter activity	molecular_function	GO:0005215
639874	Potri.001G019400.1	WUAT02002758.1	4.779002563	-3.061534569	639874	7826	membrane	cellular_component	GO:0016020
639874	Potri.001G019400.1	WUAT02002758.1	4.779002563	-3.061534569	639874	3879	transport	biological_process	GO:0006810
639874	Potri.001G019400.1	WUAT02002758.1	4.779002563	-3.061534569	639874	2860	mitochondrial inner membrane	cellular_component	GO:0005743
655357	Potri.007G020100.1	WUAT02007177.1	3.385444009	-2.544108738	655357	1957	cAMP-dependent protein kinase activity	molecular_function	GO:0004691
655357	Potri.007G020100.1	WUAT02007177.1	3.385444009	-2.544108738	655357	1948	obsolete protein kinase CK2 activity	molecular_function	GO:0004682
655357	Potri.007G020100.1	WUAT02007177.1	3.385444009	-2.544108738	655357	1941	protein serine/threonine kinase activity	molecular_function	GO:0004674
655357	Potri.007G020100.1	WUAT02007177.1	3.385444009	-2.544108738	655357	1979	protein tyrosine kinase activity	molecular_function	GO:0004713
655357	Potri.007G020100.1	WUAT02007177.1	3.385444009	-2.544108738	655357	5224	obsolete protein kinase CK2 regulator activity	molecular_function	GO:0008605
655357	Potri.007G020100.1	WUAT02007177.1	3.385444009	-2.544108738	655357	3055	cAMP-dependent protein kinase complex	cellular_component	GO:0005952
655357	Potri.007G020100.1	WUAT02007177.1	3.385444009	-2.544108738	655357	1939	protein kinase activity	molecular_function	GO:0004672
655357	Potri.007G020100.1	WUAT02007177.1	3.385444009	-2.544108738	655357	5223	cAMP-dependent protein kinase regulator activity	molecular_function	GO:0008603
655357	Potri.007G020100.1	WUAT02007177.1	3.385444009	-2.544108738	655357	2653	ATP binding	molecular_function	GO:0005524
655357	Potri.007G020100.1	WUAT02007177.1	3.385444009	-2.544108738	655357	3551	protein phosphorylation	biological_process	GO:0006468
655357	Potri.007G020100.1	WUAT02007177.1	3.385444009	-2.544108738	655357	3059	protein kinase CK2 complex	cellular_component	GO:0005956
679498	Potri.017G040800.1	WUAT02003352.1	11.05237948	-2.758391462	679498	7965	beta-amylase activity	molecular_function	GO:0016161
679498	Potri.017G040800.1	WUAT02003352.1	11.05237948	-2.758391462	679498	262	polysaccharide catabolic process	biological_process	GO:0000272
738040	Potri.018G110800.1	WUAT02019757.1	10.74516066	-2.491135984	738040	3879	transport	biological_process	GO:0006810
738040	Potri.018G110800.1	WUAT02019757.1	10.74516066	-2.491135984	738040	4931	lipid binding	molecular_function	GO:0008289
738040	Potri.018G110800.1	WUAT02019757.1	10.74516066	-2.491135984	738040	2450	transporter activity	molecular_function	GO:0005215
750778	Potri.001G014700.1	WUAT02001517.1	7.031025333	-2.047214729	750778	1939	protein kinase activity	molecular_function	GO:0004672
750778	Potri.001G014700.1	WUAT02001517.1	7.031025333	-2.047214729	750778	2653	ATP binding	molecular_function	GO:0005524
750778	Potri.001G014700.1	WUAT02001517.1	7.031025333	-2.047214729	750778	2657	carbohydrate binding	molecular_function	GO:0030246
750778	Potri.001G014700.1	WUAT02001517.1	7.031025333	-2.047214729	750778	1941	protein serine/threonine kinase activity	molecular_function	GO:0004674
750778	Potri.001G014700.1	WUAT02001517.1	7.031025333	-2.047214729	750778	1979	protein tyrosine kinase activity	molecular_function	GO:0004713
750778	Potri.001G014700.1	WUAT02001517.1	7.031025333	-2.047214729	750778	3551	protein phosphorylation	biological_process	GO:0006468
