subject_id	Gene_ID	explevel_log	Protein_ID	transcript_ID
Potri.001G182300.2	WUAT02004297.1	2.853901779	171564	171564
Potri.001G182300.2	WUAT02016986.1	5.585282997	171564	171564
Potri.001G189700.5	WUAT02021037.1	5.068641697	171787	171787
Potri.001G217700.1	WUAT02003579.1	10.65154522	172048	172048
Potri.001G253500.1	WUAT02023384.1	8.883328904	172222	172222
Potri.001G251100.2	WUAT02004927.1	6.179333541	172318	172318
Potri.001G250700.1	WUAT02018336.1	5.339806034	172338	172338
Potri.001G250700.1	WUAT02022631.1	9.960026904	172338	172338
Potri.001G234200.1	WUAT02006755.1	9.975053422	172849	172849
Potri.001G262800.1	WUAT02019681.1	6.429050955	173058	173058
Potri.001G265300.2	WUAT02007488.1	9.908393826	173179	173179
Potri.001G347900.2	WUAT02015012.1	8.255101769	173877	173877
Potri.001G341900.1	WUAT02012522.1	9.420837312	174089	174089
Potri.001G329400.1	WUAT02019895.1	10.00492162	174507	174507
Potri.001G321800.2	WUAT02019239.1	9.589834309	174716	174716
Potri.001G308600.1	WUAT02004309.1	9.720713422	175077	175077
Potri.001G305400.1	WUAT02008646.1	10.07616585	175190	175190
Potri.001G300900.1	WUAT02001132.1	9.82794258	175325	175325
Potri.001G294700.1	WUAT02010024.1	9.351512674	175504	175504
Potri.001G357100.4	WUAT02018123.1	9.216495202	175839	175839
Potri.001G370600.1	WUAT02012499.1	7.721879702	176275	176275
Potri.001G374200.4	WUAT02012842.1	10.34334838	176347	176347
Potri.001G459200.1	WUAT02020625.1	7.991056674	177231	177231
Potri.001G462700.1	WUAT02006971.1	9.114945539	177383	177383
Potri.001G462800.1	WUAT02017673.1	5.612554847	177387	177387
Potri.001G000700.2	WUAT02002665.1	10.78237899	177738	177738
Potri.001G003800.1	WUAT02012831.1	11.15468742	177802	177802
Potri.001G007900.2	WUAT02021555.1	10.12236448	177956	177956
Potri.001G033900.4	WUAT02019488.1	8.275865958	178328	178328
Potri.001G032000.3	WUAT02018217.1	9.669066001	178371	178371
Potri.001G023500.1	WUAT02015085.1	10.56008884	178600	178600
Potri.001G061500.1	WUAT02003515.1	10.83074005	179255	179255
Potri.001G079400.4	WUAT02021112.1	9.901509494	179631	179631
Potri.001G079400.4	WUAT02022294.1	10.26512866	179631	179631
Potri.001G082900.1	WUAT02004923.1	8.65705144	179726	179726
Potri.001G083300.1	WUAT02017862.1	8.901306064	179738	179738
Potri.001G092700.1	WUAT02018294.1	5.931238819	180036	180036
Potri.001G098700.2	WUAT02013874.1	9.978801758	180196	180196
Potri.001G104900.5	WUAT02006171.1	10.12036965	180378	180378
Potri.001G106100.1	WUAT02020080.1	10.26209901	180424	180424
Potri.001G109500.1	WUAT02003813.1	9.825542845	180526	180526
Potri.001G112200.1	WUAT02017651.1	9.0906125	180608	180608
Potri.001G113100.1	WUAT02018132.1	11.70919248	180639	180639
Potri.001G175700.1	WUAT02002585.1	5.358245871	180923	180923
Potri.001G175700.1	WUAT02004526.1	7.784934414	180923	180923
Potri.001G180200.1	WUAT02022663.1	9.169374345	181064	181064
Potri.001G214500.1	WUAT02016628.1	9.784462976	181167	181167
Potri.004G117900.1	WUAT02003344.1	9.440495093	195222	195222
Potri.004G165800.1	WUAT02003385.1	10.75279114	195833	195833
Potri.004G165800.1	WUAT02004007.1	6.692122062	195833	195833
Potri.004G165800.1	WUAT02007090.1	5.817232822	195833	195833
Potri.004G165800.1	WUAT02013048.1	7.482994796	195833	195833
Potri.004G165800.1	WUAT02023377.1	4.214302514	195833	195833
Potri.004G172500.1	WUAT02013475.1	5.81042066	195979	195979
Potri.004G174800.1	WUAT02018662.1	4.698550639	196076	196076
Potri.004G013700.3	WUAT02018248.1	6.238102963	196517	196517
Potri.004G018800.1	WUAT02021529.1	8.171817857	196672	196672
Potri.004G022500.1	WUAT02007624.1	10.26906658	196766	196766
Potri.004G030500.4	WUAT02000797.1	9.938447989	197021	197021
Potri.004G033100.1	WUAT02016427.1	10.39822178	197101	197101
Potri.004G035400.1	WUAT02009541.1	10.00141659	197160	197160
