transcriptId	proteinId
814626	814626
814646	814646
814669	814669
814694	814694
814695	814695
814531	814531
814533	814533
814542	814542
814544	814544
814553	814553
814568	814568
814735	814735
814578	814578
814585	814585
814594	814594
814617	814617
813548	813548
813587	813587
813612	813612
813614	813614
813615	813615
813630	813630
813631	813631
813651	813651
813656	813656
813678	813678
813708	813708
813709	813709
813711	813711
813718	813718
813719	813719
813725	813725
813730	813730
813731	813731
813743	813743
813757	813757
813758	813758
813781	813781
813786	813786
813788	813788
813794	813794
813818	813818
814069	814069
814076	814076
814100	814100
814103	814103
814107	814107
814109	814109
814110	814110
814116	814116
813895	813895
813902	813902
813903	813903
813911	813911
813926	813926
813935	813935
813941	813941
813943	813943
813950	813950
813962	813962
813981	813981
813989	813989
814014	814014
814022	814022
814034	814034
814035	814035
814065	814065
814068	814068
814118	814118
814124	814124
814125	814125
814132	814132
814136	814136
814139	814139
814153	814153
814158	814158
814174	814174
814181	814181
814194	814194
814251	814251
814282	814282
814286	814286
814293	814293
814294	814294
814302	814302
814325	814325
814330	814330
814344	814344
814354	814354
814376	814376
814377	814377
814378	814378
814391	814391
814393	814393
814394	814394
814506	814506
814507	814507
814508	814508
814510	814510
814519	814519
814402	814402
814406	814406
814408	814408
814410	814410
814424	814424
814425	814425
814433	814433
814436	814436
814451	814451
814469	814469
814470	814470
814471	814471
814477	814477
814483	814483
814484	814484
829253	829253
829256	829256
829257	829257
828990	828990
829260	829260
827597	827597
827602	827602
827604	827604
827616	827616
827617	827617
827624	827624
827626	827626
827628	827628
829261	829261
828999	828999
829004	829004
827644	827644
827647	827647
827657	827657
827660	827660
827668	827668
827673	827673
827676	827676
827678	827678
827695	827695
827700	827700
827702	827702
827706	827706
827707	827707
827710	827710
827713	827713
829007	829007
827715	827715
827727	827727
827729	827729
827736	827736
827739	827739
827745	827745
827747	827747
827752	827752
827761	827761
827763	827763
827766	827766
827781	827781
829008	829008
827793	827793
827801	827801
827805	827805
827815	827815
827820	827820
827835	827835
827839	827839
827847	827847
827863	827863
827867	827867
827875	827875
827881	827881
827882	827882
827894	827894
827900	827900
827903	827903
827907	827907
827910	827910
827918	827918
827919	827919
827930	827930
827933	827933
827935	827935
827940	827940
827942	827942
827963	827963
827972	827972
827982	827982
827990	827990
829013	829013
828004	828004
828007	828007
829270	829270
828026	828026
828027	828027
828031	828031
828033	828033
828046	828046
828052	828052
828053	828053
828059	828059
828087	828087
828088	828088
828090	828090
828098	828098
828107	828107
828111	828111
828113	828113
828115	828115
828117	828117
829022	829022
828127	828127
828131	828131
828132	828132
828142	828142
828145	828145
828152	828152
828157	828157
828167	828167
828173	828173
828175	828175
828208	828208
828210	828210
828212	828212
828220	828220
828229	828229
828230	828230
828245	828245
828249	828249
828255	828255
828258	828258
828260	828260
828261	828261
828262	828262
828267	828267
828273	828273
828282	828282
828288	828288
829032	829032
828294	828294
828301	828301
828302	828302
828307	828307
828321	828321
828322	828322
828338	828338
828347	828347
828353	828353
828354	828354
828355	828355
828359	828359
828360	828360
828371	828371
829039	829039
828387	828387
828412	828412
828416	828416
828417	828417
828437	828437
828444	828444
828445	828445
829043	829043
828450	828450
828455	828455
828458	828458
828474	828474
828483	828483
828493	828493
828502	828502
828511	828511
829048	829048
828515	828515
828520	828520
828525	828525
828526	828526
828527	828527
828541	828541
828543	828543
828544	828544
828548	828548
829275	829275
828552	828552
828557	828557
828562	828562
829056	829056
829061	829061
828572	828572
828574	828574
828581	828581
828582	828582
828591	828591
828604	828604
828606	828606
828609	828609
828630	828630
828631	828631
828633	828633
828634	828634
829282	829282
828635	828635
828638	828638
828639	828639
828643	828643
828644	828644
828646	828646
829076	829076
828660	828660
828666	828666
828671	828671
828672	828672
828678	828678
828679	828679
828700	828700
828702	828702
828703	828703
828712	828712
828713	828713
828716	828716
828718	828718
829082	829082
828725	828725
828728	828728
828731	828731
829083	829083
828737	828737
828741	828741
828746	828746
828751	828751
828753	828753
828760	828760
828761	828761
828764	828764
828769	828769
828771	828771
829094	829094
828774	828774
828778	828778
828781	828781
828783	828783
828786	828786
828797	828797
828798	828798
828799	828799
829103	829103
826341	826341
826351	826351
826368	826368
826373	826373
826388	826388
826391	826391
826396	826396
826397	826397
826399	826399
826401	826401
826419	826419
826421	826421
826423	826423
826440	826440
826446	826446
826451	826451
826454	826454
826464	826464
826476	826476
826487	826487
826496	826496
826499	826499
826515	826515
826518	826518
826524	826524
826525	826525
826527	826527
826529	826529
826532	826532
826533	826533
826537	826537
826539	826539
826546	826546
826553	826553
826559	826559
826580	826580
826584	826584
826589	826589
826598	826598
826604	826604
826609	826609
826614	826614
826615	826615
826618	826618
826620	826620
826623	826623
826625	826625
826626	826626
826631	826631
826637	826637
826642	826642
826643	826643
826649	826649
826656	826656
826657	826657
826658	826658
826664	826664
826666	826666
826673	826673
826674	826674
826679	826679
826683	826683
826684	826684
829113	829113
829114	829114
828819	828819
828821	828821
829116	829116
829120	829120
829125	829125
829126	829126
828828	828828
829138	829138
828834	828834
829141	829141
826701	826701
826706	826706
826711	826711
826712	826712
826719	826719
826731	826731
826736	826736
826739	826739
826742	826742
826745	826745
826759	826759
826764	826764
826770	826770
826772	826772
826777	826777
826781	826781
826786	826786
826794	826794
826798	826798
826800	826800
826810	826810
826812	826812
826816	826816
826819	826819
826850	826850
829146	829146
828840	828840
826867	826867
826889	826889
826895	826895
826919	826919
826923	826923
826926	826926
829154	829154
828847	828847
828852	828852
829161	829161
826931	826931
826935	826935
826940	826940
826946	826946
826952	826952
826955	826955
826969	826969
826972	826972
826973	826973
826978	826978
826988	826988
826997	826997
826998	826998
827009	827009
829164	829164
829167	829167
828855	828855
828859	828859
829175	829175
829190	829190
828878	828878
828879	828879
827023	827023
827031	827031
827034	827034
827043	827043
827046	827046
827051	827051
827053	827053
827055	827055
827059	827059
827060	827060
827070	827070
827076	827076
827081	827081
827095	827095
827106	827106
827108	827108
827109	827109
827112	827112
829201	829201
828882	828882
828883	828883
829205	829205
829209	829209
828886	828886
828890	828890
828891	828891
827120	827120
827123	827123
827131	827131
827143	827143
827145	827145
827148	827148
827152	827152
827158	827158
827160	827160
827164	827164
827167	827167
827173	827173
828892	828892
828894	828894
829213	829213
828898	828898
827189	827189
827191	827191
827204	827204
827207	827207
827209	827209
827216	827216
827234	827234
827243	827243
827246	827246
827247	827247
827261	827261
827265	827265
827269	827269
827282	827282
827287	827287
829215	829215
829216	829216
829217	829217
828903	828903
828904	828904
828905	828905
827290	827290
827296	827296
827299	827299
827326	827326
827334	827334
827343	827343
827348	827348
827350	827350
827359	827359
827367	827367
827372	827372
827376	827376
828919	828919
828926	828926
827390	827390
827396	827396
827400	827400
828936	828936
828941	828941
827418	827418
827419	827419
827423	827423
827424	827424
827431	827431
829237	829237
827441	827441
827443	827443
827447	827447
827451	827451
827452	827452
827455	827455
827456	827456
827469	827469
827471	827471
827477	827477
827481	827481
827488	827488
827491	827491
827492	827492
827495	827495
827498	827498
827499	827499
827501	827501
827502	827502
827503	827503
828952	828952
828954	828954
827509	827509
827510	827510
827516	827516
827523	827523
827529	827529
827532	827532
828956	828956
827538	827538
827541	827541
827558	827558
827559	827559
827560	827560
827565	827565
827567	827567
828962	828962
828976	828976
829248	829248
827575	827575
827580	827580
827585	827585
827589	827589
828986	828986
814760	814760
814761	814761
814762	814762
814768	814768
814770	814770
814774	814774
814778	814778
814782	814782
814785	814785
814791	814791
814792	814792
814798	814798
814809	814809
814829	814829
814830	814830
814836	814836
814838	814838
814847	814847
814853	814853
814858	814858
814861	814861
814871	814871
814872	814872
814873	814873
814875	814875
814879	814879
814880	814880
814881	814881
814902	814902
814906	814906
814918	814918
814926	814926
814939	814939
814951	814951
814954	814954
814963	814963
814965	814965
814970	814970
814971	814971
814973	814973
814974	814974
814978	814978
814985	814985
814988	814988
814994	814994
815000	815000
815010	815010
815012	815012
815017	815017
815018	815018
815020	815020
815022	815022
815024	815024
815032	815032
815043	815043
815048	815048
815054	815054
