Gene_ID	subject_id	G_T1_Rep1	G_T1_Rep2	G_T1_Rep3	G_T1_Rep4	G_T2_Rep1	G_T2_Rep2	G_T2_Rep3	G_T2_Rep4
WUAT02000001.1	Potri.013G162500.1	12314	15896	13610	15832	13900	15226	16862	22302
WUAT02000002.1	Potri.002G176000.1	11400	16612	11116	18914	13132	13256	16122	18426
WUAT02000005.1	Potri.002G099200.1	2438	4422	3694	3884	10994	3632	4334	7108
WUAT02000007.1	Potri.001G409500.1	7452	14722	10788	15310	84782	24440	26964	27782
WUAT02000010.1	Potri.014G046000.3	24680	48528	39290	44132	50770	62426	70528	64282
WUAT02000011.1	Potri.013G046400.6	1790	1468	1652	1596	636	196	140	1090
WUAT02000014.1	Potri.001G359700.6	19032	32984	18742	32758	29402	31492	35640	32124
WUAT02000015.1	Potri.013G143400.2	2290	2896	1678	4918	1374	1542	1738	1720
WUAT02000019.1	Potri.013G133550.2	22244	30468	17166	34522	31282	25570	25352	24600
WUAT02000023.1	Potri.017G041800.5	5474	3828	4742	5560	4458	3098	2774	4228
WUAT02000025.1	Potri.011G103401.1	11874	11736	15570	13140	10204	5518	7892	12394
WUAT02000028.1	Potri.001G354700.3	7134	8178	6274	13022	7724	5482	7984	7816
WUAT02000032.1	Potri.012G084100.1	10504	8254	7608	15974	5988	4266	5030	11856
WUAT02000037.1	Potri.015G002600.1	29500	40200	26702	44866	38390	28506	33542	36574
WUAT02000038.1	Potri.006G118800.1	94	70	158	244	80	78	430	128
WUAT02000039.1	Potri.001G330300.8	60884	92458	83400	64036	67352	67136	92916	191738
WUAT02000041.1	Potri.019G030600.2	62	240	78	504	110	150	76	62
WUAT02000042.1	Potri.001G457700.1	3374	12456	2964	12962	21486	11592	8340	8610
WUAT02000046.1	Potri.005G045100.1	5062	5182	4158	8598	4020	4182	3556	5704
WUAT02000049.1	Potri.017G083200.6	5290	5140	3172	10086	3472	2174	850	2738
WUAT02000051.1	Potri.016G049000.1	32792	44204	29866	47450	28902	23502	21608	30782
WUAT02000052.1	Potri.007G062302.1	680	5886	1394	1416	1388	5644	1018	19580
WUAT02000054.1	Potri.006G259600.3	1656	608	1498	834	2466	1382	2456	5058
WUAT02000055.1	Potri.004G125150.1	49572	84572	43222	86278	57126	29198	44942	54594
WUAT02000059.1	Potri.010G052500.1	110130	112278	66700	169548	43304	55058	51946	32736
WUAT02000060.1	Potri.002G246500.1	19576	29268	25770	34084	30760	16190	16574	33958
WUAT02000064.1	Potri.010G103000.1	13522	19502	18700	17630	25696	21220	26266	46570
WUAT02000068.1	Potri.009G027000.3	41642	58840	40414	68710	28890	27122	27412	32700
WUAT02000069.1	Potri.014G141000.2	51854	93260	46978	86346	65334	87948	110082	90792
WUAT02000073.1	Potri.010G116600.1	11642	15150	7854	19648	9998	6384	8164	10850
WUAT02000078.1	Potri.009G056500.2	14850	23818	19444	27244	20480	15260	18608	23436
WUAT02000082.1	Potri.016G001400.12	5892	9434	7268	9416	6284	6780	13832	10708
WUAT02000084.1	Potri.002G106400.1	19278	27828	19358	29756	23134	20296	20344	22768
WUAT02000086.1	Potri.006G103900.2	14688	21872	16536	19512	17634	14642	26684	22966
WUAT02000087.1	Potri.019G036500.1	10276	14816	12288	14524	9342	8522	14054	12254
WUAT02000089.1	Potri.013G143400.2	21380	55572	52180	38712	28686	64662	41844	100434
WUAT02000091.1	Potri.002G159400.1	3316	7224	4600	6414	5428	7880	9070	9814
WUAT02000092.1	Potri.007G075500.1	59094	27444	34280	42782	61968	19868	39180	34060
WUAT02000093.1	Potri.013G140850.2	0	2	0	0	2	8	0	4
WUAT02000096.1	Potri.018G088300.1	9598	10936	6814	12212	5702	5514	6778	8018
WUAT02000101.1	Potri.010G252000.6	35620	26278	25562	42598	10338	8392	7216	14412
WUAT02000104.1	Potri.008G088900.2	3850	4152	3854	5172	3928	3688	5082	5768
WUAT02000105.1	Potri.002G072100.1	110	5020	726	126	1812	2374	1702	1538
WUAT02000109.1	Potri.014G052500.1	34068	38720	29638	51014	43638	35896	43636	39418
WUAT02000114.1	Potri.013G153100.1	3206	5926	4302	6254	16824	9770	10978	10204
WUAT02000117.1	Potri.008G046500.1	800	404	826	514	2200	504	556	526
WUAT02000122.1	Potri.011G050500.1	11188	11508	8474	19212	15488	13890	9222	10982
WUAT02000123.1	Potri.012G095133.1	20466	29506	18562	29786	20090	17510	21228	22848
WUAT02000126.1	Potri.001G230000.4	762	3142	2688	1554	4782	6230	9718	6584
WUAT02000127.1	Potri.001G174500.5	1806	2712	1192	3116	2164	638	1096	1738
