subject_id	Gene_ID	explevel_log	logFC	Protein_ID	transcript_ID
Potri.011G046600.1	WUAT02014917.1	7.323367755	2.091889061	234033	234033
Potri.015G033600.1	WUAT02015182.1	5.508754722	2.333877208	265842	265842
Potri.012G108000.1	WUAT02021224.1	3.117653285	2.28723734	423284	433985
Potri.002G103800.1	WUAT02007253.1	4.422305019	3.069503556	551637	551637
Potri.010G052500.1	WUAT02001524.1	3.914311003	2.44146669	565949	565949
Potri.010G052500.1	WUAT02010335.1	1.805766958	2.308059255	565949	565949
Potri.017G110300.5	WUAT02004004.1	4.227626659	2.530163454	580755	580755
Potri.001G019400.1	WUAT02002758.1	4.283330038	4.132125071	639874	639874
Potri.007G020100.1	WUAT02001610.1	1.861958654	2.755650848	655357	655357
Potri.010G044700.2	WUAT02009364.1	2.256140379	3.693274718	726254	726254
Potri.005G052700.1	WUAT02015354.1	2.081789308	2.161999264	742035	742035
Potri.011G125200.5	WUAT02001584.1	3.137209365	3.345004326	771893	771893
Potri.015G128100.1	WUAT02022777.1	8.043795503	2.056903437	776563	776563
Potri.001G139600.4	WUAT02014276.1	5.329851455	2.259680818	813324	813324
Potri.015G127900.1	WUAT02000277.1	3.017921948	2.597119703	824859	824859
