subject_id	Gene_ID	explevel_log	Protein_ID	transcript_ID
Potri.001G182300.2	WUAT02004297.1	3.305434621	171564	171564
Potri.001G182300.2	WUAT02016986.1	5.454917381	171564	171564
Potri.001G189700.5	WUAT02021037.1	4.934384384	171787	171787
Potri.001G217700.1	WUAT02003579.1	10.67436759	172048	172048
Potri.001G253500.1	WUAT02023384.1	8.964126997	172222	172222
Potri.001G251100.2	WUAT02004927.1	5.613528059	172318	172318
Potri.001G250700.1	WUAT02018336.1	5.635038121	172338	172338
Potri.001G250700.1	WUAT02022631.1	9.661469897	172338	172338
Potri.001G234200.1	WUAT02006755.1	9.882670252	172849	172849
Potri.001G262800.1	WUAT02019681.1	6.643011967	173058	173058
Potri.001G265300.2	WUAT02007488.1	9.75793268	173179	173179
Potri.001G347900.2	WUAT02015012.1	8.459007371	173877	173877
Potri.001G341900.1	WUAT02012522.1	9.50418721	174089	174089
Potri.001G329400.1	WUAT02019895.1	10.10707609	174507	174507
Potri.001G321800.2	WUAT02019239.1	9.537148432	174716	174716
Potri.001G308600.1	WUAT02004309.1	9.236562886	175077	175077
Potri.001G305400.1	WUAT02008646.1	10.07396739	175190	175190
Potri.001G300900.1	WUAT02001132.1	10.09575164	175325	175325
Potri.001G294700.1	WUAT02010024.1	9.816523403	175504	175504
Potri.001G357100.4	WUAT02018123.1	9.618873775	175839	175839
Potri.001G370600.1	WUAT02012499.1	7.619879648	176275	176275
Potri.001G374200.4	WUAT02012842.1	8.962172507	176347	176347
Potri.001G459200.1	WUAT02020625.1	7.524505868	177231	177231
Potri.001G462700.1	WUAT02006971.1	9.107234409	177383	177383
Potri.001G462800.1	WUAT02017673.1	6.596379004	177387	177387
Potri.001G000700.2	WUAT02002665.1	10.963605	177738	177738
Potri.001G003800.1	WUAT02012831.1	11.74447557	177802	177802
Potri.001G007900.2	WUAT02021555.1	10.24203969	177956	177956
Potri.001G033900.4	WUAT02019488.1	8.243440018	178328	178328
Potri.001G032000.3	WUAT02018217.1	9.683990121	178371	178371
Potri.001G023500.1	WUAT02015085.1	11.02601113	178600	178600
Potri.001G061500.1	WUAT02003515.1	10.86326684	179255	179255
Potri.001G079400.4	WUAT02021112.1	9.825406403	179631	179631
Potri.001G079400.4	WUAT02022294.1	10.14383982	179631	179631
Potri.001G082900.1	WUAT02004923.1	8.526938506	179726	179726
Potri.001G083300.1	WUAT02017862.1	9.357940313	179738	179738
Potri.001G092700.1	WUAT02018294.1	5.869482953	180036	180036
Potri.001G098700.2	WUAT02013874.1	9.933773454	180196	180196
Potri.001G104900.5	WUAT02006171.1	10.34092621	180378	180378
Potri.001G106100.1	WUAT02020080.1	10.53718247	180424	180424
Potri.001G109500.1	WUAT02003813.1	10.012836	180526	180526
Potri.001G112200.1	WUAT02017651.1	9.393504102	180608	180608
Potri.001G113100.1	WUAT02018132.1	12.25064368	180639	180639
Potri.001G175700.1	WUAT02002585.1	4.593814366	180923	180923
Potri.001G175700.1	WUAT02004526.1	7.371681947	180923	180923
Potri.001G180200.1	WUAT02022663.1	9.611849367	181064	181064
Potri.001G214500.1	WUAT02016628.1	10.20259276	181167	181167
Potri.004G117900.1	WUAT02003344.1	9.391399189	195222	195222
Potri.004G165800.1	WUAT02003385.1	10.76068418	195833	195833
Potri.004G165800.1	WUAT02004007.1	6.856169034	195833	195833
Potri.004G165800.1	WUAT02007090.1	5.910140766	195833	195833
Potri.004G165800.1	WUAT02013048.1	7.539831488	195833	195833
Potri.004G165800.1	WUAT02023377.1	4.867950308	195833	195833
Potri.004G172500.1	WUAT02013475.1	6.193534508	195979	195979
Potri.004G174800.1	WUAT02018662.1	4.947085989	196076	196076
Potri.004G013700.3	WUAT02018248.1	6.026600922	196517	196517
Potri.004G018800.1	WUAT02021529.1	8.249549947	196672	196672
Potri.004G022500.1	WUAT02007624.1	10.06323577	196766	196766
Potri.004G030500.4	WUAT02000797.1	9.772214362	197021	197021
Potri.004G033100.1	WUAT02016427.1	9.954301291	197101	197101
Potri.004G035400.1	WUAT02009541.1	10.03353077	197160	197160
Potri.004G065400.1	WUAT02005711.1	9.07456888	197404	197404
Potri.004G061800.1	WUAT02018955.1	9.725791873	197539	197539
Potri.004G053400.2	WUAT02020939.1	9.7005703	197763	197763
Potri.004G052300.1	WUAT02000771.1	10.67022868	197801	197801
Potri.004G083300.2	WUAT02018589.1	7.696524727	198631	198631
Potri.004G074000.1	WUAT02004272.1	7.403935196	198892	198892
Potri.004G108200.2	WUAT02013902.1	9.799072074	199158	199158
Potri.004G129200.1	WUAT02002701.1	10.02493098	199267	199267
Potri.009G158800.1	WUAT02005838.1	10.14937474	199969	199969
Potri.009G152500.1	WUAT02013011.1	9.79619898	200140	200140
Potri.009G144800.1	WUAT02003628.1	10.64263251	200345	200345
Potri.009G126500.1	WUAT02001007.1	7.87991422	201012	201012
Potri.009G103000.1	WUAT02012853.1	9.515320131	201674	201674
Potri.009G096600.1	WUAT02019367.1	11.4297791	201872	201872
Potri.009G090300.2	WUAT02001715.1	8.238946432	202043	202043
Potri.009G090300.2	WUAT02011097.1	8.331135392	202043	202043
Potri.009G085100.2	WUAT02010279.1	12.38100909	202156	202156
Potri.009G085100.2	WUAT02023057.1	13.56861662	202156	202156
Potri.009G084500.3	WUAT02002000.1	4.764334579	202176	202176
Potri.009G084500.3	WUAT02003543.1	8.828233985	202176	202176
Potri.009G084500.3	WUAT02005963.1	5.513280595	202176	202176
Potri.009G084500.3	WUAT02013442.1	6.719321237	202176	202176
Potri.009G084500.3	WUAT02015206.1	8.161201326	202176	202176
Potri.009G084500.3	WUAT02016291.1	8.94097642	202176	202176
Potri.009G082300.1	WUAT02018618.1	9.710201182	202262	202262
Potri.009G066000.1	WUAT02015133.1	8.457252266	202718	202718
Potri.009G058100.1	WUAT02020580.1	8.94364369	202916	202916
Potri.009G058100.1	WUAT02022583.1	8.860345399	202916	202916
Potri.009G057800.2	WUAT02017439.1	4.941313459	202931	202931
Potri.009G057800.2	WUAT02018281.1	6.18807463	202931	202931
Potri.009G057800.2	WUAT02022344.1	9.912494372	202931	202931
Potri.009G057500.1	WUAT02001337.1	8.207146914	202947	202947
Potri.009G057500.1	WUAT02019886.1	4.930026676	202947	202947
Potri.009G054300.1	WUAT02009603.1	9.66395453	203051	203051
Potri.009G049400.3	WUAT02021711.1	8.969234216	203198	203198
Potri.009G040700.2	WUAT02012085.1	7.860359458	203486	203486
Potri.009G021200.1	WUAT02021190.1	10.59968021	204062	204062
Potri.009G016900.1	WUAT02023084.1	10.5987349	204190	204190
Potri.009G014500.5	WUAT02008259.1	10.77323782	204283	204283
Potri.009G014500.5	WUAT02016479.1	6.923264238	204283	204283
Potri.009G012400.2	WUAT02004253.1	7.360218873	204338	204338
Potri.009G012400.2	WUAT02012030.1	5.915159988	204338	204338
Potri.009G012400.2	WUAT02012142.1	9.259450317	204338	204338
Potri.009G012400.2	WUAT02014177.1	9.879644115	204338	204338
Potri.009G012400.2	WUAT02020060.1	6.469439285	204338	204338
Potri.005G191300.1	WUAT02008845.1	9.868977952	204887	204887
Potri.005G195600.1	WUAT02001898.1	7.461911968	205001	205001
Potri.005G198000.1	WUAT02023243.1	7.503433753	205073	205073
Potri.005G203500.2	WUAT02001454.1	8.970909453	205261	205261
Potri.005G203500.2	WUAT02018162.1	9.05025597	205261	205261
Potri.005G203500.2	WUAT02021754.1	9.321906551	205261	205261
Potri.005G205500.1	WUAT02020917.1	9.572798465	205323	205323
Potri.005G210000.1	WUAT02000203.1	9.630955053	205458	205458
Potri.005G210000.1	WUAT02004784.1	9.556943164	205458	205458
Potri.005G210000.1	WUAT02021152.1	7.531200182	205458	205458
Potri.005G212700.1	WUAT02000597.1	6.688456971	205524	205524
Potri.005G212700.1	WUAT02010473.1	7.950560654	205524	205524
Potri.005G212700.1	WUAT02012859.1	5.200683083	205524	205524
Potri.005G228000.1	WUAT02015936.1	8.15951537	205966	205966
Potri.005G247900.4	WUAT02020136.1	9.295389314	206604	206604
Potri.005G249200.1	WUAT02012183.1	10.50288114	206625	206625
Potri.005G249200.1	WUAT02020649.1	4.838041273	206625	206625
Potri.005G249800.4	WUAT02003781.1	11.0036439	206647	206647
Potri.005G254300.1	WUAT02019946.1	5.433329508	206779	206779
Potri.005G254300.1	WUAT02021638.1	2.863202812	206779	206779
Potri.005G065800.3	WUAT02012962.1	7.821491184	207140	207140
Potri.005G067100.1	WUAT02016846.1	3.550593007	207165	207165
Potri.005G072200.4	WUAT02020129.1	9.078625452	207302	207302
Potri.005G075700.2	WUAT02014360.1	9.175746067	207428	207428
