subject_id	Gene_ID	explevel_log	logFC	Protein_ID	transcript_ID
Potri.004G165800.1	WUAT02004007.1	5.878044725	2.50281589	195833	195833
Potri.009G084500.3	WUAT02005963.1	5.521443485	2.028120636	202176	202176
Potri.010G052500.1	WUAT02001524.1	3.796520711	3.374050983	565949	565949
Potri.011G079500.1	WUAT02023141.1	8.460564032	2.023077442	568456	568456
Potri.013G047400.1	WUAT02019521.1	1.99296786	2.117064369	571104	571104
Potri.017G110300.5	WUAT02004004.1	3.907439208	2.569164211	580755	580755
Potri.005G247600.1	WUAT02006818.1	6.146507614	2.216446153	652170	652170
Potri.005G239200.1	WUAT02006318.1	8.418513885	2.329750473	715463	715463
Potri.011G158400.1	WUAT02015916.1	8.250742523	2.829434866	772214	772214
Potri.015G128100.1	WUAT02016310.1	9.970203795	2.102523289	776563	776563
Potri.003G091200.1	WUAT02007878.1	4.651073277	2.57461263	783705	783705
Potri.017G005900.1	WUAT02014710.1	2.078216768	3.38497693	786535	786535
Potri.013G006400.1	WUAT02020335.1	1.619413112	2.07627474	806728	806728
Potri.002G089800.2	WUAT02016568.1	1.522127214	2.808884657	816312	816312
Potri.005G257500.1	WUAT02007677.1	4.209287036	2.01586	831725	831725
