Gene_ID	subject_id	B_T1_Rep1	B_T1_Rep2	B_T1_Rep3	B_T1_Rep4	B_T2_Rep1	B_T2_Rep2	B_T2_Rep3	B_T2_Rep4
WUAT02000001.1	Potri.013G162500.1	13386	13732	14344	17912	13436	18964	21308	16804
WUAT02000002.1	Potri.002G176000.1	15014	15264	15534	20630	16642	16494	18214	18220
WUAT02000005.1	Potri.002G099200.1	3168	4524	3058	3958	3844	5474	5792	5902
WUAT02000007.1	Potri.001G409500.1	11852	23598	18978	15568	26664	42200	28310	10858
WUAT02000010.1	Potri.014G046000.3	33694	38962	47462	46142	48706	78762	81210	55806
WUAT02000011.1	Potri.013G046400.6	1486	1420	842	2550	290	402	388	834
WUAT02000014.1	Potri.001G359700.6	26006	26980	31338	34156	27126	35478	29398	23636
WUAT02000015.1	Potri.013G143400.2	2412	1090	2050	5092	912	1664	2258	1876
WUAT02000019.1	Potri.013G133550.2	24834	25280	27272	40166	31858	35120	33610	22060
WUAT02000023.1	Potri.017G041800.5	5968	5390	3910	7062	4546	6374	5586	3146
WUAT02000025.1	Potri.011G103401.1	10582	9800	10668	12750	7440	7984	6336	10670
WUAT02000028.1	Potri.001G354700.3	8116	4946	8700	13024	6596	8736	7270	7802
WUAT02000032.1	Potri.012G084100.1	8050	6006	9904	13022	1884	4068	3822	8340
WUAT02000037.1	Potri.015G002600.1	34946	35194	35690	53910	38150	42916	41608	34560
WUAT02000038.1	Potri.006G118800.1	228	224	160	112	118	116	220	434
WUAT02000039.1	Potri.001G330300.8	63406	52716	76992	76030	53288	72662	68510	112582
WUAT02000041.1	Potri.019G030600.2	74	52	126	252	104	218	136	76
WUAT02000042.1	Potri.001G457700.1	2590	6520	6584	12222	14556	6992	11698	8130
WUAT02000046.1	Potri.005G045100.1	5572	4098	4530	7774	3600	5706	3768	5822
WUAT02000049.1	Potri.017G083200.6	5980	2386	4756	8668	1428	3644	4544	2982
WUAT02000051.1	Potri.016G049000.1	35828	35950	33842	55950	28504	31550	33744	28626
WUAT02000052.1	Potri.007G062302.1	3156	4988	4606	5082	1440	2832	1728	2958
WUAT02000054.1	Potri.006G259600.3	988	324	1914	4010	2092	1384	1390	2092
WUAT02000055.1	Potri.004G125150.1	83336	45816	59100	109492	55980	50944	49016	60462
WUAT02000059.1	Potri.010G052500.1	142332	127546	101960	193798	85664	66726	90464	53566
WUAT02000060.1	Potri.002G246500.1	27078	22418	25036	30312	15906	20888	18122	32890
WUAT02000064.1	Potri.010G103000.1	17366	17998	17244	19166	22446	26774	27192	28570
WUAT02000068.1	Potri.009G027000.3	55722	40158	49980	67362	37274	41904	44266	39552
WUAT02000069.1	Potri.014G141000.2	62412	97994	89658	107338	132064	130444	106904	76620
WUAT02000073.1	Potri.010G116600.1	11082	7910	11918	16148	7306	10332	7992	9806
WUAT02000078.1	Potri.009G056500.2	23954	22164	23460	31164	26680	23772	22180	21348
WUAT02000082.1	Potri.016G001400.12	6680	8054	8876	6614	4276	5644	6336	8042
WUAT02000084.1	Potri.002G106400.1	23300	23246	24166	28974	24416	27386	25536	22294
WUAT02000086.1	Potri.006G103900.2	16662	14748	17802	20446	22454	25104	28182	21518
WUAT02000087.1	Potri.019G036500.1	11596	9564	14354	13222	8362	13426	13986	12514
WUAT02000089.1	Potri.013G143400.2	32680	39312	32446	43240	38700	38460	39448	49196
WUAT02000091.1	Potri.002G159400.1	3580	8264	7084	4490	5176	6406	7046	4320
WUAT02000092.1	Potri.007G075500.1	69116	42610	15974	53552	67142	37186	29922	41950
WUAT02000093.1	Potri.013G140850.2	0	4	4	4	0	0	0	0
WUAT02000096.1	Potri.018G088300.1	11054	7964	7798	16454	8268	7208	6864	6898
WUAT02000101.1	Potri.010G252000.6	27310	26138	27166	34584	8526	11476	11410	22714
WUAT02000104.1	Potri.008G088900.2	4046	3574	4240	4790	3492	4322	4202	3820
WUAT02000105.1	Potri.002G072100.1	2418	1468	2564	1818	2286	628	2876	960
WUAT02000109.1	Potri.014G052500.1	40466	41634	42826	60774	44654	50918	41558	36930
WUAT02000114.1	Potri.013G153100.1	5324	3376	5606	6704	12532	12802	10356	6118
WUAT02000117.1	Potri.008G046500.1	160	420	730	1992	750	3556	578	1132
WUAT02000122.1	Potri.011G050500.1	20494	13254	12466	16652	13862	14660	19308	9734
WUAT02000123.1	Potri.012G095133.1	26064	21714	23570	33034	22322	25618	24188	19252
WUAT02000126.1	Potri.001G230000.4	1672	3156	4348	1678	4126	9454	9868	6060
WUAT02000127.1	Potri.001G174500.5	1966	1350	1424	3304	1620	2514	860	1758
WUAT02000131.1	Potri.010G052500.1	48482	49504	51926	84416	45116	46630	43398	31086
WUAT02000136.1	Potri.001G312800.7	15980	18924	23084	20036	27356	44454	48336	59792
WUAT02000137.1	Potri.008G221801.2	102	186	78	242	64	126	82	130
WUAT02000139.1	Potri.010G042000.1	656	578	618	1244	212	818	268	1108
WUAT02000141.1	Potri.005G113600.4	13690	9970	10974	22380	14782	9164	10546	8454
WUAT02000142.1	Potri.012G105800.2	10408	8242	10926	10602	9910	13694	10038	10076
WUAT02000148.1	Potri.006G203300.1	8446	6532	9872	10038	3032	5338	5098	5480
WUAT02000150.1	Potri.011G156900.1	11186	10608	9308	15770	11174	11936	9612	8912
WUAT02000151.1	Potri.014G140400.1	3352	3190	3582	4698	3202	3382	3378	3008
WUAT02000154.1	Potri.001G450401.1	4094	4336	6222	8534	8904	9634	10400	5382
WUAT02000159.1	Potri.005G074200.2	5870	5718	6284	8418	7638	5272	5754	3512
WUAT02000163.1	Potri.005G048700.1	29252	32096	35258	42756	33970	46886	45252	31420
WUAT02000164.1	Potri.001G312800.9	2066	3252	3008	4578	3844	3914	3632	1728
WUAT02000167.1	Potri.005G205400.1	10482	10566	13426	14964	19288	21126	21158	7916
WUAT02000168.1	Potri.014G185804.1	16296	17692	8586	9440	21574	29566	9070	19206
WUAT02000172.1	Potri.007G073100.1	9296	8314	11536	15924	5664	9560	6074	14456
WUAT02000177.1	Potri.013G141912.1	802	680	1100	894	586	862	1052	906
WUAT02000182.1	Potri.001G375600.1	38	12	20	12	8	18	4	24
WUAT02000184.1	Potri.002G259600.4	56298	36064	42560	62264	32414	27798	29644	38684
WUAT02000185.1	Potri.015G035500.1	2908	3188	2566	3670	2408	1664	2316	2178
WUAT02000186.1	Potri.012G088500.11	30066	33472	30908	38046	33464	32972	37830	27904
WUAT02000190.1	Potri.012G069000.6	24198	25396	26436	30656	54128	37522	43346	29172
WUAT02000191.1	Potri.001G190200.1	3746	2196	2674	5676	902	2366	1656	4312
WUAT02000194.1	Potri.016G004900.2	1312	1338	1540	2310	1320	1654	1530	1178
WUAT02000196.1	Potri.013G142232.4	11144	7534	9010	14730	14994	8394	8462	7982
WUAT02000199.1	Potri.006G113300.1	62658	41666	44822	64790	39422	44216	47876	33794
WUAT02000200.1	Potri.006G268200.4	630	470	714	1438	1338	868	768	620
WUAT02000203.1	Potri.005G210000.1	19532	7512	10976	14598	11574	8830	12600	11428
WUAT02000204.1	Potri.011G074868.1	244	430	350	338	288	478	506	518
WUAT02000205.1	Potri.007G147100.1	11204	9042	9848	13142	8418	8766	9570	9820
WUAT02000208.1	Potri.007G061721.1	12792	13186	15728	13496	12956	17946	16538	17914
WUAT02000209.1	Potri.006G185000.1	59440	67082	88244	85430	75240	67188	72850	65210
WUAT02000212.1	Potri.006G230400.5	2232	1472	2692	2434	1396	2652	2214	1980
WUAT02000217.1	Potri.001G370300.2	41324	35350	34120	65350	41796	40174	37724	38226
WUAT02000230.1	Potri.013G162600.1	182	1116	208	526	1246	610	1802	910
WUAT02000231.1	Potri.005G060300.2	746	1452	1156	1004	2146	2202	2504	2304
WUAT02000233.1	Potri.015G009200.4	32144	28908	29420	38834	25462	26292	31440	27732
WUAT02000234.1	Potri.008G005000.1	1240	1480	1470	1612	3300	3056	2310	1772
WUAT02000235.1	Potri.010G052500.1	24430	21568	26020	30566	23336	32104	30162	22942
