subject_id	Gene_ID	explevel_log	logFC	Protein_ID	transcript_ID
Potri.001G182300.2	WUAT02004297.1	2.853901779	3.750871104	171564	171564
Potri.001G003800.1	WUAT02012831.1	11.15468742	2.112155331	177802	177802
Potri.001G113100.1	WUAT02018132.1	11.70919248	2.686528364	180639	180639
Potri.009G085100.2	WUAT02010279.1	11.87115225	2.064821583	202156	202156
Potri.010G136900.1	WUAT02016110.1	7.281380323	2.991218418	225793	225793
Potri.010G240600.1	WUAT02017083.1	13.08243155	3.141668739	228699	228699
Potri.014G125100.1	WUAT02001388.1	8.422558203	2.69825239	245675	245675
Potri.015G033600.1	WUAT02015182.1	5.454548532	3.757133693	265842	265842
Potri.005G017600.1	WUAT02016563.1	2.556403516	4.116739706	268780	268780
Potri.004G218200.4	WUAT02003106.1	12.09935933	2.83564196	274070	274070
Potri.006G123900.1	WUAT02018919.1	10.79828594	2.073939395	282159	282159
Potri.014G027100.1	WUAT02014947.1	6.637800525	2.185498032	287051	287051
Potri.003G125400.1	WUAT02015395.1	11.25223669	2.430288535	413486	424187
Potri.003G142100.1	WUAT02007179.1	11.2635152	2.853256484	414037	424738
Potri.001G052300.1	WUAT02018897.1	11.60104992	3.119472609	547984	547984
Potri.002G018000.1	WUAT02019294.1	10.0634676	2.832485748	550845	550845
Potri.017G123700.1	WUAT02008827.1	9.365192142	2.129951754	553020	553020
Potri.003G018700.1	WUAT02013613.1	7.415845724	2.27264763	553421	553421
Potri.003G201200.4	WUAT02007697.1	9.183988394	2.127982221	555007	555007
Potri.005G087100.1	WUAT02013324.1	2.299113751	3.018729254	558645	558645
Potri.005G213300.6	WUAT02002844.1	2.541857216	2.199600353	559591	559591
Potri.005G247700.1	WUAT02003597.1	10.05166573	2.06152786	559908	559908
Potri.006G047200.1	WUAT02009413.1	9.226736695	2.57767147	560466	560466
Potri.007G081200.1	WUAT02007742.1	6.992222396	2.042665404	562708	562708
Potri.007G016100.2	WUAT02007175.1	8.65197035	2.549648571	563247	563247
Potri.010G052500.1	WUAT02010352.1	7.4806247	2.106020288	565949	565949
Potri.010G052500.1	WUAT02018674.1	8.000818159	3.465469671	565949	565949
Potri.010G052500.1	WUAT02021904.1	8.405638046	2.331305951	565949	565949
Potri.011G152200.1	WUAT02002513.1	11.03977719	2.697443775	569276	569276
Potri.011G152200.1	WUAT02009575.1	11.70343949	2.682800692	569276	569276
Potri.012G058400.2	WUAT02004360.1	7.228706779	2.570582002	569842	569842
Potri.014G171800.1	WUAT02009762.1	10.73715698	2.080916838	573143	573143
Potri.016G037400.1	WUAT02020775.1	3.897422627	3.116441429	576176	576176
Potri.016G137000.1	WUAT02017313.1	9.123447438	2.119705216	577182	577182
Potri.011G166700.5	WUAT02011593.1	9.411730559	2.271285675	582552	582552
Potri.006G056600.1	WUAT02012655.1	10.07994074	2.166173207	583604	583604
Potri.001G165000.1	WUAT02010801.1	10.20362553	2.516000059	584139	584139
Potri.003G189100.1	WUAT02018959.1	10.60561138	2.857331056	593556	593556
Potri.001G352300.4	WUAT02013247.1	10.54286695	2.294462672	641544	641544
Potri.009G132100.1	WUAT02022099.1	8.923050902	2.71267939	649249	649249
Potri.019G130700.1	WUAT02020452.1	12.26185537	3.182221283	665925	665925
Potri.019G130700.1	WUAT02020452.1	12.26185537	3.182221283	665925	665925
Potri.001G289500.1	WUAT02019580.1	11.09260347	2.902383661	707456	707456
Potri.003G159700.3	WUAT02019397.1	10.4519667	2.935529425	712150	712150
Potri.006G082300.1	WUAT02022326.1	10.31655189	2.887581798	717022	717022
Potri.011G033100.1	WUAT02009358.1	8.849716735	2.644487704	727757	727757
Potri.013G004100.1	WUAT02009170.1	10.62989735	2.009958957	729359	729359
Potri.013G004100.1	WUAT02013344.1	12.5946328	2.78024343	729359	729359
Potri.019G092300.1	WUAT02004464.1	8.723200821	3.725704091	738919	738919
Potri.019G092300.1	WUAT02020561.1	6.854777659	2.728594767	738919	738919
Potri.001G464800.1	WUAT02005801.1	9.512642614	2.276175476	753730	753730
Potri.004G086100.1	WUAT02002755.1	10.92280207	2.750939347	759085	759085
Potri.009G156000.1	WUAT02023098.1	6.223830195	2.514158384	767089	767089
Potri.012G105500.1	WUAT02001530.1	5.943045035	3.353473397	773254	773254
Potri.015G128100.1	WUAT02022777.1	8.781942207	4.513468419	776563	776563
Potri.002G057000.3	WUAT02003939.1	8.350472067	2.034194107	798585	798585
Potri.002G008800.1	WUAT02008267.1	6.68434456	2.922734484	815956	815956
Potri.002G105100.1	WUAT02018517.1	5.881759877	2.418829111	816388	816388
Potri.003G214800.1	WUAT02002578.1	10.29960956	2.161856309	817692	817692
Potri.007G076900.3	WUAT02005727.1	3.586983724	3.069050808	819875	819875
Potri.008G069000.2	WUAT02008312.1	10.05446496	2.038716101	820414	820414
Potri.009G038200.2	WUAT02020292.1	7.995916113	2.400536464	821525	821525
Potri.009G026000.2	WUAT02008540.1	9.666812865	2.479322358	821577	821577
Potri.015G003100.4	WUAT02006607.1	12.70422476	2.697456488	824484	824484
Potri.015G017500.1	WUAT02005968.1	11.86839268	2.045929498	824538	824538
Potri.015G069200.2	WUAT02013950.1	9.915103971	3.634671031	824634	824634
Potri.017G083000.1	WUAT02009087.1	9.978299617	2.200196576	825556	825556
Potri.018G068400.1	WUAT02000393.1	7.845018022	2.849880978	828220	828220
Potri.003G204600.1	WUAT02012749.1	9.66694737	2.817078291	830977	830977
Potri.008G174500.1	WUAT02015713.1	6.975118444	3.360798986	832849	832849
Potri.009G011000.8	WUAT02005179.1	8.887635783	2.417688357	833327	833327
Potri.013G144700.1	WUAT02010815.1	11.20622237	2.238913423	834655	834655
