Gene_ID	Level	logFC	Size..aa.	Final.Description	X.1st.BLASTp.hit...if.blank..see.next.column.	X.1st.BLASTp.hit...blank.are.real.orphans..	KO.	Name.KEGG	Annotation	X.GO.Terms	GO.Terms	Enzyme.Code	SignalP	H_T1_Rep1	H_T1_Rep2	H_T1_Rep3	H_T1_Rep4	H_T2_Rep1	H_T2_Rep2	H_T2_Rep3	H_T2_Rep4
gene_2198	69.0994527113823	2.00401109896193	202	GTP-binding protein ypt1	Grosmannia clavigera	Grosmannia clavigera	K07874	RAB1A; Ras-related protein Rab-1A	gtp-binding protein ypt1	4	F:GTP binding; C:plasma membrane; P:small GTPase mediated signal transduction; P:protein transport	-	N	16	6	6	6	0	4	0	0
gene_2335	142.36975853476	2.48743527820998	153	40S ribosomal protein S15 (S12)	Magnaporthe oryzae	Ophiostoma piceae	K02958	RP-S15e, RPS15; small subunit ribosomal protein S15e	40s ribosomal protein s15	5	P:mycelium development; F:structural constituent of ribosome; F:RNA binding; C:small ribosomal subunit; P:translation	-	N	12	29	0	28	0	0	8	0
gene_318	320.824322400455	2.11734360246666	453	Formate dehydrogenase	Magnaporthe oryzae	Ophiostoma piceae	K00122	FDH; formate dehydrogenase [EC:1.2.1.2]	formate dehydrogenase	5	F:NAD binding; C:cytosol; P:oxidation-reduction process; F:oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; F:formate dehydrogenase (NAD+) activity	EC:1.1.1.0; EC:1.2.1.2	N	4	4	2	4	0	0	0	0
gene_3317	93.8187406524111	2.64906317267765	190	40S ribosomal protein S9 (S7)	Trichophyton tonsurans	Ophiostoma piceae	K02997	RP-S9e, RPS9; small subunit ribosomal protein S9e	40s ribosomal protein s9	4	F:structural constituent of ribosome; C:small ribosomal subunit; P:translation; F:rRNA binding	-	N	14	4	0	4	0	0	0	0
gene_3555	112.32296325387	2.07785866903968	548	Isocitrate lyase	Trichoderma reesei	Ophiostoma piceae	K01637	E4.1.3.1, aceA; isocitrate lyase [EC:4.1.3.1]	isocitrate lyase	2	F:isocitrate lyase activity; P:carboxylic acid metabolic process	EC:4.1.3.1	N	4	2	6	0	0	0	0	0
gene_4476	87.1663534419764	2.33050325092647	310	ATP synthase gamma chain	Grosmannia clavigera	Ophiostoma piceae	K02136	ATPeF1G, ATP5C1; F-type H+-transporting ATPase subunit gamma [EC:3.6.3.14]	atp synthase gamma mitochondrial precursor	4	F:hydrogen ion transporting ATP synthase activity, rotational mechanism; P:ATP synthesis coupled proton transport; F:proton-transporting ATPase activity, rotational mechanism; C:mitochondrial proton-transporting ATP synthase, central stalk	-	N	2	0	0	20	0	0	0	0
gene_4497	82.8608366579428	2.04328428966586	103	Histone H4	Botrytis cinerea	Botrytis cinerea	K11254	H4; histone H4	histone h4	6	C:nucleosome; P:mycelium development; F:DNA binding; P:nucleosome assembly; F:protein heterodimerization activity; C:nucleus	-	N	8	0	4	0	0	0	0	0
gene_4498	479.623122021905	3.17222099566614	136	Histone H3	Neurospora crassa	Neurospora crassa	K11253	H3; histone H3	histone h3	7	C:nucleosome; P:DNA repair; P:mycelium development; F:DNA binding; P:nucleosome assembly; F:protein heterodimerization activity; C:nucleus	-	N	78	99	20	128	0	6	16	6
gene_5221	157.587261498464	2.88693406036868	103	Histone H4	Botrytis cinerea	Botrytis cinerea	K11254	H4; histone H4	histone h4	6	C:nucleosome; P:mycelium development; F:DNA binding; P:nucleosome assembly; F:protein heterodimerization activity; C:nucleus	-	N	34	25	4	52	0	2	4	4
gene_6825	95.4147723753544	2.88670163942586	292	40S ribosomal protein S0	Grosmannia clavigera	Ophiostoma piceae	K02998	RP-SAe, RPS0; small subunit ribosomal protein SAe	40s ribosomal protein s0	8	P:translation; P:endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA); P:rRNA export from nucleus; F:structural constituent of ribosome; C:cytosolic small ribosomal subunit; C:90S preribosome; P:ribosomal small subunit assembly; P:endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	-	N	2	12	2	12	0	0	0	0
gene_7587	235.231988342498	2.12921493287858	667	Acetyl-coenzyme A synthetase	Grosmannia clavigera	Ophiostoma piceae	K01895	ACSS, acs; acetyl-CoA synthetase [EC:6.2.1.1]	acetyl-coenzyme a synthetase	8	C:cytosol; P:acetyl-CoA biosynthetic process from acetate; C:mitochondrion; P:acetate fermentation; P:histone acetylation; F:AMP binding; F:acid-ammonia (or amide) ligase activity; F:acetate-CoA ligase activity	EC:6.3.1.0; EC:6.2.1.1	N	0	0	12	0	0	0	0	0
gene_8231	203.833861875935	2.37034373223085	116	Ubiquitin-60S ribosomal protein L40	Marssonina brunnea	Marssonina brunnea	K02927	RP-L40e, RPL40; large subunit ribosomal protein L40e	ribosomal protein	5	F:structural constituent of ribosome; P:translation; C:ribosome; P:translational initiation; F:translation initiation factor activity		N	6	26	2	88	0	6	6	2
