Gene_ID	Level	logFC	Size..aa.	Final.Description	X.1st.BLASTp.hit...if.blank..see.next.column.	X.1st.BLASTp.hit...blank.are.real.orphans..	KO.	Name.KEGG	Annotation	X.GO.Terms	GO.Terms	Enzyme.Code	SignalP	G_T1_Rep1	G_T1_Rep2	G_T1_Rep3	G_T1_Rep4	G_T2_Rep1	G_T2_Rep2	G_T2_Rep3	G_T2_Rep4
gene_10	2.03610407047537	1.47233338681475	439	Putative uncharacterized protein	Capronia epimyces	Capronia epimyces			duf1479 domain protein	0	-		N	22	0	0	20	4	2	0	0
gene_100	8.16019043688187	0.522801704863779	84	Putative uncharacterized protein	Togninia minima	Ophiostoma piceae			hypothetical protein CH063_11335	3	F:metal ion binding; P:metabolic process; F:oxidoreductase activity	-	N	24	3	2	25	12	4	4	6
gene_1000	15.2438233314208	0.560271090885998	355	Guanine nucleotide-binding protein alpha-3 subunit (GP3-alpha) / Mod-D partial suppressor of vegetative incompatibility	Magnaporthe oryzae	Ophiostoma piceae	K04640	GNA; guanine nucleotide-binding protein subunit alpha, other	guanine nucleotide-binding protein alpha-3 subunit	13	F:signal transducer activity; P:replicative cell aging; F:GTP binding; P:GTP catabolic process; P:ascospore formation; P:adenylate cyclase-activating G-protein coupled receptor signaling pathway; P:sporocarp development involved in sexual reproduction; P:pseudohyphal growth; P:regulation of cell size; P:glucose mediated signaling pathway; F:GTPase activity; C:plasma membrane; C:mitochondrion	-	N	52	10	0	108	43	41	5	2
gene_1001	57.6755891243391	-0.65338999787988	892	Glycogen phosphorylase	Grosmannia clavigera	Ophiostoma piceae	K00688	E2.4.1.1, glgP, PYG; starch phosphorylase [EC:2.4.1.1]	glycogen phosphorylase	4	C:cytoplasm; F:glycogen phosphorylase activity; P:glycogen catabolic process; F:pyridoxal phosphate binding	-	N	97	30	0	251	348	166	55	12
gene_1002	16.4385602665424	-0.761005599898122	373	Mitogen-activated protein kinase HOG1 (MAP kinase HOG1)	Pestalotiopsis fici	Ophiostoma piceae	K04441	P38; p38 MAP kinase [EC:2.7.11.24]	stress-activated map kinase	7	F:MAP kinase activity; P:protein phosphorylation; P:regulation of transcription, DNA-dependent; F:ATP binding; C:cytoplasm; C:nucleus; P:MAPK cascade	EC:2.7.11.24	N	35	4	0	95	50	56	28	4
gene_1003	15.6812733898829	0.0506617548413649	1 035	Late secretory pathway protein AVL9 (APL2 VPS1 synthetic lethal protein 9)	Grosmannia clavigera	Ophiostoma piceae			cytoplasm protein	0	-		N	80	2	0	107	63	41	22	0
gene_1004	6.97589521762188	0.684408430904793	907	Quinate repressor protein	Grosmannia clavigera	Ophiostoma piceae			quinate repressor	2	F:catalytic activity; F:nucleotide binding	-	N	24	6	0	41	26	6	12	0
gene_1005	3.92689489478704	0.245942992317023	429	Quinic acid utilization activator	Grosmannia clavigera	Sporothrix schenckii			quinic acid utilization activator	4	F:sequence-specific DNA binding RNA polymerase II transcription factor activity; P:regulation of transcription from RNA polymerase II promoter; C:nucleus; F:zinc ion binding	-	N	12	2	0	30	14	6	8	0
gene_1006	4.84436777880031	-1.61004925009325	153	Endoribonuclease l-psp	Grosmannia clavigera	Ophiostoma piceae			endoribonuclease l-psp	3	F:carbon-nitrogen ligase activity, with glutamine as amido-N-donor; P:biological_process; C:cellular_component		N	0	0	0	31	49	0	8	4
gene_1007	0.546048695483238	0.501665654402489	347	DUF395 domain containing protein	Grosmannia clavigera	Ophiostoma piceae			family protein	0	-		N	2	0	0	10	4	0	0	0
gene_1008	24.444843525542	-0.84062075318098	378	Alcohol dehydrogenase	Grosmannia clavigera	Ophiostoma piceae	K13955	yogA; zinc-binding alcohol dehydrogenase/oxidoreductase	zinc-binding dehydrogenase	1	F:binding	-	N	86	6	0	75	59	39	14	26
gene_1009	4.98162533168918	-1.55958874173679	323	KRR1 small subunit processome component KRR-R motif-containing protein 1	Grosmannia clavigera	Ophiostoma piceae	K06961	KRR1; ribosomal RNA assembly protein	ribosomal rna assembly protein krr1	5	F:RNA binding; C:nucleolus; C:90S preribosome; C:small-subunit processome; P:endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	-	N	5	0	0	25	30	5	26	0
gene_101	0	0	204	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		N	0	0	0	0	0	0	0	0
gene_1010	6.61240030187902	-0.258811746466022	410	GATA type zinc finger protein asd-4 (Ascus development protein 4)	Grosmannia clavigera	Ophiostoma piceae	K09184	GATAF; GATA-binding protein, other eukaryote	gata transcription factor	3	F:metal ion binding; P:transcription, DNA-dependent; F:DNA binding	-	N	18	2	0	46	54	12	8	0
gene_1011	9.19630804579814	0.526342821193027	476	Uncharacterized membrane protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_1569	1	P:mycelium development	-	N	22	4	2	38	46	24	1	0
gene_1012	1.98669608694726	-1.34100323777642	303	Putative uncharacterized protein	Grosmannia clavigera	Sporothrix schenckii			hypothetical protein CMQ_417	0	-		N	2	0	0	8	6	1	14	0
gene_1013	27.8780288755591	-0.924534881026988	1 088	Cutinase transcription factor 1 alpha	Grosmannia clavigera	Ophiostoma piceae			cutinase transcription factor 1 alpha	2	P:transcription, DNA-dependent; F:binding	-	N	78	8	0	95	131	54	46	14
gene_1014	19.5971658140713	-0.885405311731347	213	Putative uncharacterized protein	Togninia minima	Ophiostoma piceae			hypothetical protein CMQ_1231	3	F:molecular_function; P:biological_process; C:cellular_component		N	20	12	0	60	81	77	9	8
gene_1015	18.0406215239252	-1.15205568946196	1 176	Poly(A) RNA polymerase protein cid1	Grosmannia clavigera	Ophiostoma piceae			caffeine-induced death protein 1	1	F:nucleotidyltransferase activity		N	46	4	0	58	82	53	12	12
gene_1016	13.3955429500453	-1.12655939409672	759	Transcription initiation factor IIF subunit alpha (TFIIF large subunit)	Grosmannia clavigera	Ophiostoma piceae	K03138	TFIIF1, GTF2F1, TFG1; transcription initiation factor TFIIF subunit alpha	transcription initiation factor iif subunit alpha	2	F:nucleic acid binding; P:transcription, DNA-dependent	-	N	24	0	0	92	91	44	12	4
gene_1017	2.69412267824466	-0.089090097881631	534	Putative uncharacterized protein	Magnaporthe oryzae	Ophiostoma piceae			hypothetical protein MGG_01343	3	F:molecular_function; P:biological_process; C:cellular_component		N	8	0	0	29	4	6	8	0
gene_1018	2.19120767595348	-0.107985264755769	274	Serine/threonine-protein kinase BUD32	Grosmannia clavigera	Ophiostoma piceae	K08851	TP53RK, PRPK, BUD32; TP53 regulating kinase [EC:2.7.11.1]	bud32 protein kinase	7	P:lipopolysaccharide biosynthetic process; P:protein phosphorylation; F:protein tyrosine kinase activity; F:ATP binding; P:transcription, DNA-dependent; C:chromosome; C:membrane	EC:2.7.10.0	N	6	0	0	24	22	0	4	0
gene_1019	11.1254250164897	-0.660359458101674	413	Glutamate-cysteine ligase modifier subunit	Togninia minima	Ophiostoma piceae	K11205	GCLM; glutamate--cysteine ligase regulatory subunit	glutamate-cysteine ligase modifier subunit	3	F:ligase activity; P:biological_process; C:cellular_component		N	35	2	0	58	43	3	39	4
gene_102	79.0613299544723	0.87869747698957	544	Amino-acid permease	Grosmannia clavigera	Ophiostoma piceae	K16261	YAT; yeast amino acid transporter	amino-acid permease inda1	3	C:integral to membrane; F:amino acid transmembrane transporter activity; P:amino acid transmembrane transport	-	N	476	18	6	506	249	100	64	13
gene_1020	11.8779680237863	-0.044353439099754	155	AP-1 complex subunit sigma-1 (Sigma1-adaptin)	Trichoderma reesei	Ophiostoma piceae	K12394	AP1S1_2; AP-1 complex subunit sigma 1/2	mitogen-activated protein kinase maf1	3	P:protein transport; F:protein transporter activity; P:transport		N	21	0	4	29	56	25	21	0
gene_1020.1	10.2730706067965	-1.64728887064529	439	Mitogen-activated protein kinase maf1	Grosmannia clavigera	Ophiostoma piceae				4	F:kinase activity; P:negative regulation of transcription from RNA polymerase III promoter; P:phosphorylation; C:nucleus		N	22	2	0	15	54	26	27	4
gene_1021	17.1849607050306	-0.486585060401453	987	Vacuolar fusion protein CCZ1 homolog	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_887	0	-		N	32	12	0	51	52	32	22	10
gene_1022	0	0	177	Expansin family protein	Grosmannia clavigera	Ophiostoma piceae			allergen asp f7	0	-		N	0	0	0	0	0	0	0	0
gene_1023	1.52821950439811	-0.448824867532685	294	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			nicotinamide n-	3	F:methyltransferase activity; F:transferase activity; P:methylation		N	4	0	0	12	7	4	4	0
gene_1024	5.21859979149808	-0.443171635325976	1 389	Axial budding pattern protein 2 (Bud site selection protein 10)	Grosmannia clavigera	Ophiostoma piceae			transmembrane glycoprotein	1	F:catalytic activity	-	Y	19	2	0	17	20	29	0	0
gene_1025	10.6354599833572	-0.282531997933442	417	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		N	44	2	0	61	80	27	9	0
gene_1026	132.424848741657	-0.423079261593695	827	Cell division control protein 48	Grosmannia clavigera	Ophiostoma piceae	K13525	VCP, CDC48; transitional endoplasmic reticulum ATPase	cell division control protein 48	4	F:nucleoside-triphosphatase activity; F:ATP binding; P:mycelium development; P:cell division	EC:3.6.1.15	N	336	52	6	548	368	198	331	42
gene_1027	2.76197795892919	-0.92117506394593	165	Putative uncharacterized protein	Grosmannia clavigera	Grosmannia clavigera			hypothetical protein CMQ_549	0	-		N	0	2	0	5	12	0	16	0
gene_1028	68.2638343331673	0.240942820443916	623	Protein phosphatase PP2A regulatory subunit A	Grosmannia clavigera	Ophiostoma piceae	K03456	PPP2R1; protein phosphatase 2 (formerly 2A), regulatory subunit A	protein phosphatase pp2a regulatory subunit a	2	P:biological_process; C:cellular_component		N	196	30	10	249	209	123	92	14
gene_1029	15.939266142768	0.394789346879083	1 004	Phosphoinositide 3-phosphatase (3.1.3.64)	Grosmannia clavigera	Ophiostoma piceae	K01104	E3.1.3.48; protein-tyrosine phosphatase [EC:3.1.3.48]	protein phosphatase	2	P:dephosphorylation; F:phosphatase activity	EC:3.1.3.0	N	58	10	0	96	51	10	29	4
gene_103	13.7391637670016	0.127495777255421	1 137	Putative uncharacterized protein	Scedosporium apiospermum	Scedosporium apiospermum			hypothetical protein NECHADRAFT_82115	0	-		N	53	4	0	105	107	20	12	0
gene_1030	3.46362875707453	0.296280047617252	415	Diaminohydroxyphosphoribosylamino-pyrimidine deaminase (DRAP deaminase)	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_393	0	-		N	12	2	0	23	10	7	6	0
gene_1031	52.4060081919064	-0.583846607364827	695	Long-chain-fatty-acid-CoA ligase 1 (Fatty acid activator 1)	Grosmannia clavigera	Ophiostoma piceae	K01897	ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]	long-chain-fatty-acid- ligase 1	2	F:ligase activity; P:metabolic process	-	N	158	2	4	272	184	161	79	12
gene_1032	31.0162502359524	-0.534964161524539	190	Calcium-binding protein NCS-1	Togninia minima	Ophiostoma piceae			neuronal calcium sensor 1	5	C:Golgi membrane; F:enzyme activator activity; F:calcium ion binding; P:regulation of signal transduction; P:positive regulation of catalytic activity	-	N	103	4	2	134	115	58	34	18
gene_1033	8.68405491021147	-0.135632914751346	920	Cell division control protein 45 homolog (Suppressor of nda4 protein)	Grosmannia clavigera	Ophiostoma piceae	K06628	CDC45; cell division control protein 45	cell division control protein	3	P:translational initiation; P:DNA-dependent DNA replication initiation; F:translation initiation factor activity	-	N	27	0	0	90	41	10	24	0
gene_1034	8.12120403766237	-1.46360338188819	612	DNA replication initiation factor cdc45	Grosmannia clavigera	Ophiostoma piceae			dna replication initiation factor cdc45	6	P:translational initiation; P:DNA-dependent DNA replication initiation; F:translation initiation factor activity; F:molecular_function; P:biological_process; C:cellular_component		N	6	2	0	32	22	30	16	4
gene_1035	15.9439887386474	-0.4772833669901	485	Ribose-phosphate diphosphokinase	Togninia minima	Ophiostoma piceae	K00948	PRPS, prsA; ribose-phosphate pyrophosphokinase [EC:2.7.6.1]	ribose-phosphate pyrophosphokinase 1	6	P:nucleotide biosynthetic process; F:kinase activity; P:phosphorylation; P:ribonucleoside monophosphate biosynthetic process; F:ribose phosphate diphosphokinase activity; F:magnesium ion binding	EC:2.7.6.1	N	44	4	0	100	43	24	39	6
gene_1036	8.37449787246889	-0.568907907064481	378	Pre-mRNA-splicing factor CWC26	Grosmannia clavigera	Ophiostoma piceae	K13106	BUD13, CWC26; pre-mRNA-splicing factor CWC26	pre-mrna-splicing factor cwc26	2	P:mycelium development; C:intracellular part	-	N	30	2	0	36	50	4	24	2
