Gene_ID	Level	logFC	Size..aa.	Final.Description	X.1st.BLASTp.hit...if.blank..see.next.column.	X.1st.BLASTp.hit...blank.are.real.orphans..	KO.	Name.KEGG	Annotation	X.GO.Terms	GO.Terms	Enzyme.Code	SignalP	A_T1_Rep1	A_T1_Rep2	A_T1_Rep3	A_T1_Rep4	A_T2_Rep1	A_T2_Rep2	A_T2_Rep3	A_T2_Rep4
gene_1018	3.46820507236916	2.02875848128974	274	Serine/threonine-protein kinase BUD32	Grosmannia clavigera	Ophiostoma piceae	K08851	TP53RK, PRPK, BUD32; TP53 regulating kinase [EC:2.7.11.1]	bud32 protein kinase	7	P:lipopolysaccharide biosynthetic process; P:protein phosphorylation; F:protein tyrosine kinase activity; F:ATP binding; P:transcription, DNA-dependent; C:chromosome; C:membrane	EC:2.7.10.0	N	10	15	18	2	0	2	0	1
gene_1053	1.8244974388676	2.21691883629566	616	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			c6 zinc finger domain containing protein	7	F:molecular_function; P:biological_process; C:cellular_component; P:transcription, DNA-dependent; F:zinc ion binding; C:nucleus; F:DNA binding		N	0	22	10	0	0	0	0	0
gene_1054	6.78239179870579	2.17059852711372	611	tRNA pseudouridine synthase	Grosmannia clavigera	Ophiostoma piceae	K06173	truA, PUS1; tRNA pseudouridine38-40 synthase [EC:5.4.99.12]	trna pseudouridine synthase	1	P:RNA modification	-	N	26	22	8	14	0	2	2	3
gene_1092	4.46618322479801	2.21855690915311	846	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_7456	3	F:molecular_function; P:biological_process; C:cellular_component		N	6	4	38	6	0	0	0	6
gene_1146	2.83997226524736	2.28017932257337	301	Exosome complex component mtr3	Grosmannia clavigera	Ophiostoma piceae	K12587	MTR3, EXOSC6; exosome complex component MTR3	3 exoribonuclease	1	C:cellular_component		N	6	20	4	6	0	0	0	2
gene_1224	11.0460621889551	2.02263731253192	164	Putative uncharacterized protein	Fusarium verticillioides	Ophiostoma piceae			umta methyltransferase	1	F:transferase activity	-	N	17	53	41	16	4	0	0	0
gene_1233	10.4602789899866	2.63506857436407	284	Stress-induced protein C29B12.11c	Grosmannia clavigera	Ophiostoma piceae			ww-domain ligand protein	0	-		N	28	72	29	9	0	0	0	14
gene_1236	4.13552026235123	2.41443627208019	511	3-ketosteroid reductase	Grosmannia clavigera	Ophiostoma piceae	K09827	ERG27; 3-keto steroid reductase [EC:1.1.1.270]	3-keto steroid reductase-like protein	1	F:nucleotide binding		N	8	19	20	6	0	0	0	4
gene_1257	1.72482752585087	2.15369349911533	174	Putative uncharacterized protein	Sordaria macrospora	Sporothrix schenckii			hypothetical protein SMAC_01049	2	F:carbon-sulfur lyase activity; P:metabolic process		N	8	9	0	4	0	0	0	0
gene_1269	9.10408178033278	2.36959113267437	842	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		N	14	30	28	24	0	0	6	0
gene_1277	17.8236583983533	4.79249448580943	531	High-affinity glucose transporter	Thielavia terrestris	Ophiostoma piceae			glucose transporter	4	F:substrate-specific transmembrane transporter activity; C:integral to membrane; P:transmembrane transport; P:carbohydrate transport	-	N	41	141	68	16	0	0	0	2
gene_1290	5.97896129629274	2.66146880111657	557	Putative uncharacterized protein	Verticillium alfalfae	Ophiostoma piceae			integral membrane protein	0	-		N	2	53	4	16	0	3	0	0
gene_1305	4.88428989656516	2.08508640669322	343	Nucleolar protein nop52 family	Grosmannia clavigera	Ophiostoma piceae	K14849	RRP1; ribosomal RNA-processing protein 1	ribosomal rna-processing protein 1	3	P:rRNA processing; C:preribosome, small subunit precursor; F:molecular_function		N	12	13	20	9	0	0	0	8
gene_1309	12.1578437225223	2.64010873505733	401	Integral membrane protein	Grosmannia clavigera	Grosmannia clavigera			integral membrane protein	0	-		N	41	30	81	4	2	0	2	0
gene_1310	5.71184049938675	3.63502078630957	298	Alpha beta hydrolase fold family	Grosmannia clavigera	Ophiostoma piceae			alpha beta	2	P:metabolic process; F:hydrolase activity	-	N	24	6	48	2	0	0	0	0
gene_1338	5.27035924188125	2.59781876297592	154	Protein mago nashi homolog	Fusarium oxysporum	Sporothrix schenckii	K12877	MAGOH; protein mago nashi	mago nashi protein	1	C:nucleus	-	N	8	28	7	16	0	0	0	5
gene_1342	1.58460266126046	2.05977242287516	201	Ankyrin repeat-containing protein	Grosmannia clavigera	Ophiostoma piceae	K06867	Unclassified; Poorly Characterized	ankyrin repeat-containing protein	0	-		N	7	12	1	2	0	0	0	0
