subject_id	Gene_ID	explevel_log	logFC	Protein_ID	transcript_ID
Potri.001G182300.2	WUAT02016986.1	5.747409152	-2.352570305	171564	171564
Potri.001G374200.4	WUAT02012842.1	9.798342577	-2.365361405	176347	176347
Potri.005G249200.1	WUAT02020649.1	4.181432617	-2.777371559	206625	206625
Potri.005G067100.1	WUAT02016846.1	3.513199213	-2.14007026	207165	207165
Potri.018G032900.1	WUAT02013396.1	2.195742519	-2.730399754	260908	260908
Potri.018G013200.2	WUAT02001825.1	8.363500875	-2.53822527	261541	261541
Potri.013G099500.1	WUAT02021144.1	3.563504846	-2.994377625	288174	288174
Potri.001G110700.1	WUAT02002057.1	11.97784367	-3.093327012	548519	548519
Potri.003G073400.2	WUAT02014080.1	11.27751453	-3.850699434	553835	553835
Potri.003G201200.4	WUAT02022578.1	6.236205837	-2.737698867	555007	555007
Potri.006G102000.3	WUAT02013212.1	9.287394715	-3.566514528	560928	560928
Potri.008G046500.1	WUAT02000117.1	7.183407577	-2.245329307	563810	563810
Potri.010G052500.1	WUAT02001723.1	4.779465264	-2.448640133	565949	565949
Potri.010G052500.1	WUAT02008188.1	3.385843825	-2.167482278	565949	565949
Potri.010G052500.1	WUAT02009483.1	4.96347262	-2.185575256	565949	565949
Potri.010G052500.1	WUAT02014161.1	4.184937948	-2.79332553	565949	565949
Potri.010G052500.1	WUAT02017876.1	6.109214735	-2.349092932	565949	565949
Potri.010G052500.1	WUAT02018707.1	6.762050188	-2.355545618	565949	565949
Potri.012G058400.2	WUAT02008057.1	7.244672167	-8.325924802	569842	569842
Potri.013G029300.2	WUAT02014211.1	2.372418671	-2.298771342	570914	570914
Potri.001G043200.2	WUAT02004249.1	10.06182042	-2.10265279	587197	587197
Potri.001G019400.1	WUAT02002758.1	4.326393451	-2.474655422	639874	639874
Potri.005G247600.1	WUAT02006818.1	9.101246811	-3.02948668	652170	652170
Potri.010G097800.1	WUAT02013075.1	9.433212404	-3.086847297	658639	658639
Potri.007G054200.1	WUAT02001570.1	6.701971128	-2.609533524	711834	711834
Potri.008G195100.1	WUAT02014141.1	4.970101813	-2.232186718	720391	720391
Potri.010G044700.2	WUAT02009364.1	3.15348881	-3.703741242	726254	726254
Potri.013G061200.1	WUAT02009670.1	9.540794183	-3.483758849	730026	730026
Potri.006G123200.1	WUAT02010116.1	5.750498413	-2.740034126	739535	739535
Potri.003G202300.3	WUAT02011066.1	10.5621517	-2.325904508	758112	758112
Potri.009G141600.1	WUAT02001583.1	9.609665721	-2.127057999	767207	767207
Potri.010G142800.1	WUAT02007590.1	9.867925301	-5.121050223	769807	769807
Potri.011G125200.5	WUAT02005168.1	8.632645677	-3.751990796	771893	771893
Potri.015G066400.5	WUAT02004998.1	5.358689132	-2.209927346	775989	775989
Potri.015G095500.1	WUAT02009446.1	9.496359188	-2.43094047	776276	776276
Potri.001G004800.1	WUAT02009855.1	1.634364514	-2.753637113	797014	797014
Potri.004G040600.1	WUAT02000411.1	10.14309929	-2.022607163	800516	800516
Potri.012G039300.1	WUAT02016170.1	5.17872101	-2.275472215	806207	806207
Potri.011G092200.1	WUAT02021380.1	7.381629542	-2.596196921	822885	822885
Potri.001G230000.4	WUAT02000126.1	8.125806147	-2.318894983	828302	828302
Potri.001G230000.4	WUAT02013660.1	9.813426088	-2.123168133	828302	828302
Potri.007G015400.2	WUAT02018819.1	4.584281463	-3.253159633	828859	828859
Potri.003G180700.1	WUAT02022889.1	6.470505585	-2.257551346	830958	830958
Potri.005G257500.1	WUAT02007677.1	4.112629128	-3.450928371	831725	831725
Potri.018G107300.1	WUAT02017717.1	9.601646393	-3.480360103	835953	835953
Potri.003G092300.1	WUAT02005298.1	7.830958249	-2.422115983	836924	836924
