subject_id	Gene_ID	explevel_log	Protein_ID	transcript_ID
Potri.001G182300.2	WUAT02004297.1	3.485442764	171564	171564
Potri.001G182300.2	WUAT02016986.1	5.37132654	171564	171564
Potri.001G189700.5	WUAT02021037.1	4.879781245	171787	171787
Potri.001G217700.1	WUAT02003579.1	10.48841864	172048	172048
Potri.001G253500.1	WUAT02023384.1	8.985336508	172222	172222
Potri.001G251100.2	WUAT02004927.1	5.891212282	172318	172318
Potri.001G250700.1	WUAT02018336.1	6.27437475	172338	172338
Potri.001G250700.1	WUAT02022631.1	9.760260608	172338	172338
Potri.001G234200.1	WUAT02006755.1	9.850761791	172849	172849
Potri.001G262800.1	WUAT02019681.1	6.485721385	173058	173058
Potri.001G265300.2	WUAT02007488.1	9.702670896	173179	173179
Potri.001G347900.2	WUAT02015012.1	8.365063844	173877	173877
Potri.001G341900.1	WUAT02012522.1	9.416134045	174089	174089
Potri.001G329400.1	WUAT02019895.1	10.15646479	174507	174507
Potri.001G321800.2	WUAT02019239.1	9.593508414	174716	174716
Potri.001G308600.1	WUAT02004309.1	9.167185176	175077	175077
Potri.001G305400.1	WUAT02008646.1	10.06957713	175190	175190
Potri.001G300900.1	WUAT02001132.1	10.07538071	175325	175325
Potri.001G294700.1	WUAT02010024.1	9.727718139	175504	175504
Potri.001G357100.4	WUAT02018123.1	9.50391357	175839	175839
Potri.001G370600.1	WUAT02012499.1	7.721860534	176275	176275
Potri.001G374200.4	WUAT02012842.1	9.007661134	176347	176347
Potri.001G459200.1	WUAT02020625.1	7.595863512	177231	177231
Potri.001G462700.1	WUAT02006971.1	9.041567083	177383	177383
Potri.001G462800.1	WUAT02017673.1	6.419259575	177387	177387
Potri.001G000700.2	WUAT02002665.1	10.85266649	177738	177738
Potri.001G003800.1	WUAT02012831.1	11.46515315	177802	177802
Potri.001G007900.2	WUAT02021555.1	10.23931091	177956	177956
Potri.001G033900.4	WUAT02019488.1	8.24421192	178328	178328
Potri.001G032000.3	WUAT02018217.1	9.756534513	178371	178371
Potri.001G023500.1	WUAT02015085.1	11.06005166	178600	178600
Potri.001G061500.1	WUAT02003515.1	10.80143464	179255	179255
Potri.001G079400.4	WUAT02021112.1	9.955457058	179631	179631
Potri.001G079400.4	WUAT02022294.1	10.11143276	179631	179631
Potri.001G082900.1	WUAT02004923.1	8.402780316	179726	179726
Potri.001G083300.1	WUAT02017862.1	9.1608846	179738	179738
Potri.001G092700.1	WUAT02018294.1	5.673053569	180036	180036
Potri.001G098700.2	WUAT02013874.1	9.819627508	180196	180196
Potri.001G104900.5	WUAT02006171.1	10.2170646	180378	180378
Potri.001G106100.1	WUAT02020080.1	10.57159411	180424	180424
Potri.001G109500.1	WUAT02003813.1	9.925873109	180526	180526
